policy P1 P5 P10 P50 average
accp4 0.929 0.933 0.964 0.995 0.987
ARC 0.685 0.884 0.899 0.988 0.959
Cacheus 0.726 0.828 0.902 0.985 0.958
Clock 0.581 0.793 0.856 0.971 0.935
FIFO 0.580 0.771 0.819 0.937 0.908
FIFO-Merge 0.754 0.833 0.848 0.950 0.933
GDSF 0.586 0.794 0.859 0.973 0.940
Hyperbolic 0.651 0.803 0.849 0.955 0.928
LHD 0.706 0.860 0.913 0.982 0.962
LIRS 0.870 0.910 0.928 0.985 0.976
LeCaR 0.598 0.814 0.870 0.985 0.947
QDLP 0.703 0.903 0.915 0.987 0.967
S3FIFO 0.694 0.906 0.923 0.985 0.967
S4LRU 0.753 0.828 0.843 0.975 0.949
WTinyLFU 0.753 0.891 0.930 0.984 0.967
TwoQ 0.677 0.876 0.897 0.979 0.957
