policy P1 P5 P10 P50 average
accp4 0.564 0.758 0.886 0.993 0.961
ARC 0.548 0.756 0.879 0.981 0.946
Cacheus 0.460 0.737 0.853 0.972 0.929
Clock 0.156 0.255 0.535 0.930 0.801
FIFO 0.137 0.239 0.505 0.893 0.765
FIFO-Merge 0.227 0.400 0.562 0.916 0.816
GDSF 0.165 0.349 0.545 0.949 0.838
Hyperbolic 0.140 0.286 0.513 0.929 0.799
LHD 0.226 0.495 0.642 0.943 0.870
LIRS 0.457 0.578 0.735 0.948 0.896
LeCaR 0.175 0.254 0.525 0.932 0.808
QDLP 0.522 0.841 0.875 0.979 0.950
S3FIFO 0.482 0.866 0.893 0.987 0.957
S4LRU 0.175 0.452 0.691 0.949 0.865
WTinyLFU 0.228 0.562 0.677 0.947 0.875
TwoQ 0.481 0.687 0.815 0.987 0.936
