policy P1 P5 P10 P50 average
accp4 0.897 0.949 0.959 0.994 0.986
ARC 0.720 0.888 0.913 0.985 0.960
Cacheus 0.716 0.882 0.906 0.980 0.954
Clock 0.604 0.831 0.868 0.971 0.936
FIFO 0.580 0.814 0.857 0.953 0.921
FIFO-Merge 0.682 0.836 0.868 0.957 0.932
GDSF 0.630 0.838 0.869 0.968 0.935
Hyperbolic 0.604 0.820 0.864 0.957 0.926
LHD 0.774 0.870 0.906 0.984 0.961
LIRS 0.878 0.926 0.937 0.985 0.974
LeCaR 0.644 0.850 0.886 0.979 0.946
QDLP 0.802 0.918 0.934 0.985 0.967
S3FIFO 0.798 0.929 0.943 0.988 0.970
S4LRU 0.716 0.850 0.875 0.966 0.944
WTinyLFU 0.809 0.900 0.938 0.997 0.978
TwoQ 0.706 0.910 0.944 0.988 0.968
