policy P1 P5 P10 P50 average
FlexCache 0.641 0.786 0.800 0.992 0.955
S3FIFO 0.482 0.783 0.799 0.992 0.948
ARC 0.263 0.565 0.618 0.971 0.891
Cacheus 0.507 0.532 0.762 0.978 0.911
LeCaR 0.289 0.417 0.602 0.953 0.856
LIRS 0.346 0.585 0.601 0.919 0.851
WTinyLFU 0.244 0.374 0.492 0.906 0.804
GDSF 0.304 0.474 0.557 0.885 0.813
Hyperbolic 0.302 0.416 0.524 0.921 0.820
LHD 0.347 0.525 0.565 0.845 0.791
S4LRU 0.589 0.607 0.785 0.973 0.917
TwoQ 0.406 0.628 0.767 0.984 0.922
Clock 0.267 0.413 0.511 0.930 0.823
FIFO 0.241 0.405 0.446 0.843 0.759
FIFO-Merge 0.396 0.446 0.626 0.907 0.834
QDLP 0.489 0.742 0.793 0.990 0.943
