policy P1 P5 P10 P50 average
FlexCache 0.753 0.850 0.885 0.985 0.961
S3FIFO 0.077 0.293 0.715 0.979 0.852
ARC 0.103 0.326 0.537 0.984 0.822
Cacheus 0.102 0.326 0.511 0.976 0.816
LeCaR 0.046 0.271 0.503 0.980 0.797
LIRS 0.834 0.907 0.941 0.996 0.982
WTinyLFU 0.819 0.893 0.906 0.980 0.968
GDSF 0.197 0.389 0.527 0.945 0.835
Hyperbolic 0.072 0.279 0.481 0.960 0.802
LHD 0.568 0.664 0.711 0.903 0.871
S4LRU 0.713 0.774 0.805 0.977 0.936
TwoQ 0.061 0.269 0.624 0.960 0.814
Clock 0.047 0.269 0.467 0.968 0.790
FIFO 0.045 0.266 0.438 0.920 0.761
FIFO-Merge 0.458 0.548 0.714 0.933 0.874
QDLP 0.105 0.330 0.717 0.986 0.864
