policy P1 P5 P10 P50 average
FlexCache 0.792 0.892 0.923 0.990 0.970
S3FIFO 0.675 0.869 0.911 0.989 0.963
ARC 0.279 0.679 0.809 0.961 0.899
Cacheus 0.577 0.779 0.855 0.975 0.937
LeCaR 0.276 0.642 0.774 0.958 0.889
LIRS 0.287 0.835 0.903 0.986 0.936
WTinyLFU 0.287 0.758 0.875 0.972 0.924
GDSF 0.245 0.503 0.630 0.897 0.000
Hyperbolic 0.276 0.600 0.742 0.940 0.872
LHD 0.404 0.569 0.646 0.838 0.000
S4LRU 0.097 0.433 0.786 0.972 0.865
TwoQ 0.591 0.811 0.870 0.975 0.942
Clock 0.262 0.603 0.749 0.949 0.875
FIFO 0.260 0.570 0.684 0.910 0.000
FIFO-Merge 0.416 0.635 0.748 0.927 0.875
QDLP 0.660 0.873 0.910 0.988 0.963
