policy P1 P5 P10 P50 average
FlexCache 0.751 0.843 0.894 0.984 0.966
S3FIFO 0.420 0.626 0.730 0.983 0.919
ARC 0.107 0.453 0.689 0.990 0.890
Cacheus 0.063 0.480 0.634 0.983 0.886
LeCaR 0.064 0.408 0.563 0.980 0.856
LIRS 0.815 0.939 0.959 0.997 0.985
WTinyLFU 0.692 0.913 0.937 0.993 0.976
GDSF 0.098 0.419 0.615 0.984 0.872
Hyperbolic 0.266 0.433 0.600 0.962 0.870
LHD 0.709 0.754 0.823 0.975 0.939
S4LRU 0.707 0.803 0.860 0.979 0.950
TwoQ 0.305 0.517 0.643 0.957 0.881
Clock 0.083 0.405 0.573 0.973 0.854
FIFO 0.054 0.391 0.541 0.940 0.823
FIFO-Merge 0.562 0.644 0.735 0.945 0.906
