policy P1 P5 P10 P50 average
FlexCache 0.881 0.941 0.950 0.989 0.980
S3FIFO 0.860 0.934 0.945 0.989 0.977
ARC 0.798 0.895 0.916 0.987 0.967
Cacheus 0.761 0.888 0.908 0.982 0.961
LeCaR 0.701 0.857 0.890 0.980 0.954
LIRS 0.882 0.928 0.939 0.987 0.976
WTinyLFU 0.827 0.917 0.950 0.999 0.982
GDSF 0.692 0.842 0.871 0.969 0.942
Hyperbolic 0.656 0.827 0.866 0.957 0.932
LHD 0.817 0.877 0.911 0.985 0.967
S4LRU 0.743 0.858 0.878 0.967 0.947
TwoQ 0.763 0.919 0.948 0.989 0.975
Clock 0.657 0.837 0.871 0.973 0.944
FIFO 0.627 0.824 0.861 0.955 0.929
FIFO-Merge 0.729 0.842 0.870 0.959 0.936
QDLP 0.859 0.924 0.936 0.987 0.974
