policy P1 P5 P10 P50 average
FlexCache 0.803 0.911 0.960 0.995 0.980
S3FIFO 0.814 0.934 0.968 0.996 0.984
ARC 0.756 0.908 0.949 0.993 0.975
Cacheus 0.640 0.872 0.913 0.986 0.961
LeCaR 0.475 0.779 0.861 0.967 0.929
LIRS 0.774 0.849 0.895 0.966 0.949
WTinyLFU 0.467 0.623 0.697 0.907 0.861
GDSF 0.558 0.806 0.872 0.971 0.938
Hyperbolic 0.454 0.753 0.818 0.948 0.907
LHD 0.745 0.873 0.905 0.975 0.955
S4LRU 0.665 0.825 0.891 0.970 0.946
TwoQ 0.734 0.912 0.948 0.995 0.977
Clock 0.460 0.765 0.848 0.960 0.920
FIFO 0.411 0.686 0.764 0.889 0.000
FIFO-Merge 0.523 0.770 0.831 0.942 0.909
