 accp4 accp4c accp4p ARC Cacheus Clock FIFO FIFO-Merge GDSF Hyperbolic LHD LIRS LeCaR QDLP S3FIFO S4LRU TwoQ WTinyLFU
1 0.921 0.950 0.922 1.000 0.988 0.997 0.936 0.952 0.999 0.995 0.973 0.875 0.995 1.000 0.988 0.993 0.956 0.869
2 0.952 0.943 0.930 0.941 0.925 0.917 0.903 0.916 0.884 0.869 0.968 0.970 0.946 0.932 0.932 0.893 0.940 1.000
3 0.959 0.966 0.963 0.983 0.996 0.997 0.969 0.951 0.965 0.966 0.983 0.976 1.000 0.983 0.982 0.982 0.967 0.913
4 0.960 0.943 0.926 0.908 0.903 0.885 0.875 0.906 0.933 0.896 0.928 0.958 0.932 0.925 0.934 0.873 0.917 1.000
5 0.960 0.952 0.930 0.905 0.917 0.916 0.862 0.871 0.834 0.804 0.915 0.949 0.915 0.911 0.912 0.871 0.943 1.000
6 0.961 0.949 0.927 0.904 0.930 0.903 0.891 0.898 0.926 0.910 0.937 0.961 0.935 0.910 0.920 0.875 0.940 1.000
7 0.965 0.956 0.935 0.901 0.904 0.934 0.908 0.930 0.919 0.940 0.945 1.000 0.957 0.935 0.931 0.907 0.949 0.998
8 0.967 0.960 0.959 0.932 0.919 0.943 0.912 0.936 0.947 0.928 0.966 0.976 0.937 0.938 0.939 0.942 0.923 1.000
9 0.968 0.950 0.933 0.956 0.982 0.923 0.882 0.929 0.931 0.925 0.936 0.986 0.892 0.934 0.936 0.895 0.928 1.000
10 0.968 0.999 0.996 0.968 0.985 0.969 0.943 0.958 1.000 0.988 0.968 0.849 0.979 0.980 0.998 0.994 0.962 0.856
11 0.969 0.962 0.961 0.948 0.949 0.954 0.924 0.948 0.958 0.945 0.972 0.976 0.946 0.954 0.942 0.943 0.931 1.000
12 0.969 0.951 0.936 0.946 0.987 0.941 0.888 0.929 0.955 0.916 0.934 0.986 0.926 0.950 0.948 0.880 0.906 1.000
13 0.973 0.966 0.964 0.952 0.928 0.961 0.935 0.948 0.964 0.947 0.976 0.982 0.956 0.957 0.950 0.947 0.939 1.000
14 0.974 1.000 0.770 0.733 0.631 0.662 0.616 0.725 0.689 0.689 0.758 0.856 0.680 0.775 0.770 0.795 0.714 0.854
15 0.974 0.963 0.966 0.983 0.987 0.968 0.924 0.934 0.945 0.918 0.970 0.988 0.976 0.974 0.978 0.979 0.960 1.000
16 0.974 0.959 0.955 0.957 0.984 0.943 0.913 0.932 0.957 0.916 0.942 0.979 0.950 0.965 0.963 0.974 0.938 1.000
17 0.975 0.951 0.941 0.949 0.922 0.851 0.820 0.875 0.867 0.855 0.888 1.000 0.806 0.927 0.901 0.829 0.880 0.974
18 0.975 0.978 0.975 0.991 0.984 0.997 0.989 0.973 0.987 0.978 0.960 0.981 1.000 0.987 0.982 0.980 0.990 0.920
19 0.978 0.989 0.973 0.978 0.966 0.993 0.984 0.974 1.000 0.998 0.985 0.912 0.998 0.974 0.996 0.992 0.986 0.857
20 0.978 0.976 0.968 0.973 0.964 0.966 0.939 0.950 0.971 0.947 0.975 0.989 0.973 0.978 0.974 0.978 0.958 1.000
21 0.978 0.965 0.955 0.958 0.940 0.928 0.868 0.911 0.962 0.921 0.931 0.967 0.948 0.954 0.958 0.945 0.923 1.000
22 0.978 0.979 0.977 0.993 0.996 0.995 0.978 0.984 1.000 0.995 0.994 0.966 0.995 0.973 0.985 0.996 0.989 0.969
23 0.979 0.966 0.962 0.968 0.950 0.958 0.926 0.948 0.968 0.937 0.962 0.986 0.965 0.975 0.974 0.978 0.948 1.000
24 0.979 0.983 0.981 0.998 1.000 0.997 0.983 0.971 0.982 0.967 0.999 0.980 0.999 0.994 0.990 0.987 0.991 0.974
25 0.979 0.976 0.970 0.962 0.965 0.947 0.942 0.940 0.967 0.943 0.971 0.956 0.964 0.966 0.967 0.961 0.986 1.000
26 0.980 0.972 0.965 0.977 0.983 0.966 0.943 0.934 0.964 0.939 0.977 0.980 0.978 0.973 0.976 0.958 0.964 1.000
27 0.981 0.952 0.950 0.367 0.355 0.362 0.341 0.557 0.365 0.385 0.366 1.000 0.360 0.368 0.359 0.865 0.343 0.998
28 0.981 0.964 0.927 0.936 0.920 0.910 0.859 0.917 0.942 0.907 0.924 0.980 0.953 0.938 0.935 0.892 0.916 1.000
29 0.981 0.971 0.970 0.955 0.932 0.946 0.922 0.946 0.946 0.964 0.968 0.988 0.938 0.954 0.940 0.944 0.932 1.000
