 accp4 accp4c accp4p ARC Cacheus Clock FIFO FIFO-Merge GDSF Hyperbolic LHD LIRS LeCaR QDLP S3FIFO S4LRU TwoQ WTinyLFU
1 0.822 0.813 0.769 0.742 0.700 0.670 0.656 0.766 0.700 0.700 0.760 0.730 0.682 0.736 0.910 0.848 0.789 1.000
2 0.860 0.850 0.856 0.822 0.817 0.786 0.757 0.810 0.801 0.799 0.831 0.869 0.792 0.832 0.841 0.834 0.833 1.000
3 0.889 1.000 0.888 0.850 0.889 0.716 0.649 0.810 0.774 0.746 0.849 0.884 0.723 0.852 0.844 0.815 0.801 0.915
4 0.925 0.931 0.905 0.873 0.856 0.845 0.840 0.855 0.865 0.858 0.970 0.880 0.852 0.898 0.962 0.920 0.928 1.000
5 0.936 0.953 0.937 0.961 0.933 0.986 0.955 0.916 1.000 0.968 0.978 0.841 0.991 0.949 0.946 0.982 0.944 0.789
6 0.946 0.946 0.911 0.899 0.896 0.878 0.863 0.895 0.893 0.894 0.985 0.904 0.886 0.912 0.919 0.930 0.891 1.000
7 0.963 0.963 0.962 0.936 0.936 0.917 0.895 0.916 0.934 0.923 1.000 0.927 0.922 0.954 0.969 0.951 0.947 0.968
8 0.971 0.985 0.980 0.989 0.991 1.000 0.919 0.938 0.899 0.920 0.996 0.983 0.999 0.988 0.986 0.938 0.980 0.891
9 0.973 1.000 0.939 0.925 0.874 0.918 0.895 0.872 0.951 0.913 0.930 0.781 0.923 0.944 0.939 0.946 0.918 0.725
10 0.973 0.961 0.972 0.927 1.000 0.699 0.667 0.682 0.725 0.705 0.802 0.980 0.691 0.944 0.843 0.845 0.775 0.816
11 0.975 0.971 0.969 0.924 0.910 0.851 0.810 0.859 0.871 0.853 0.893 0.977 0.844 0.930 0.908 0.895 0.880 1.000
12 0.975 0.963 0.958 0.602 0.599 0.543 0.533 0.549 0.564 0.549 0.735 1.000 0.540 0.604 0.582 0.881 0.558 0.983
13 0.979 0.973 0.970 0.922 0.911 0.852 0.810 0.859 0.872 0.855 0.914 0.974 0.846 0.928 0.907 0.907 0.879 1.000
14 0.979 0.988 0.961 0.993 1.000 0.999 0.970 0.965 0.997 0.984 0.991 0.941 0.998 0.983 0.987 0.951 0.980 0.858
15 0.980 0.966 0.883 0.845 0.827 0.819 0.802 0.832 0.826 0.810 0.867 0.893 0.826 0.870 0.915 0.879 0.914 1.000
16 0.981 0.979 0.981 0.934 0.946 0.811 0.783 0.811 0.852 0.826 0.917 0.976 0.809 1.000 0.971 0.935 0.896 0.917
17 0.981 0.978 0.975 0.976 0.967 0.956 0.955 0.939 0.942 0.931 0.986 0.974 0.966 0.978 0.983 0.933 0.985 1.000
18 0.982 0.978 0.974 0.973 0.960 0.964 0.949 0.948 0.941 0.940 0.988 0.981 0.974 0.973 0.986 0.944 0.982 1.000
19 0.982 0.941 0.730 0.124 0.931 0.043 0.033 0.453 0.101 0.226 0.840 1.000 0.035 0.753 0.756 0.766 0.544 0.903
20 0.983 0.974 0.973 0.931 0.877 0.832 0.812 0.834 0.850 0.839 0.908 0.912 0.831 0.950 1.000 0.942 0.895 0.912
21 0.984 0.975 0.971 0.931 0.923 0.860 0.819 0.866 0.881 0.862 0.919 0.986 0.854 0.937 0.915 0.910 0.885 1.000
22 0.985 0.980 0.977 0.927 0.920 0.854 0.818 0.863 0.876 0.860 0.902 0.978 0.850 0.933 0.911 0.907 0.879 1.000
23 0.988 0.947 0.938 0.227 0.252 0.140 0.136 0.188 0.145 0.141 0.720 1.000 0.139 0.279 0.229 0.802 0.184 0.992
24 0.988 0.986 0.984 0.977 0.977 0.969 0.967 0.960 0.977 0.962 0.995 0.977 0.975 0.983 0.987 0.949 0.996 1.000
25 0.989 1.000 0.964 0.945 0.929 0.938 0.928 0.942 0.960 0.953 0.947 0.911 0.943 0.969 0.967 0.964 0.964 0.891
26 0.989 0.989 0.969 0.944 0.950 0.951 0.954 0.964 0.965 0.963 1.000 0.952 0.960 0.967 0.998 0.982 0.995 0.994
27 0.990 1.000 0.853 0.873 0.905 0.727 0.690 0.817 0.741 0.747 0.859 0.896 0.716 0.839 0.842 0.818 0.829 0.737
28 0.990 1.000 0.935 0.839 0.788 0.563 0.502 0.569 0.633 0.568 0.670 0.906 0.540 0.898 0.855 0.899 0.786 0.919
29 0.991 1.000 0.902 0.901 0.896 0.849 0.750 0.826 0.845 0.829 0.857 0.905 0.832 0.905 0.895 0.871 0.865 0.541
30 0.991 0.989 0.955 0.934 0.920 0.878 0.885 0.900 0.930 0.876 0.966 0.917 0.934 0.946 0.969 0.896 1.000 0.999
31 0.991 0.982 0.978 0.840 0.841 0.728 0.726 0.728 0.733 0.729 0.887 1.000 0.728 0.842 0.785 0.941 0.733 0.960
32 0.992 1.000 0.944 0.892 0.860 0.738 0.818 0.878 0.716 0.779 0.835 0.984 0.964 0.945 0.954 0.457 0.721 0.760
33 0.992 0.982 0.981 0.736 0.914 0.590 0.430 0.625 0.728 0.536 0.780 1.000 0.727 0.915 0.902 0.684 0.894 0.982
34 0.992 1.000 0.952 0.981 0.914 0.941 0.907 0.870 0.952 0.910 0.784 0.939 0.928 0.972 0.964 0.937 0.914 0.808
35 0.992 0.992 0.990 0.981 0.980 0.973 0.964 0.962 0.986 0.963 0.997 0.980 0.979 0.988 0.990 0.983 0.992 1.000
36 0.992 0.992 0.988 0.979 0.981 0.971 0.964 0.963 0.985 0.964 0.997 0.980 0.979 0.987 0.989 0.983 0.988 1.000
37 0.993 1.000 0.964 0.944 0.926 0.934 0.862 0.902 0.940 0.935 0.919 0.921 0.929 0.961 0.950 0.965 0.926 0.873
38 0.993 1.000 0.935 0.911 0.911 0.905 0.865 0.894 0.903 0.894 0.903 0.938 0.914 0.910 0.885 0.933 0.874 0.806
39 0.993 0.999 1.000 0.951 0.955 0.693 0.642 0.671 0.734 0.668 0.722 0.988 0.690 0.981 0.969 0.937 0.876 0.960
40 0.993 0.993 0.985 0.984 0.977 0.968 0.962 0.959 0.961 0.963 0.989 0.980 0.971 0.984 0.990 0.964 1.000 0.972
41 0.993 0.992 0.991 0.981 0.981 0.972 0.964 0.965 0.988 0.966 0.997 0.981 0.978 0.989 0.994 0.984 0.997 1.000
42 0.994 0.990 0.990 0.999 0.995 0.968 0.890 0.938 0.996 0.994 0.973 0.986 0.945 1.000 0.996 0.985 0.974 0.977
43 0.996 0.998 0.990 1.000 0.983 0.958 0.934 0.942 0.974 0.963 0.970 0.996 0.959 0.994 0.997 0.982 0.983 0.974
44 0.996 1.000 0.977 0.976 0.933 0.899 0.735 0.773 0.923 0.902 0.884 0.958 0.898 0.976 0.896 0.941 0.859 0.876
45 0.996 1.000 0.994 0.992 0.991 0.983 0.957 0.959 0.988 0.966 0.981 0.988 0.987 0.997 0.992 0.997 0.983 0.958
46 0.996 1.000 0.950 0.973 0.956 0.903 0.856 0.840 0.916 0.885 0.889 0.928 0.977 0.958 0.935 0.924 0.917 0.783
47 0.997 0.997 0.997 0.997 0.999 0.974 0.969 0.988 0.979 0.978 0.990 0.974 0.972 1.000 0.991 0.991 0.976 0.991
48 0.997 1.000 0.931 0.921 0.886 0.850 0.809 0.880 0.878 0.858 0.846 0.961 0.857 0.909 0.900 0.913 0.880 0.811
49 0.997 1.000 0.990 0.978 0.986 0.967 0.955 0.975 0.981 0.973 0.977 0.978 0.971 0.984 0.996 0.986 0.984 0.990
50 0.997 0.995 0.984 0.982 0.983 0.967 0.960 0.949 0.969 0.955 1.000 0.984 0.985 0.984 0.995 0.960 1.000 0.992
51 0.997 0.996 0.993 0.984 0.978 0.973 0.964 0.962 0.985 0.962 0.993 0.984 0.977 0.991 0.992 0.981 0.992 1.000
52 0.998 0.996 0.983 0.977 0.977 0.967 0.958 0.941 0.972 0.954 0.989 0.965 0.977 0.975 0.984 0.949 1.000 0.994
53 0.999 1.000 0.994 0.992 0.985 0.988 0.964 0.966 0.987 0.976 1.000 0.980 0.992 0.992 0.991 0.979 1.000 0.990
54 0.999 1.000 0.940 0.883 0.898 0.869 0.780 0.761 0.933 0.848 0.881 0.854 0.910 0.916 0.915 0.925 0.874 0.921
55 0.999 1.000 0.973 0.981 0.978 0.972 0.966 0.963 0.969 0.964 0.973 0.982 0.977 0.978 0.981 0.982 0.988 0.960
56 0.999 1.000 0.994 0.985 0.972 0.935 0.921 0.940 0.975 0.954 0.968 0.980 0.956 0.992 0.996 0.986 0.976 0.992
57 0.999 1.000 0.993 0.992 0.991 0.990 0.969 0.975 0.988 0.981 0.990 0.994 0.994 0.995 0.993 0.995 0.986 0.944
58 0.999 1.000 0.881 0.862 0.854 0.821 0.783 0.813 0.886 0.841 0.837 0.860 0.845 0.887 0.914 0.717 0.894 0.859
59 0.999 1.000 0.996 0.996 0.965 0.959 0.937 0.954 0.979 0.961 0.970 0.988 0.972 0.996 0.997 0.987 0.984 0.994
