 accp4 accp4c accp4p
1 0.006 0.567 0.633
2 0.025 0.777 0.737
3 0.032 0.898 0.802
4 0.049 0.933 0.823
5 0.050 0.956 0.826
6 0.051 0.957 0.827
7 0.052 0.958 0.854
8 0.056 0.961 0.861
9 0.059 0.962 0.861
10 0.061 0.963 0.869
11 0.063 0.964 0.882
12 0.064 0.965 0.900
13 0.074 0.965 0.907
14 0.081 0.965 0.920
15 0.084 0.968 0.932
16 0.091 0.968 0.938
17 0.093 0.970 0.940
18 0.095 0.973 0.942
19 0.098 0.977 0.942
20 0.101 0.977 0.943
21 0.101 0.978 0.944
22 0.102 0.979 0.945
23 0.105 0.979 0.945
24 0.105 0.980 0.946
25 0.105 0.982 0.947
26 0.105 0.983 0.948
27 0.106 0.983 0.950
28 0.106 0.983 0.951
29 0.106 0.984 0.951
30 0.106 0.984 0.952
31 0.108 0.985 0.953
32 0.108 0.985 0.953
33 0.111 0.986 0.953
34 0.112 0.986 0.953
35 0.113 0.987 0.954
36 0.114 0.987 0.956
37 0.115 0.987 0.957
38 0.117 0.987 0.957
39 0.117 0.988 0.958
40 0.118 0.988 0.958
41 0.121 0.988 0.959
42 0.121 0.988 0.960
43 0.122 0.988 0.961
44 0.124 0.988 0.961
45 0.125 0.989 0.961
46 0.125 0.989 0.963
47 0.126 0.990 0.964
48 0.126 0.990 0.964
49 0.126 0.991 0.965
50 0.127 0.991 0.965
51 0.128 0.991 0.966
52 0.129 0.991 0.968
53 0.129 0.992 0.969
54 0.129 0.992 0.970
55 0.129 0.992 0.970
56 0.130 0.992 0.972
57 0.131 0.993 0.974
58 0.132 0.993 0.974
59 0.132 0.993 0.974
60 0.133 0.993 0.974
61 0.133 0.993 0.974
62 0.133 0.993 0.975
63 0.134 0.993 0.976
64 0.134 0.993 0.976
65 0.134 0.993 0.977
66 0.134 0.994 0.977
67 0.134 0.994 0.977
68 0.135 0.994 0.978
69 0.135 0.994 0.978
70 0.135 0.995 0.978
71 0.135 0.995 0.979
72 0.135 0.995 0.979
73 0.135 0.995 0.979
74 0.135 0.995 0.979
75 0.135 0.995 0.979
76 0.135 0.995 0.979
77 0.135 0.995 0.980
78 0.135 0.995 0.980
79 0.136 0.996 0.980
80 0.136 0.996 0.980
81 0.136 0.996 0.980
82 0.136 0.996 0.980
83 0.136 0.996 0.981
84 0.137 0.996 0.981
85 0.137 0.996 0.981
86 0.138 0.996 0.981
87 0.138 0.996 0.981
88 0.138 0.996 0.981
89 0.139 0.997 0.981
90 0.139 0.997 0.981
91 0.140 0.997 0.982
92 0.141 0.997 0.982
93 0.142 0.997 0.983
94 0.142 0.997 0.983
95 0.145 0.997 0.983
96 0.145 0.997 0.983
97 0.146 0.997 0.983
98 0.146 0.997 0.983
99 0.147 0.997 0.983
100 0.147 0.998 0.983
101 0.148 0.998 0.984
102 0.148 0.998 0.984
103 0.148 0.998 0.984
104 0.150 0.998 0.984
105 0.151 0.998 0.984
106 0.153 0.998 0.984
107 0.155 0.998 0.984
108 0.156 0.998 0.984
109 0.158 0.998 0.984
110 0.162 0.998 0.984
111 0.162 0.998 0.984
112 0.162 0.998 0.984
113 0.164 0.998 0.985
114 0.164 0.998 0.985
115 0.164 0.998 0.985
116 0.169 0.998 0.985
117 0.170 0.998 0.985
118 0.171 0.998 0.985
119 0.172 0.998 0.985
120 0.172 0.998 0.985
121 0.172 0.998 0.985
122 0.175 0.998 0.985
123 0.176 0.998 0.985
124 0.178 0.998 0.986
125 0.178 0.998 0.986
126 0.180 0.998 0.986
127 0.180 0.998 0.986
128 0.181 0.998 0.987
129 0.183 0.998 0.987
130 0.184 0.998 0.987
131 0.184 0.998 0.987
132 0.185 0.998 0.987
133 0.186 0.998 0.987
134 0.186 0.998 0.987
135 0.188 0.998 0.988
136 0.189 0.998 0.988
137 0.189 0.998 0.988
138 0.189 0.999 0.988
139 0.190 0.999 0.988
140 0.191 0.999 0.988
141 0.192 0.999 0.988
142 0.192 0.999 0.988
143 0.194 0.999 0.988
144 0.194 0.999 0.988
145 0.196 0.999 0.988
146 0.196 0.999 0.989
147 0.196 0.999 0.989
148 0.197 0.999 0.989
149 0.197 0.999 0.990
150 0.198 0.999 0.990
151 0.198 0.999 0.990
152 0.199 0.999 0.990
153 0.201 0.999 0.990
154 0.204 0.999 0.990
155 0.204 0.999 0.990
156 0.205 0.999 0.990
157 0.205 0.999 0.991
158 0.205 0.999 0.991
159 0.208 0.999 0.991
160 0.210 0.999 0.991
161 0.210 0.999 0.991
162 0.212 0.999 0.991
163 0.213 0.999 0.991
164 0.214 0.999 0.991
165 0.214 0.999 0.992
166 0.214 0.999 0.992
167 0.216 0.999 0.992
168 0.217 0.999 0.992
169 0.218 0.999 0.992
170 0.218 0.999 0.992
171 0.219 0.999 0.992
172 0.219 0.999 0.992
173 0.219 0.999 0.992
174 0.219 0.999 0.992
175 0.220 0.999 0.993
176 0.223 0.999 0.993
177 0.224 0.999 0.993
178 0.226 0.999 0.993
179 0.227 0.999 0.993
180 0.227 0.999 0.993
181 0.229 0.999 0.993
182 0.230 0.999 0.993
183 0.231 0.999 0.993
184 0.231 0.999 0.993
185 0.231 0.999 0.993
186 0.232 0.999 0.993
187 0.233 0.999 0.993
188 0.234 0.999 0.993
189 0.234 0.999 0.993
190 0.234 0.999 0.994
191 0.234 0.999 0.994
192 0.235 0.999 0.994
193 0.237 0.999 0.994
194 0.238 0.999 0.994
195 0.239 0.999 0.994
196 0.239 0.999 0.994
197 0.240 0.999 0.994
198 0.240 0.999 0.994
199 0.240 0.999 0.995
200 0.241 0.999 0.995
201 0.241 0.999 0.995
202 0.242 0.999 0.995
203 0.243 0.999 0.995
204 0.245 1.000 0.995
205 0.245 1.000 0.995
206 0.247 1.000 0.995
207 0.248 1.000 0.995
208 0.251 1.000 0.995
209 0.251 1.000 0.995
210 0.254 1.000 0.995
211 0.255 1.000 0.995
212 0.257 1.000 0.995
213 0.258 1.000 0.995
214 0.259 1.000 0.995
215 0.259 1.000 0.996
216 0.260 1.000 0.996
217 0.264 1.000 0.996
218 0.265 1.000 0.996
219 0.265 1.000 0.996
220 0.266 1.000 0.996
221 0.269 1.000 0.996
222 0.271 1.000 0.996
223 0.271 1.000 0.996
224 0.273 1.000 0.996
225 0.274 1.000 0.996
226 0.275 1.000 0.996
227 0.276 1.000 0.997
228 0.277 1.000 0.997
229 0.283 1.000 0.997
230 0.286 1.000 0.997
231 0.287 1.000 0.997
232 0.288 1.000 0.997
233 0.290 1.000 0.997
234 0.290 1.000 0.997
235 0.292 1.000 0.997
236 0.295 1.000 0.997
237 0.297 1.000 0.997
238 0.301 1.000 0.997
239 0.304 1.000 0.997
240 0.305 1.000 0.997
241 0.306 1.000 0.997
242 0.310 1.000 0.997
243 0.310 1.000 0.997
244 0.312 1.000 0.997
245 0.313 1.000 0.997
246 0.314 1.000 0.998
247 0.316 1.000 0.998
248 0.317 1.000 0.998
249 0.317 1.000 0.998
250 0.319 1.000 0.998
251 0.320 1.000 0.998
252 0.323 1.000 0.998
253 0.325 1.000 0.998
254 0.326 1.000 0.998
255 0.327 1.000 0.998
256 0.327 1.000 0.998
257 0.327 1.000 0.998
258 0.328 1.000 0.998
259 0.330 1.000 0.998
260 0.330 1.000 0.998
261 0.330 1.000 0.998
262 0.330 1.000 0.998
263 0.331 1.000 0.998
264 0.331 1.000 0.998
265 0.333 1.000 0.998
266 0.335 1.000 0.998
267 0.341 1.000 0.998
268 0.341 1.000 0.998
269 0.341 1.000 0.998
270 0.342 1.000 0.998
271 0.343 1.000 0.998
272 0.344 1.000 0.998
273 0.346 1.000 0.998
274 0.346 1.000 0.999
275 0.347 1.000 0.999
276 0.348 1.000 0.999
277 0.348 1.000 0.999
278 0.349 1.000 0.999
279 0.350 1.000 0.999
280 0.350 1.000 0.999
281 0.351 1.000 0.999
282 0.352 1.000 0.999
283 0.353 1.000 0.999
284 0.354 1.000 0.999
285 0.354 1.000 0.999
286 0.355 1.000 0.999
287 0.355 1.000 0.999
288 0.355 1.000 0.999
289 0.358 1.000 0.999
290 0.359 1.000 0.999
291 0.360 1.000 0.999
292 0.361 1.000 0.999
293 0.364 1.000 0.999
294 0.365 1.000 0.999
295 0.365 1.000 0.999
296 0.366 1.000 0.999
297 0.366 1.000 0.999
298 0.367 1.000 0.999
299 0.367 1.000 0.999
300 0.368 1.000 0.999
301 0.368 1.000 0.999
302 0.369 1.000 0.999
303 0.371 1.000 0.999
304 0.371 1.000 0.999
305 0.372 1.000 0.999
306 0.373 1.000 0.999
307 0.376 1.000 0.999
308 0.376 1.000 0.999
309 0.379 1.000 0.999
310 0.379 1.000 0.999
311 0.381 1.000 0.999
312 0.382 1.000 0.999
313 0.384 1.000 0.999
314 0.387 1.000 0.999
315 0.388 1.000 0.999
316 0.388 1.000 0.999
317 0.389 1.000 0.999
318 0.392 1.000 0.999
319 0.392 1.000 0.999
320 0.394 1.000 0.999
321 0.394 1.000 0.999
322 0.395 1.000 0.999
323 0.398 1.001 0.999
324 0.400 1.001 0.999
325 0.400 1.001 0.999
326 0.400 1.001 0.999
327 0.406 1.001 0.999
328 0.406 1.001 0.999
329 0.408 1.001 0.999
330 0.409 1.001 0.999
331 0.410 1.001 0.999
332 0.413 1.001 0.999
333 0.415 1.001 0.999
334 0.416 1.001 0.999
335 0.418 1.001 0.999
336 0.419 1.001 0.999
337 0.420 1.001 1.000
338 0.420 1.001 1.000
339 0.421 1.001 1.000
340 0.421 1.001 1.000
341 0.422 1.001 1.000
342 0.422 1.001 1.000
343 0.422 1.001 1.000
344 0.423 1.001 1.000
345 0.423 1.001 1.000
346 0.423 1.001 1.000
347 0.424 1.001 1.000
348 0.424 1.001 1.000
