 accp4 accp4c accp4p
1 0.020 0.955 0.579
2 0.054 0.958 0.659
3 0.066 0.959 0.670
4 0.076 0.960 0.743
5 0.080 0.964 0.862
6 0.088 0.970 0.882
7 0.089 0.973 0.888
8 0.093 0.977 0.901
9 0.115 0.978 0.909
10 0.120 0.982 0.910
11 0.126 0.982 0.912
12 0.132 0.986 0.921
13 0.137 0.986 0.923
14 0.139 0.987 0.933
15 0.142 0.987 0.935
16 0.143 0.988 0.937
17 0.143 0.988 0.938
18 0.156 0.989 0.938
19 0.168 0.990 0.938
20 0.169 0.990 0.941
21 0.173 0.990 0.942
22 0.173 0.990 0.944
23 0.190 0.991 0.948
24 0.192 0.991 0.949
25 0.193 0.991 0.951
26 0.199 0.991 0.952
27 0.206 0.992 0.953
28 0.228 0.993 0.956
29 0.228 0.993 0.958
30 0.245 0.993 0.960
31 0.246 0.993 0.963
32 0.256 0.994 0.963
33 0.260 0.994 0.964
34 0.270 0.995 0.964
35 0.276 0.995 0.965
36 0.278 0.995 0.967
37 0.306 0.995 0.967
38 0.342 0.996 0.968
39 0.348 0.996 0.968
40 0.348 0.996 0.969
41 0.351 0.996 0.971
42 0.352 0.997 0.973
43 0.354 0.997 0.973
44 0.360 0.997 0.974
45 0.362 0.997 0.974
46 0.363 0.997 0.975
47 0.365 0.997 0.975
48 0.386 0.998 0.977
49 0.398 0.998 0.978
50 0.399 0.998 0.979
51 0.408 0.998 0.980
52 0.410 0.998 0.980
53 0.416 0.998 0.981
54 0.434 0.998 0.981
55 0.452 0.998 0.982
56 0.459 0.998 0.984
57 0.461 0.998 0.984
58 0.465 0.998 0.985
59 0.472 0.999 0.987
60 0.474 0.999 0.987
61 0.505 0.999 0.987
62 0.507 0.999 0.987
63 0.513 0.999 0.988
64 0.514 0.999 0.989
65 0.518 0.999 0.989
66 0.524 0.999 0.990
67 0.535 0.999 0.990
68 0.538 0.999 0.991
69 0.551 0.999 0.991
70 0.552 1.000 0.991
71 0.591 1.000 0.992
72 0.594 1.000 0.992
73 0.595 1.000 0.992
74 0.615 1.000 0.992
75 0.615 1.000 0.992
76 0.620 1.000 0.993
77 0.620 1.000 0.993
78 0.621 1.001 0.993
79 0.622 1.001 0.994
80 0.623 1.001 0.994
81 0.624 1.001 0.994
82 0.627 1.001 0.995
83 0.648 1.001 0.995
84 0.651 1.001 0.995
85 0.666 1.001 0.995
86 0.671 1.002 0.995
87 0.671 1.003 0.996
88 0.692 1.003 0.996
89 0.710 1.004 0.996
90 0.716 1.004 0.996
91 0.725 1.004 0.996
92 0.763 1.006 0.997
93 0.764 1.007 0.997
94 0.772 1.007 0.998
95 0.777 1.007 0.998
96 0.784 1.008 0.998
97 0.787 1.008 0.998
98 0.800 1.009 0.998
99 0.813 1.009 0.999
100 0.833 1.010 0.999
101 0.840 1.011 0.999
102 0.844 1.012 1.001
103 0.856 1.014 1.001
104 0.880 1.018 1.002
105 0.889 1.028 1.007
106 0.911 1.124 1.009
