 accp4 accp4c accp4p
1 0.007 0.574 0.700
2 0.009 0.818 0.742
3 0.029 0.843 0.745
4 0.039 0.845 0.789
5 0.043 0.848 0.807
6 0.044 0.862 0.809
7 0.051 0.878 0.817
8 0.052 0.883 0.819
9 0.053 0.896 0.834
10 0.054 0.906 0.842
11 0.055 0.907 0.843
12 0.059 0.908 0.861
13 0.061 0.916 0.863
14 0.062 0.923 0.864
15 0.062 0.935 0.864
16 0.063 0.935 0.866
17 0.063 0.946 0.870
18 0.064 0.950 0.875
19 0.064 0.952 0.879
20 0.065 0.953 0.886
21 0.068 0.954 0.887
22 0.068 0.954 0.891
23 0.068 0.958 0.892
24 0.068 0.960 0.893
25 0.069 0.961 0.894
26 0.070 0.962 0.894
27 0.070 0.962 0.897
28 0.071 0.963 0.898
29 0.073 0.964 0.899
30 0.073 0.964 0.900
31 0.074 0.967 0.901
32 0.076 0.969 0.901
33 0.078 0.969 0.903
34 0.078 0.970 0.906
35 0.079 0.972 0.906
36 0.080 0.972 0.907
37 0.080 0.972 0.908
38 0.081 0.973 0.911
39 0.081 0.973 0.915
40 0.082 0.974 0.916
41 0.082 0.974 0.918
42 0.082 0.974 0.921
43 0.082 0.974 0.921
44 0.084 0.975 0.922
45 0.084 0.975 0.924
46 0.086 0.976 0.928
47 0.086 0.977 0.928
48 0.086 0.977 0.931
49 0.086 0.978 0.934
50 0.087 0.980 0.937
51 0.088 0.980 0.937
52 0.089 0.980 0.937
53 0.089 0.980 0.937
54 0.091 0.981 0.937
55 0.091 0.981 0.938
56 0.091 0.981 0.939
57 0.093 0.981 0.942
58 0.093 0.981 0.943
59 0.093 0.982 0.943
60 0.095 0.982 0.944
61 0.096 0.983 0.944
62 0.096 0.983 0.945
63 0.098 0.985 0.945
64 0.100 0.985 0.946
65 0.100 0.985 0.946
66 0.100 0.985 0.947
67 0.103 0.986 0.948
68 0.103 0.986 0.948
69 0.104 0.986 0.949
70 0.104 0.986 0.949
71 0.105 0.986 0.949
72 0.105 0.986 0.950
73 0.105 0.986 0.950
74 0.106 0.987 0.951
75 0.106 0.987 0.952
76 0.107 0.987 0.954
77 0.107 0.987 0.956
78 0.107 0.987 0.956
