index	accp4	ARC	FIFO	GDSF	LHD	S4LRU	TwoQ	LeCaR	Cacheus	Hyperbolic	WTinyLFU	Clock	LIRS	S3FIFO	LFU	LRU
0.1	0.63	0.637	0.6774	0.6507	0.6341	0.6261	0.6402	0.6556	0.6287	0.6509	0.6081	0.6594	0.6336	0.6374	0.6865	0.6614
0.2	0.573	0.594	0.6616	0.6437	0.5781	0.58	0.6191	0.648	0.5603	0.6361	0.5328	0.65	0.5859	0.6077	0.6493	0.6521
0.3	0.479	0.555	0.6088	0.6388	0.5271	0.591	0.5408	0.5977	0.5912	0.6215	0.4527	0.6172	0.4939	0.543	0.6374	0.6184
0.4	0.337	0.526	0.5849	0.5655	0.436	0.61	0.4781	0.581	0.5693	0.5675	0.3831	0.5918	0.3945	0.4393	0.6239	0.5974
0.5	0.292	0.414	0.4687	0.5002	0.3628	0.6166	0.378	0.4902	0.3436	0.5201	0.3576	0.5205	0.321	0.3597	0.6067	0.5332
0.6	0.249	0.301	0.4002	0.3266	0.3455	0.6136	0.2992	0.3508	0.379	0.4462	0.2646	0.4014	0.265	0.2837	0.5894	0.4131
0.7	0.232	0.275	0.3771	0.2797	0.3303	0.6039	0.2703	0.3327	0.2714	0.3878	0.2469	0.3596	0.2439	0.2515	0.5359	0.3938
0.8	0.218	0.249	0.3566	0.2599	0.291	0.5975	0.2601	0.3117	0.2621	0.3593	0.2316	0.332	0.2265	0.2343	0.4134	0.3482
0.9	0.207	0.23	0.3412	0.2533	0.2689	0.4906	0.2438	0.3059	0.2995	0.3356	0.2169	0.3222	0.208	0.2215	0.3519	0.3351
1	0.202	0.253	0.3353	0.2444	0.2494	0.3728	0.2251	0.2702	0.307	0.3144	0.209	0.3074	0.1939	0.2259	0.2493	0.3197
1.1	0.122	0.272	0.3146	0.2349	0.2274	0.3442	0.2147	0.264	0.1964	0.2948	0.1866	0.299	0.1763	0.2233	0.2363	0.307
1.2	0.086	0.264	0.3025	0.2225	0.2093	0.308	0.2041	0.2369	0.2304	0.2774	0.1729	0.2794	0.1622	0.2068	0.2317	0.2945
1.3	0.055	0.281	0.2946	0.2178	0.1947	0.2666	0.2201	0.2431	0.2071	0.2592	0.1628	0.2584	0.1503	0.2001	0.2022	0.2918
1.4	0.051	0.251	0.2924	0.1882	0.1784	0.1788	0.2189	0.2459	0.1959	0.2456	0.1493	0.2501	0.138	0.1953	0.1888	0.2879
1.5	0.059	0.266	0.2911	0.1837	0.1631	0.1687	0.2248	0.2255	0.2753	0.2318	0.1417	0.2358	0.1245	0.1775	0.1725	0.2831
1.6	0.057	0.253	0.2891	0.1783	0.1483	0.1646	0.2076	0.2221	0.2657	0.2171	0.1283	0.2246	0.1121	0.1624	0.1694	0.2738
1.7	0.055	0.238	0.287	0.1668	0.1327	0.1536	0.1843	0.2163	0.1052	0.2043	0.1173	0.211	0.1006	0.1483	0.1683	0.2533
1.8	0.048	0.225	0.2488	0.1643	0.1212	0.15	0.1708	0.2096	0.0964	0.1938	0.1079	0.2028	0.0895	0.1329	0.1578	0.2362
1.9	0.052	0.188	0.1766	0.1417	0.1085	0.1477	0.1299	0.1353	0.0888	0.1836	0.0978	0.176	0.08	0.122	0.1562	0.195
2	0.048	0.147	0.1607	0.1391	0.098	0.1445	0.1164	0.0909	0.081	0.1688	0.0906	0.1324	0.0733	0.1002	0.1557	0.16
