trace_name fifo-mr fifo-wa flex-mr flex-wa s3fifo-mr s3fifo-wa
w01.oracleGeneral.bin.zst 0.7866 1.2126 0.6835 0.3326 0.8251 0.0729
w02.oracleGeneral.bin.zst 0.0229 4.8275 0.0081 0.5923 0.0094 0.8216
w03.oracleGeneral.bin.zst 0.5309 2.7979 0.4796 1.0402 0.4920 0.6576
w04.oracleGeneral.bin.zst 0.4010 2.5500 0.3661 0.8957 0.3841 0.7212
w05.oracleGeneral.bin.zst 0.6743 1.6675 0.6811 0.5058 0.6847 0.6046
w06.oracleGeneral.bin.zst 0.0280 1.1006 0.0263 0.5096 0.0279 0.1944
w07.oracleGeneral.bin.zst 0.2615 1.6814 0.1910 0.4743 0.2316 0.3669
w08.oracleGeneral.bin.zst 0.6836 3.2575 0.5956 1.1605 0.7303 0.6013
w09.oracleGeneral.bin.zst 0.4972 2.9850 0.4192 1.0225 0.4697 0.2087
w10.oracleGeneral.bin.zst 0.4084 1.5044 0.3772 0.6585 0.4256 0.5733
w100.oracleGeneral.bin.zst 0.5829 1.2036 0.5543 0.3791 0.6146 0.1128
w101.oracleGeneral.bin.zst 0.5870 1.1863 0.5565 0.3662 0.6155 0.0934
w102.oracleGeneral.bin.zst 0.1397 1.5101 0.1103 0.6136 0.1217 0.4487
w103.oracleGeneral.bin.zst 0.1748 1.4021 0.1604 0.5773 0.1794 0.4400
w104.oracleGeneral.bin.zst 0.7043 1.6257 0.7153 0.4614 0.7593 0.1286
w105.oracleGeneral.bin.zst 0.6709 4.4289 0.4838 0.4571 0.5677 0.1780
w106.oracleGeneral.bin.zst 0.1316 1.2187 0.1086 0.3691 0.1255 0.2379
w11.oracleGeneral.bin.zst 0.3141 5.6401 0.2930 2.9672 0.2989 2.6254
w12.oracleGeneral.bin.zst 0.0147 1.4978 0.0102 0.5205 0.0116 0.3650
w13.oracleGeneral.bin.zst 0.1753 1.1752 0.1446 0.3302 0.1795 0.2465
w14.oracleGeneral.bin.zst 0.4870 3.2128 0.3911 0.5269 0.4614 0.1737
w15.oracleGeneral.bin.zst 0.7332 3.1559 0.5136 1.1403 0.5297 0.9187
w16.oracleGeneral.bin.zst 0.7244 2.5597 0.6206 0.6413 0.6690 0.2674
w17.oracleGeneral.bin.zst 0.1253 1.4044 0.1101 0.5718 0.1202 0.3444
w18.oracleGeneral.bin.zst 0.4050 1.9334 0.3436 0.7185 0.4228 0.6082
w19.oracleGeneral.bin.zst 0.1156 4.9230 0.0892 1.2832 0.0948 1.9500
w20.oracleGeneral.bin.zst 0.5984 2.2398 0.5296 0.7929 0.6015 0.5156
w21.oracleGeneral.bin.zst 0.8621 6.8712 0.7822 1.4729 0.7921 0.4839
w22.oracleGeneral.bin.zst 0.8774 2.4103 0.7095 0.3396 0.8705 0.0375
w23.oracleGeneral.bin.zst 0.3353 5.4895 0.3031 1.0449 0.2726 0.2156
w24.oracleGeneral.bin.zst 0.4157 2.3306 0.3261 0.8136 0.3538 0.6182
