trace_name fifo-mr fifo-wa flex-mr flex-wa s3fifo-mr s3fifo-wa
w01.oracleGeneral.bin.zst 0.8258 1.2541 0.7254 0.2398 0.8357 0.0580
w02.oracleGeneral.bin.zst 0.0600 12.7359 0.0138 0.3546 0.0159 0.9764
w03.oracleGeneral.bin.zst 0.5538 2.9583 0.5040 0.6203 0.5274 0.3857
w04.oracleGeneral.bin.zst 0.4109 2.6048 0.3841 0.6815 0.3978 0.3258
w05.oracleGeneral.bin.zst 0.7639 2.6583 0.7282 0.6153 0.7523 0.1638
w06.oracleGeneral.bin.zst 0.0331 1.2481 0.0290 0.4191 0.0323 0.2720
w07.oracleGeneral.bin.zst 0.3195 1.9452 0.2238 0.3857 0.2519 0.3100
w08.oracleGeneral.bin.zst 0.8081 3.5978 0.5931 0.5747 0.7565 0.4414
w09.oracleGeneral.bin.zst 0.5105 3.0921 0.4369 0.4331 0.4940 0.1363
w10.oracleGeneral.bin.zst 0.5601 2.4584 0.4615 0.5704 0.5048 0.1437
w100.oracleGeneral.bin.zst 0.6522 1.2812 0.5762 0.2481 0.6506 0.0494
w101.oracleGeneral.bin.zst 0.6516 1.2616 0.5816 0.2482 0.6488 0.0476
w102.oracleGeneral.bin.zst 0.1617 1.8010 0.1413 0.6407 0.1489 0.4915
w103.oracleGeneral.bin.zst 0.2055 1.6501 0.1974 0.5972 0.2161 0.5054
w104.oracleGeneral.bin.zst 0.7278 1.6472 0.7566 0.3576 0.7831 0.1548
w105.oracleGeneral.bin.zst 0.7097 4.6459 0.5510 0.3501 0.6310 0.1719
w106.oracleGeneral.bin.zst 0.1468 1.3502 0.1188 0.3366 0.1368 0.2803
w11.oracleGeneral.bin.zst 0.4230 7.6394 0.4334 3.5380 0.4331 3.3671
w12.oracleGeneral.bin.zst 0.0182 1.7680 0.0121 0.4895 0.0134 0.3759
w13.oracleGeneral.bin.zst 0.1803 1.2011 0.1801 0.3290 0.2120 0.2986
w14.oracleGeneral.bin.zst 0.4982 3.2547 0.4260 0.3530 0.4727 0.1937
w15.oracleGeneral.bin.zst 0.8577 3.4687 0.6038 0.4189 0.7704 0.3332
w16.oracleGeneral.bin.zst 0.7459 2.6570 0.6378 0.3943 0.6992 0.1604
w17.oracleGeneral.bin.zst 0.1424 1.5822 0.1259 0.4959 0.1373 0.3899
w18.oracleGeneral.bin.zst 0.5797 2.5387 0.3937 0.6788 0.5138 0.3625
w19.oracleGeneral.bin.zst 0.1570 6.4359 0.1179 1.9627 0.1237 1.9682
w20.oracleGeneral.bin.zst 0.6371 2.4462 0.5610 0.3691 0.6290 0.1663
w21.oracleGeneral.bin.zst 0.8760 7.0320 0.7672 0.4952 0.8359 0.2335
w22.oracleGeneral.bin.zst 0.8797 2.4210 0.7154 0.2417 0.8732 0.0397
w23.oracleGeneral.bin.zst 0.3496 5.5413 0.2808 0.4561 0.2761 0.2644
w24.oracleGeneral.bin.zst 0.4500 2.5113 0.3883 0.6762 0.4094 0.4031
w25.oracleGeneral.bin.zst 0.2138 1.6158 0.2024 0.4969 0.2213 0.7165
w26.oracleGeneral.bin.zst 0.2648 1.6388 0.1884 0.5200 0.2041 0.3413
w27.oracleGeneral.bin.zst 0.3952 1.3617 0.3466 0.5042 0.4609 0.3809
w28.oracleGeneral.bin.zst 0.4152 1.3814 0.3922 0.4792 0.4289 0.3410
w29.oracleGeneral.bin.zst 0.4436 1.3394 0.3642 0.4280 0.4315 0.2655
w30.oracleGeneral.bin.zst 0.1326 1.8766 0.1121 0.8020 0.1160 0.6923
w31.oracleGeneral.bin.zst 0.8393 2.2865 0.7116 0.2757 0.8522 0.0435
w32.oracleGeneral.bin.zst 0.4316 1.9069 0.3829 1.2176 0.3411 0.2927
w33.oracleGeneral.bin.zst 0.1466 3.2900 0.1293 1.2984 0.1300 0.8528
w34.oracleGeneral.bin.zst 0.4513 2.8517 0.4277 0.7353 0.4442 0.3833
w35.oracleGeneral.bin.zst 0.0778 2.0648 0.0663 0.6467 0.0706 0.4658
w36.oracleGeneral.bin.zst 0.1367 3.6415 0.1168 1.3755 0.1169 0.8246
w37.oracleGeneral.bin.zst 0.4347 1.3727 0.3135 0.2582 0.3870 0.1931
w38.oracleGeneral.bin.zst 0.6338 3.6840 0.4936 0.4283 0.5616 0.2491
w39.oracleGeneral.bin.zst 0.0776 2.3470 0.0626 0.8985 0.0652 0.7267
w40.oracleGeneral.bin.zst 0.1027 2.6340 0.0877 0.9771 0.0889 0.6526
w41.oracleGeneral.bin.zst 0.0791 2.3699 0.0580 0.6821 0.0617 0.4768
w42.oracleGeneral.bin.zst 0.5611 2.5489 0.5602 0.8804 0.5744 0.6592
w43.oracleGeneral.bin.zst 0.5061 2.2533 0.3880 0.6056 0.4432 0.4920
w44.oracleGeneral.bin.zst 0.8777 5.1866 0.8198 0.2913 0.8471 0.1482
w45.oracleGeneral.bin.zst 0.1017 6.9549 0.0752 2.4947 0.0678 1.8487
w46.oracleGeneral.bin.zst 0.4366 1.0961 0.4654 0.3607 0.4878 0.2114
w47.oracleGeneral.bin.zst 0.0971 7.3287 0.0748 2.7480 0.0649 1.9650
w48.oracleGeneral.bin.zst 0.8496 4.7858 0.8286 0.3852 0.8427 0.2026
w49.oracleGeneral.bin.zst 0.5221 3.1269 0.3945 0.7782 0.4040 0.2753
w50.oracleGeneral.bin.zst 0.2863 3.0571 0.1157 0.2805 0.1905 0.2058
w51.oracleGeneral.bin.zst 0.2861 1.9886 0.2103 0.4569 0.2230 0.4050
w52.oracleGeneral.bin.zst 0.1681 3.3245 0.1052 0.6942 0.1064 0.5896
w53.oracleGeneral.bin.zst 0.6635 1.1710 0.6432 0.2755 0.6811 0.0589
w54.oracleGeneral.bin.zst 0.8529 1.0160 0.8435 0.2119 0.8505 0.0062
w55.oracleGeneral.bin.zst 0.8589 1.0804 0.8553 0.2505 0.8615 0.0661
w56.oracleGeneral.bin.zst 0.1252 2.5480 0.0842 0.7763 0.0888 0.5917
w57.oracleGeneral.bin.zst 0.1395 2.5013 0.0798 0.7020 0.0853 0.5574
w58.oracleGeneral.bin.zst 0.3261 3.0482 0.2332 0.7529 0.2594 0.6268
w59.oracleGeneral.bin.zst 0.4708 4.8178 0.5014 2.1737 0.5133 2.0951
w60.oracleGeneral.bin.zst 0.7497 2.8637 0.5698 0.3483 0.6778 0.2724
w61.oracleGeneral.bin.zst 0.4274 4.8905 0.3662 0.9004 0.3768 0.7466
w62.oracleGeneral.bin.zst 0.7339 1.4987 0.5704 0.2350 0.6524 0.0717
w63.oracleGeneral.bin.zst 0.5990 1.1676 0.5432 0.2800 0.6204 0.1920
w64.oracleGeneral.bin.zst 0.8711 1.0067 0.8908 0.2328 0.8996 0.0385
w66.oracleGeneral.bin.zst 0.4735 44.0205 0.0844 1.7434 0.0786 2.2066
w67.oracleGeneral.bin.zst 0.1389 4.4230 0.0998 1.0671 0.1019 0.8673
w68.oracleGeneral.bin.zst 0.1907 1.7049 0.1271 0.3363 0.1467 0.2106
w69.oracleGeneral.bin.zst 0.3926 2.2096 0.3045 0.5771 0.3215 0.5043
w70.oracleGeneral.bin.zst 0.1317 1.3032 0.1034 0.4588 0.1155 0.3435
w71.oracleGeneral.bin.zst 0.2413 2.6022 0.1619 0.6754 0.1726 0.5716
w72.oracleGeneral.bin.zst 0.2348 3.6956 0.1789 1.0089 0.1780 0.8033
w73.oracleGeneral.bin.zst 0.3171 2.7740 0.2462 0.9518 0.2523 0.7835
w74.oracleGeneral.bin.zst 0.1502 4.6871 0.1189 1.2390 0.1151 1.0361
w75.oracleGeneral.bin.zst 0.1196 1.4260 0.0818 0.4320 0.0939 0.3276
w76.oracleGeneral.bin.zst 0.1864 1.5091 0.1482 0.4948 0.1739 0.3595
w77.oracleGeneral.bin.zst 0.3827 2.4095 0.3070 0.6076 0.3242 0.4542
w78.oracleGeneral.bin.zst 0.2837 1.5454 0.3013 0.7591 0.3148 0.6318
w79.oracleGeneral.bin.zst 0.9045 1.0497 0.8707 0.2150 0.8950 0.0181
w80.oracleGeneral.bin.zst 0.5131 7.2951 0.4434 2.1169 0.4253 1.7221
w81.oracleGeneral.bin.zst 0.6931 5.8724 0.4695 0.2284 0.6228 0.0444
w82.oracleGeneral.bin.zst 0.4046 23.3056 0.2103 4.9716 0.2313 4.5346
w83.oracleGeneral.bin.zst 0.3517 1.9748 0.3007 0.2496 0.3441 0.1180
w84.oracleGeneral.bin.zst 0.2560 1.4497 0.2128 0.4280 0.2222 0.3391
w85.oracleGeneral.bin.zst 0.8139 6.6113 0.6331 0.2069 0.7718 0.0234
w86.oracleGeneral.bin.zst 0.9286 1.0450 0.9221 0.2115 0.9365 0.0323
w87.oracleGeneral.bin.zst 0.7257 1.5200 0.6876 0.3511 0.7162 0.2290
w88.oracleGeneral.bin.zst 0.2142 2.6471 0.1842 0.8110 0.1850 0.6281
w89.oracleGeneral.bin.zst 0.2861 1.2229 0.2619 0.3254 0.2877 0.1634
w90.oracleGeneral.bin.zst 0.4104 6.0532 0.3886 0.4240 0.4210 0.3301
w91.oracleGeneral.bin.zst 0.2629 1.4722 0.2010 0.3594 0.2405 0.3015
w92.oracleGeneral.bin.zst 0.8253 5.8822 0.6199 0.2165 0.8076 0.0213
w93.oracleGeneral.bin.zst 0.7758 3.6577 0.6281 0.3665 0.6996 0.1862
w94.oracleGeneral.bin.zst 0.4667 3.7277 0.4305 1.2923 0.4329 0.9560
w95.oracleGeneral.bin.zst 0.2628 2.4608 0.2145 0.6815 0.2221 0.6101
w96.oracleGeneral.bin.zst 0.3888 1.8893 0.2911 0.6366 0.3104 0.5276
w97.oracleGeneral.bin.zst 0.6565 1.2999 0.5804 0.2529 0.6549 0.0496
w98.oracleGeneral.bin.zst 0.6508 1.3069 0.5749 0.2537 0.6485 0.0518
w99.oracleGeneral.bin.zst 0.6433 5.2864 0.5038 0.2328 0.6146 0.0309
