benchmarks accp4 ARC Cacheus Clock FIFO FIFO-Merge GDSF Hyperbolic LHD LIRS LeCaR QDLP S3FIFO S4LRU WTinyLFU TwoQ accp4c accp4p
systor 0.207 0.192 0.166 0.076 0.000 0.075 0.131 0.075 0.153 0.175 0.067 0.202 0.218 0.153 0.123 0.191 0.210 0.196
metaCDN 0.046 0.044 0.035 0.022 0.000 0.020 0.043 0.021 0.052 0.014 0.018 0.048 0.053 0.040 -0.047 0.050 0.052 0.052
twitter 0.051 0.036 0.034 0.029 0.000 0.027 0.037 0.028 0.059 0.011 0.037 0.053 0.059 0.047 -0.023 0.055 0.056 0.055
fiu 0.188 0.158 0.132 0.062 0.000 0.066 0.093 0.060 0.129 0.168 0.077 0.163 0.164 0.115 0.080 0.146 0.195 0.164
alibabaBlock 0.073 0.055 0.053 0.022 0.000 0.023 0.028 0.015 0.057 0.055 0.025 0.060 0.070 0.045 0.039 0.058 0.070 0.071
msr 0.132 0.150 0.108 0.031 0.000 0.018 0.056 0.028 0.078 0.040 0.053 0.093 0.063 0.050 -0.036 0.051 0.158 0.142
tencentPhoto 0.228 0.135 0.159 0.101 0.000 0.110 0.167 0.119 0.223 0.124 0.080 0.243 0.254 0.227 -0.026 0.228 0.245 0.246
tencentBlock 0.067 0.057 0.048 0.027 0.000 0.022 0.037 0.019 0.046 0.051 0.029 0.060 0.063 0.050 0.011 0.059 0.068 0.065
cloudphysics 0.255 0.236 0.213 0.046 0.000 0.067 0.095 0.044 0.137 0.170 0.055 0.242 0.250 0.130 0.143 0.223 0.257 0.248
metaKV 0.059 0.045 0.044 0.033 0.000 0.028 0.047 0.029 0.056 0.047 0.038 0.059 0.061 0.049 0.048 0.058 0.059 0.059
wikimedia 0.341 0.311 0.250 0.115 0.000 0.128 0.299 0.127 0.338 0.312 0.088 0.344 0.354 0.313 0.344 0.307 0.334 0.334
