benchmarks FlexCache S3-FIFO ARC Cacheus LeCaR LIRS WTinyLFU GDSF
Twitter -0.037 -0.035 -0.004 -0.015 0.015 -0.092 -0.070 -0.124
MetaKV 0.017 0.016 0.002 0.007 0.010 -0.009 -0.012 -0.102
MetaCDN 0.001 0.003 -0.007 -0.001 0.000 -0.001 0.006 0.064
TencentPhoto 0.134 0.140 0.036 0.061 0.081 0.015 -0.005 -0.089
Wikimedia 0.342 0.366 0.238 0.197 0.189 0.247 0.285 0.041
Tencent inf 0.183 0.062 0.161 0.059 0.020 -0.062 -0.007
Systor 0.187 0.221 0.081 0.094 0.016 0.136 0.132 0.232
fiu 0.275 0.271 0.276 0.230 0.076 0.271 0.089 0.127
MSR 0.177 0.182 0.019 0.175 0.091 0.076 0.047 0.059
Alibaba 0.279 0.229 0.153 0.191 0.052 0.169 0.115 0.062
CloudPhysics 0.290 0.276 0.103 0.214 0.061 0.176 0.188 0.015
