benchmarks FlexCache S3-FIFO ARC Cacheus LeCaR LIRS WTinyLFU GDSF CAR GLCache
Twitter -0.005 0.000 -0.005 -0.005 0.010 -0.031 -0.020 -0.045 -0.009 -0.089
MetaKV 0.009 0.008 -0.005 0.001 0.005 -0.007 -0.014 -0.098 -0.005 -0.048
MetaCDN 0.002 0.006 -0.008 -0.001 0.000 0.000 0.025 0.078 -0.006 0.034
TencentPhoto 0.094 0.093 0.017 0.037 0.063 0.027 -0.013 -0.062 0.024 -0.273
Wikimedia 0.196 0.211 0.148 0.111 0.114 0.140 0.172 -0.037 0.162 -0.191
Tencent 0.159 0.144 0.033 0.137 0.039 0.068 0.026 -0.041 0.037 -0.088
Systor 0.458 0.553 0.207 0.264 0.011 0.419 0.429 0.416 0.237 0.184
fiu 0.099 0.093 0.099 0.089 0.022 0.105 -0.028 0.040 0.101 -0.013
MSR 0.441 0.132 0.031 0.176 0.029 0.339 0.311 0.158 0.056 0.019
Alibaba 0.304 0.265 0.188 0.226 0.041 0.251 0.215 0.064 0.189 0.088
CloudPhysics 0.285 0.224 0.130 0.193 0.042 0.218 0.216 -0.009 0.138 -0.058
