benchmarks FlexCache S3FIFO ARC Cacheus LeCaR LIRS WTinyLFU GDSF Hyperbolic LHD S4LRU TwoQ Clock FIFO FIFO-Merge QDLP
systor 0.196 0.218 0.192 0.165 0.067 0.175 0.125 0.131 0.075 0.153 0.153 0.191 0.076 0.000 0.075 0.202
metaCDN 0.052 0.053 0.044 0.039 0.018 0.014 -0.043 0.043 0.021 0.052 0.040 0.050 0.022 0.000 0.020 0.048
twitter 0.032 0.036 0.037 0.028 0.037 -0.065 -0.048 0.033 0.025 0.063 0.029 0.045 0.027 0.000 0.016 0.029
fiu 0.532 0.530 0.523 0.474 0.275 0.537 0.406 0.350 0.225 0.394 0.384 0.493 0.211 0.000 0.302 0.531
alibabaBlock 0.165 0.165 0.147 0.139 0.093 0.133 0.105 0.102 0.071 0.132 0.122 0.148 0.079 0.000 0.074 0.153
msr 0.216 0.125 0.219 0.176 0.068 0.104 0.090 0.106 0.045 0.155 0.092 0.106 0.045 0.000 0.064 0.160
tencentPhoto 0.246 0.254 0.135 0.175 0.080 0.124 -0.000 0.167 0.119 0.223 0.227 0.228 0.101 0.000 0.110 0.243
tencentBlock 0.145 0.150 0.139 0.122 0.087 0.110 -0.008 0.097 0.060 0.117 0.106 0.143 0.077 0.000 0.064 0.147
cloudphysics 0.259 0.261 0.246 0.197 0.061 0.179 0.153 0.103 0.048 0.144 0.138 0.234 0.050 0.000 0.072 0.252
metaKV 0.059 0.061 0.045 0.044 0.038 0.047 0.050 0.047 0.029 0.056 0.049 0.058 0.033 0.000 0.028 0.059
wikimedia 0.319 0.337 0.292 0.217 0.090 0.292 0.321 0.286 0.123 0.315 0.297 0.294 0.115 0.000 0.125 0.327
