benchmarks FlexCache S3-FIFO ARC Cacheus LeCaR LIRS WTinyLFU GDSF
Twitter 0.013 0.014 0.006 0.005 0.008 -0.045 -0.042 0.009
MetaKV 0.015 0.016 0.006 0.008 0.005 0.009 -0.002 0.007
MetaCDN 0.030 0.033 0.022 0.014 0.001 -0.005 -0.029 0.020
TencentPhoto 0.105 0.104 0.030 0.057 0.022 0.044 -0.083 0.061
Wikimedia 0.134 0.145 0.118 0.069 0.004 0.119 0.144 0.121
Tencent 0.043 0.042 0.036 0.030 0.009 0.026 -0.018 0.014
Systor 0.194 0.219 0.228 0.140 0.008 0.217 0.090 0.082
fiu 0.116 0.113 0.115 0.111 0.024 0.125 0.071 0.053
MSR 0.281 0.167 0.167 0.155 0.052 0.204 0.179 0.079
Alibaba 0.118 0.105 0.079 0.075 0.006 0.092 0.090 0.011
CloudPhysics 0.184 0.166 0.155 0.130 0.022 0.130 0.082 0.049
