freq num average numcdf
1 517530 0.000 517530
2 270371 1494720.000 787901
3 139644 1887500.000 927545
4 98128 1981150.000 1025673
5 88133 1788010.000 1113806
6 73078 1673730.000 1186884
7 54896 1611570.000 1241780
8 42058 1490040.000 1283838
9 32969 1343630.000 1316807
10 27239 1253900.000 1344046
11 25518 1321230.000 1369564
12 19590 1146890.000 1389154
13 15566 1039670.000 1404720
14 13052 980544.000 1417772
15 10536 913653.000 1428308
16 9084 872570.000 1437392
17 7663 818263.000 1445055
18 6737 782845.000 1451792
19 5708 747268.000 1457500
20 5075 695600.000 1462575
21 4436 671632.000 1467011
22 4248 642225.000 1471259
23 4008 634569.000 1475267
24 3464 614484.000 1478731
25 3109 570895.000 1481840
26 3387 606308.000 1485227
27 4495 701511.000 1489722
28 6266 736754.000 1495988
29 4314 661376.000 1500302
30 3123 602487.000 1503425
31 1993 488520.000 1505418
32 1525 399043.000 1506943
33 1392 373107.000 1508335
34 1442 396983.000 1509777
35 1231 345569.000 1511008
36 1189 372690.000 1512197
37 1316 386551.000 1513513
38 1077 347688.000 1514590
39 1080 347691.000 1515670
40 1028 334424.000 1516698
41 956 342907.000 1517654
42 937 323010.000 1518591
43 941 324422.000 1519532
44 882 310845.000 1520414
45 780 314578.000 1521194
46 826 297393.000 1522020
47 821 305419.000 1522841
48 769 301347.000 1523610
49 749 295234.000 1524359
50 794 300950.000 1525153
51 786 290114.000 1525939
52 842 308617.000 1526781
53 754 280991.000 1527535
54 715 280684.000 1528250
55 777 292134.000 1529027
56 759 289355.000 1529786
57 745 287480.000 1530531
58 718 285309.000 1531249
59 735 286596.000 1531984
60 721 284691.000 1532705
61 823 300330.000 1533528
62 780 280954.000 1534308
63 823 294221.000 1535131
64 904 298334.000 1536035
65 826 281597.000 1536861
66 789 284785.000 1537650
67 865 275402.000 1538515
68 996 279899.000 1539511
69 937 277614.000 1540448
70 1905 317350.000 1542353
71 928 275521.000 1543281
72 1082 284106.000 1544363
73 1050 279632.000 1545413
74 1044 283766.000 1546457
75 1228 280796.000 1547685
76 1274 283406.000 1548959
77 1338 281175.000 1550297
78 1454 283426.000 1551751
79 1398 281432.000 1553149
80 1421 280792.000 1554570
81 1501 275375.000 1556071
82 1396 273129.000 1557467
83 1423 270492.000 1558890
84 1327 263750.000 1560217
85 1384 266656.000 1561601
86 1321 260796.000 1562922
87 1140 255687.000 1564062
88 984 248691.000 1565046
89 833 239179.000 1565879
90 800 235084.000 1566679
91 680 226155.000 1567359
92 687 222111.000 1568046
93 536 208068.000 1568582
94 449 202512.000 1569031
95 411 181830.000 1569442
96 353 189884.000 1569795
97 419 186732.000 1570214
98 299 156905.000 1570513
99 274 148533.000 1570787
100 311 157640.000 1571098
101 559 199362.000 1571657
102 283 153898.000 1571940
103 314 159812.000 1572254
104 775 206753.000 1573029
105 236 144922.000 1573265
106 816 210323.000 1574081
107 214 129144.000 1574295
108 223 118846.000 1574518
109 186 126575.000 1574704
110 181 116673.000 1574885
111 167 118296.000 1575052
112 175 111073.000 1575227
113 194 102899.000 1575421
114 159 102780.000 1575580
115 177 100361.000 1575757
116 160 101581.000 1575917
117 183 100634.000 1576100
118 181 115957.000 1576281
119 175 99492.100 1576456
120 157 97128.900 1576613
121 169 106057.000 1576782
122 169 91026.100 1576951
123 157 97587.700 1577108
124 153 94234.600 1577261
125 168 102084.000 1577429
126 150 95427.500 1577579
127 178 85768.900 1577757
128 151 96870.700 1577908
129 156 88523.200 1578064
130 156 87270.400 1578220
131 130 88123.900 1578350
132 139 87767.300 1578489
133 134 99228.200 1578623
134 155 82792.800 1578778
135 130 89592.100 1578908
136 152 93951.000 1579060
137 123 94565.800 1579183
138 141 95067.800 1579324
139 113 84388.300 1579437
140 143 79762.900 1579580
141 143 92160.900 1579723
142 133 82398.600 1579856
143 137 78842.300 1579993
144 132 75114.100 1580125
145 150 90147.500 1580275
146 155 94446.200 1580430
147 120 95426.200 1580550
148 137 81700.000 1580687
149 118 77820.900 1580805
150 109 95094.400 1580914
151 146 105138.000 1581060
152 124 86213.500 1581184
153 126 88291.400 1581310
154 126 88205.800 1581436
155 129 97415.100 1581565
156 103 83651.800 1581668
157 123 94313.300 1581791
158 129 79344.100 1581920
159 114 84466.300 1582034
160 127 97378.200 1582161
161 132 96646.800 1582293
162 121 83366.400 1582414
163 123 76193.700 1582537
164 126 89571.800 1582663
165 112 83300.400 1582775
166 120 82213.100 1582895
167 135 99199.700 1583030
168 123 94657.000 1583153
169 116 81933.200 1583269
170 135 95783.500 1583404
171 123 89034.900 1583527
172 128 89815.600 1583655
173 182 107084.000 1583837
174 363 123332.000 1584200
175 134 91897.900 1584334
176 362 126331.000 1584696
177 108 82092.900 1584804
178 81 80094.700 1584885
179 90 81682.800 1584975
180 94 76600.800 1585069
181 125 72286.300 1585194
182 102 75136.200 1585296
183 101 66456.900 1585397
184 61 71285.200 1585458
185 88 73553.300 1585546
186 82 77319.200 1585628
187 88 62440.200 1585716
188 102 70056.600 1585818
189 81 62888.200 1585899
190 74 63847.400 1585973
191 83 68520.700 1586056
192 73 71860.200 1586129
193 81 64651.800 1586210
194 98 68087.800 1586308
195 99 73701.000 1586407
196 97 63258.200 1586504
197 63 60942.300 1586567
198 66 67764.200 1586633
199 85 69501.000 1586718
200 305 109660.000 1587023
201 159 97655.300 1587182
202 80 68058.100 1587262
203 61 56497.000 1587323
204 72 55305.800 1587395
205 76 63107.600 1587471
206 76 58792.000 1587547
207 68 57536.200 1587615
208 69 55040.900 1587684
209 78 54280.100 1587762
210 79 63360.400 1587841
211 60 56100.900 1587901
212 67 53268.800 1587968
213 68 59876.900 1588036
214 63 52191.700 1588099
215 58 53063.800 1588157
216 78 61166.500 1588235
217 63 51334.500 1588298
218 59 56883.000 1588357
219 69 54733.700 1588426
220 71 63358.000 1588497
221 71 54924.100 1588568
222 77 61212.500 1588645
223 69 55407.300 1588714
224 72 54979.800 1588786
225 65 56413.000 1588851
226 64 52603.400 1588915
227 70 45749.900 1588985
228 57 61059.000 1589042
229 57 56281.900 1589099
230 70 57600.800 1589169
231 72 48097.100 1589241
232 56 51842.800 1589297
233 62 54584.800 1589359
234 69 61524.900 1589428
235 52 42638.900 1589480
236 72 48315.000 1589552
237 41 48070.000 1589593
238 54 41909.400 1589647
239 52 41229.500 1589699
240 48 48786.400 1589747
241 56 44398.600 1589803
242 51 60587.900 1589854
243 54 39182.400 1589908
244 55 45747.200 1589963
245 41 47677.500 1590004
246 54 37552.500 1590058
247 54 38731.200 1590112
248 45 36043.500 1590157
249 57 44307.300 1590214
250 50 45523.100 1590264
251 37 52305.600 1590301
252 68 44288.100 1590369
253 58 50756.200 1590427
254 56 49160.000 1590483
255 54 36657.900 1590537
256 58 48361.400 1590595
257 55 49130.500 1590650
258 43 40797.600 1590693
259 52 43578.900 1590745
260 42 37934.000 1590787
261 51 56234.400 1590838
262 56 42917.300 1590894
263 53 43989.300 1590947
264 53 53965.300 1591000
265 42 34875.300 1591042
266 46 43920.100 1591088
267 38 44394.300 1591126
268 36 45455.400 1591162
269 44 48611.900 1591206
270 44 44670.100 1591250
271 41 43947.800 1591291
272 26 56092.800 1591317
273 40 47034.400 1591357
274 36 40167.100 1591393
275 39 44776.300 1591432
276 38 44618.700 1591470
277 32 36246.200 1591502
278 30 32554.800 1591532
279 43 43437.200 1591575
280 46 43060.100 1591621
281 37 54287.900 1591658
282 50 41813.200 1591708
283 37 46766.500 1591745
284 30 27931.400 1591775
285 28 36164.000 1591803
286 28 51402.400 1591831
287 49 42023.600 1591880
288 38 44598.700 1591918
289 30 39808.600 1591948
290 25 41970.500 1591973
291 24 32751.000 1591997
292 41 34334.900 1592038
293 29 25047.300 1592067
294 26 37082.700 1592093
295 31 38917.400 1592124
296 27 33831.700 1592151
297 29 49740.800 1592180
298 35 35104.100 1592215
299 32 30163.800 1592247
300 36 41116.700 1592283
301 18 32946.100 1592301
302 25 39875.600 1592326
303 25 42065.100 1592351
304 30 38600.300 1592381
305 26 34219.600 1592407
306 25 43352.700 1592432
307 24 44521.700 1592456
308 27 41915.400 1592483
309 26 36954.700 1592509
310 29 38484.900 1592538
311 24 42418.000 1592562
312 26 37768.700 1592588
313 27 37536.700 1592615
314 21 27699.100 1592636
315 20 52821.100 1592656
316 28 37332.200 1592684
317 29 53926.000 1592713
318 29 50706.300 1592742
319 28 43407.600 1592770
320 31 45036.800 1592801
321 31 49888.200 1592832
322 27 41390.100 1592859
323 29 45657.600 1592888
324 30 48103.100 1592918
325 30 53642.000 1592948
326 30 51117.500 1592978
327 36 47474.000 1593014
328 30 46811.900 1593044
329 21 54142.100 1593065
330 27 58624.800 1593092
331 28 45171.400 1593120
332 23 47701.200 1593143
333 38 54963.500 1593181
334 35 56524.300 1593216
335 49 65966.800 1593265
336 20 33067.700 1593285
337 15 41095.300 1593300
338 23 44632.800 1593323
339 17 35810.600 1593340
340 17 39915.500 1593357
341 11 50338.400 1593368
342 12 40187.800 1593380
343 18 40356.300 1593398
344 13 30192.300 1593411
345 24 25767.600 1593435
346 17 33286.600 1593452
347 11 42678.800 1593463
348 31 40273.500 1593494
349 13 36566.500 1593507
350 11 39476.900 1593518
351 11 36346.500 1593529
352 16 29250.600 1593545
353 18 42942.400 1593563
354 12 31817.900 1593575
355 18 36015.600 1593593
356 15 25574.100 1593608
357 15 33482.700 1593623
358 14 27931.800 1593637
359 16 44452.500 1593653
360 15 31007.100 1593668
361 10 38898.100 1593678
362 14 34421.100 1593692
363 19 34252.900 1593711
364 8 35426.400 1593719
365 16 42908.900 1593735
366 17 33052.500 1593752
367 10 34232.400 1593762
368 11 45935.900 1593773
369 12 27260.700 1593785
370 23 39075.400 1593808
371 17 38381.500 1593825
372 13 39988.000 1593838
373 16 39735.800 1593854
374 15 35843.300 1593869
375 9 16877.900 1593878
376 10 27424.300 1593888
377 18 44410.700 1593906
378 13 38591.600 1593919
379 17 35603.500 1593936
380 22 47855.500 1593958
381 38 51464.100 1593996
382 15 47882.100 1594011
383 23 46779.700 1594034
384 20 44707.800 1594054
385 12 41341.900 1594066
386 17 42677.100 1594083
387 10 39264.200 1594093
388 15 36812.100 1594108
389 14 22522.400 1594122
390 11 32314.500 1594133
391 10 20269.500 1594143
392 10 30655.100 1594153
393 10 38305.800 1594163
394 8 25677.000 1594171
395 9 40869.200 1594180
396 8 27556.600 1594188
397 14 30575.000 1594202
398 6 47011.200 1594208
399 14 32178.100 1594222
400 10 32012.100 1594232
401 14 35031.000 1594246
402 11 20110.600 1594257
403 11 29816.300 1594268
404 10 40107.200 1594278
405 13 46051.200 1594291
406 12 37647.700 1594303
407 10 38477.600 1594313
408 7 39914.700 1594320
409 13 51141.300 1594333
410 7 35579.900 1594340
411 10 31050.200 1594350
412 9 47192.900 1594359
413 9 38397.900 1594368
414 10 40045.300 1594378
415 10 38535.900 1594388
416 6 46663.300 1594394
417 9 30915.400 1594403
418 11 22829.100 1594414
419 9 22873.600 1594423
420 10 24925.600 1594433
421 10 29268.300 1594443
422 4 34562.000 1594447
423 2 15634.000 1594449
424 8 31917.800 1594457
425 4 26556.000 1594461
426 11 39378.800 1594472
427 15 43895.500 1594487
428 11 33592.700 1594498
429 6 30242.700 1594504
430 11 37520.400 1594515
431 7 26638.000 1594522
432 5 40287.400 1594527
433 10 22702.200 1594537
434 8 32461.400 1594545
435 6 34723.500 1594551
436 8 34351.100 1594559
437 10 37453.100 1594569
