freq num average numcdf
1 209030 0.000 209030
2 930637 175465000.000 1139667
3 414433 269231000.000 1554100
4 435707 463929000.000 1989807
5 289134 420759000.000 2278941
6 303257 437238000.000 2582198
7 241376 439329000.000 2823574
8 232278 420021000.000 3055852
9 191534 382925000.000 3247386
10 191034 392345000.000 3438420
11 207113 462583000.000 3645533
12 322362 577113000.000 3967895
13 195707 460633000.000 4163602
14 205688 465614000.000 4369290
15 166904 408336000.000 4536194
16 145449 363831000.000 4681643
17 121853 318168000.000 4803496
18 115342 301795000.000 4918838
19 103156 280093000.000 5021994
20 99896 271700000.000 5121890
21 94819 261808000.000 5216709
22 90182 254931000.000 5306891
23 85430 245309000.000 5392321
24 82925 238643000.000 5475246
25 78452 231521000.000 5553698
26 76758 225878000.000 5630456
27 72775 218580000.000 5703231
28 71674 215129000.000 5774905
29 67910 208632000.000 5842815
30 66547 204100000.000 5909362
31 63982 198746000.000 5973344
32 62112 196149000.000 6035456
33 60238 189245000.000 6095694
34 58962 186889000.000 6154656
35 58208 185611000.000 6212864
36 60176 188669000.000 6273040
37 55762 179258000.000 6328802
38 53755 174324000.000 6382557
39 52228 170532000.000 6434785
40 50925 168179000.000 6485710
41 49319 164372000.000 6535029
42 49878 163073000.000 6584907
43 47639 158802000.000 6632546
44 46744 156288000.000 6679290
45 46307 154745000.000 6725597
46 44489 150948000.000 6770086
47 43943 148426000.000 6814029
48 42766 146848000.000 6856795
49 42746 145300000.000 6899541
50 41575 142498000.000 6941116
51 40542 139751000.000 6981658
52 39658 138127000.000 7021316
53 39400 136491000.000 7060716
54 38937 134936000.000 7099653
55 38057 132545000.000 7137710
56 37515 130670000.000 7175225
57 36918 129437000.000 7212143
58 36205 127660000.000 7248348
59 35563 124784000.000 7283911
60 35313 123934000.000 7319224
61 34256 121463000.000 7353480
62 34111 120770000.000 7387591
63 33401 119321000.000 7420992
64 33036 117130000.000 7454028
65 32339 116640000.000 7486367
66 32188 115532000.000 7518555
67 31708 113336000.000 7550263
68 31567 112565000.000 7581830
69 31090 110728000.000 7612920
70 30526 110118000.000 7643446
71 30201 109267000.000 7673647
72 30250 108678000.000 7703897
73 30157 107356000.000 7734054
74 30417 107410000.000 7764471
75 30528 106023000.000 7794999
76 30231 105384000.000 7825230
77 29702 104469000.000 7854932
78 29399 102979000.000 7884331
79 28664 102216000.000 7912995
80 27967 100825000.000 7940962
81 27530 99771100.000 7968492
82 27107 98621700.000 7995599
83 26518 97309600.000 8022117
84 26662 95954100.000 8048779
85 25910 95240100.000 8074689
86 25387 94625700.000 8100076
87 25264 93387800.000 8125340
88 25033 92310600.000 8150373
89 24503 91558800.000 8174876
90 24339 90615600.000 8199215
91 23963 90002400.000 8223178
92 23979 89163400.000 8247157
93 23601 88550800.000 8270758
94 22977 87600700.000 8293735
95 23014 86999300.000 8316749
96 22971 86001200.000 8339720
97 22269 85308100.000 8361989
98 22231 84983900.000 8384220
99 21931 83909100.000 8406151
100 21940 84077300.000 8428091
101 21557 82658500.000 8449648
102 21709 82210300.000 8471357
