x accp4 FIFO ARC LHD GDSF TwoQ S4LRU LeCaR Cacheus WTinyLFU Clock Hyperbolic S3FIFO LRU LFU
10 0.857 0.897 0.881 0.886 0.859 0.867 0.866 0.892 0.880 0.851 0.892 0.891 0.857 0.893 0.913
20 0.795 0.879 0.836 0.853 0.818 0.815 0.818 0.873 0.840 0.817 0.871 0.870 0.798 0.874 0.878
30 0.745 0.856 0.769 0.830 0.780 0.766 0.778 0.851 0.803 0.747 0.849 0.850 0.749 0.853 0.853
40 0.711 0.833 0.733 0.802 0.746 0.727 0.748 0.823 0.769 0.743 0.823 0.828 0.714 0.827 0.835
50 0.687 0.812 0.707 0.781 0.718 0.696 0.722 0.798 0.735 0.690 0.798 0.805 0.690 0.803 0.816
60 0.665 0.795 0.687 0.763 0.697 0.671 0.698 0.777 0.720 0.693 0.776 0.784 0.658 0.783 0.800
70 0.641 0.780 0.672 0.750 0.679 0.651 0.677 0.758 0.697 0.646 0.756 0.766 0.640 0.765 0.786
80 0.617 0.765 0.656 0.739 0.661 0.634 0.660 0.741 0.680 0.656 0.738 0.749 0.622 0.748 0.769
90 0.599 0.753 0.635 0.728 0.643 0.620 0.642 0.725 0.671 0.615 0.722 0.733 0.607 0.733 0.748
100 0.585 0.741 0.610 0.714 0.628 0.607 0.627 0.711 0.657 0.627 0.706 0.717 0.593 0.720 0.729
110 0.572 0.729 0.587 0.705 0.613 0.593 0.612 0.697 0.632 0.584 0.694 0.697 0.579 0.706 0.715
120 0.560 0.720 0.566 0.694 0.601 0.582 0.599 0.684 0.625 0.607 0.682 0.683 0.569 0.695 0.693
130 0.549 0.711 0.555 0.684 0.591 0.571 0.586 0.673 0.621 0.554 0.672 0.670 0.558 0.683 0.679
140 0.539 0.704 0.545 0.676 0.582 0.563 0.575 0.662 0.618 0.588 0.661 0.659 0.549 0.673 0.670
150 0.525 0.696 0.586 0.666 0.573 0.558 0.559 0.650 0.618 0.527 0.653 0.647 0.542 0.663 0.661
160 0.505 0.689 0.608 0.657 0.566 0.554 0.548 0.643 0.617 0.564 0.643 0.637 0.533 0.656 0.650
170 0.480 0.683 0.609 0.647 0.558 0.550 0.537 0.636 0.618 0.502 0.635 0.627 0.524 0.648 0.639
180 0.464 0.678 0.596 0.639 0.551 0.547 0.528 0.633 0.619 0.543 0.624 0.618 0.504 0.642 0.631
190 0.448 0.672 0.579 0.632 0.544 0.544 0.518 0.629 0.612 0.477 0.615 0.608 0.490 0.636 0.625
200 0.431 0.667 0.557 0.625 0.538 0.541 0.506 0.624 0.521 0.519 0.608 0.599 0.474 0.630 0.618
