x accp4 FIFO ARC LHD GDSF TwoQ S4LRU LeCaR Cacheus WTinyLFU Clock Hyperbolic S3FIFO LRU LFU
10 0.958 0.688 0.798 0.762 0.944 0.896 0.900 0.727 0.807 1.000 0.727 0.730 0.961 0.720 0.585
20 1.000 0.590 0.800 0.718 0.889 0.904 0.888 0.621 0.781 0.895 0.630 0.635 0.983 0.615 0.594
30 1.000 0.563 0.905 0.664 0.860 0.917 0.868 0.583 0.771 0.989 0.590 0.589 0.981 0.575 0.575
40 1.000 0.577 0.924 0.683 0.878 0.945 0.871 0.611 0.800 0.887 0.611 0.595 0.988 0.598 0.570
50 1.000 0.601 0.937 0.700 0.901 0.972 0.891 0.645 0.848 0.993 0.645 0.624 0.992 0.630 0.590
60 0.980 0.601 0.915 0.693 0.886 0.963 0.886 0.654 0.819 0.900 0.657 0.631 1.000 0.635 0.585
70 0.996 0.612 0.909 0.692 0.891 0.968 0.895 0.671 0.840 0.982 0.676 0.650 1.000 0.653 0.595
80 1.000 0.613 0.898 0.682 0.883 0.954 0.886 0.676 0.835 0.898 0.684 0.655 0.985 0.658 0.603
90 1.000 0.616 0.910 0.678 0.890 0.947 0.892 0.686 0.820 0.962 0.695 0.667 0.981 0.666 0.628
100 1.000 0.625 0.940 0.689 0.896 0.947 0.899 0.696 0.826 0.897 0.707 0.681 0.981 0.675 0.652
110 1.000 0.633 0.966 0.689 0.905 0.951 0.907 0.708 0.860 0.972 0.716 0.708 0.984 0.687 0.665
120 1.000 0.637 0.987 0.697 0.907 0.952 0.913 0.719 0.852 0.894 0.723 0.721 0.980 0.694 0.698
130 1.000 0.642 0.988 0.700 0.909 0.952 0.919 0.726 0.841 0.989 0.729 0.732 0.981 0.704 0.711
140 1.000 0.644 0.987 0.703 0.909 0.949 0.923 0.734 0.830 0.896 0.737 0.741 0.979 0.710 0.716
150 1.000 0.640 0.873 0.704 0.899 0.932 0.929 0.737 0.805 0.996 0.732 0.743 0.965 0.709 0.714
160 1.000 0.629 0.791 0.693 0.877 0.901 0.913 0.722 0.773 0.880 0.721 0.733 0.943 0.695 0.707
170 1.000 0.609 0.751 0.678 0.849 0.866 0.889 0.700 0.734 0.958 0.701 0.717 0.915 0.676 0.694
180 1.000 0.601 0.753 0.673 0.837 0.845 0.880 0.685 0.710 0.852 0.700 0.713 0.925 0.668 0.687
190 1.000 0.594 0.763 0.666 0.825 0.825 0.873 0.672 0.702 0.946 0.698 0.709 0.923 0.659 0.679
200 1.000 0.586 0.779 0.660 0.813 0.808 0.869 0.660 0.842 0.846 0.690 0.704 0.925 0.651 0.673
