index FlexCache S3-FIFO ARC Cacheus LeCaR LIRS WTinyLFU GDSF
w70.oracleGeneral.bin.zst_6928385 0.994 0.996 0.994 0.990 0.966 0.985 0.912 0.949
w94.oracleGeneral.bin.zst_4118188 0.959 0.954 0.814 0.882 0.685 1.000 0.832 0.697
w105.oracleGeneral.bin.zst_3375344 0.945 1.000 0.946 0.848 0.814 0.964 0.869 0.788
w35.oracleGeneral.bin.zst_15415663 0.998 1.000 0.999 0.991 0.991 0.998 0.994 0.989
w19.oracleGeneral.bin.zst_31116216 0.909 0.910 0.812 0.983 0.594 1.000 0.971 0.697
w75.oracleGeneral.bin.zst_6152624 0.997 1.000 0.993 0.977 0.961 0.995 0.971 0.956
w50.oracleGeneral.bin.zst_13448032 0.971 0.196 0.268 0.287 0.104 0.871 1.000 0.126
w97.oracleGeneral.bin.zst_3768450 0.990 1.000 0.954 0.948 0.921 0.949 1.000 0.938
w83.oracleGeneral.bin.zst_3880481 0.968 0.974 0.947 0.952 0.945 0.951 1.000 0.940
w81.oracleGeneral.bin.zst_5026619 0.999 0.999 0.993 0.965 0.940 0.994 0.978 0.947
w63.oracleGeneral.bin.zst_9380316 0.978 0.961 0.973 0.963 0.780 0.946 0.881 0.857
w86.oracleGeneral.bin.zst_4749563 0.917 0.926 0.969 0.985 0.754 0.872 0.767 0.778
w60.oracleGeneral.bin.zst_9898835 0.950 1.000 0.910 0.898 0.850 0.871 0.833 0.886
w30.oracleGeneral.bin.zst_21390010 0.936 0.962 0.967 0.884 0.855 1.000 0.873 0.829
w102.oracleGeneral.bin.zst_3558215 0.992 0.989 0.993 0.993 0.992 0.977 0.968 0.986
w78.oracleGeneral.bin.zst_5493106 0.996 0.997 0.994 0.982 0.953 0.989 0.951 0.977
w18.oracleGeneral.bin.zst_22466283 1.000 0.996 0.990 0.962 0.907 0.987 0.940 0.927
w99.oracleGeneral.bin.zst_3660840 0.983 0.988 0.993 0.946 0.940 1.000 0.963 0.941
w03.oracleGeneral.bin.zst_84712978 0.974 1.000 0.952 0.953 0.947 0.918 0.973 0.962
w42.oracleGeneral.bin.zst_16894445 0.987 1.000 0.974 0.934 0.871 0.953 0.922 0.904
w44.oracleGeneral.bin.zst_12116074 0.979 0.948 1.000 0.941 0.788 0.980 0.783 0.833
w98.oracleGeneral.bin.zst_3664418 0.990 0.999 0.953 0.943 0.919 0.949 1.000 0.934
w68.oracleGeneral.bin.zst_8875971 0.995 0.985 0.966 0.888 0.891 0.998 1.000 0.933
w27.oracleGeneral.bin.zst_19501541 1.000 0.977 0.967 0.966 0.924 0.895 0.753 0.948
