index FlexCache S3-FIFO ARC Cacheus LeCaR LIRS WTinyLFU GDSF
1 0.782 0.196 0.268 0.287 0.058 0.683 0.523 0.083
6 0.909 0.690 0.714 0.665 0.435 0.847 0.767 0.555
11 0.937 0.876 0.886 0.855 0.651 0.878 0.814 0.725
16 0.951 0.931 0.918 0.881 0.754 0.905 0.853 0.795
21 0.959 0.948 0.938 0.888 0.780 0.918 0.869 0.819
26 0.968 0.955 0.951 0.911 0.813 0.932 0.909 0.837
31 0.969 0.964 0.954 0.914 0.850 0.944 0.925 0.883
36 0.979 0.974 0.958 0.923 0.871 0.950 0.940 0.897
41 0.983 0.977 0.963 0.941 0.891 0.956 0.954 0.915
46 0.985 0.983 0.967 0.948 0.911 0.964 0.963 0.927
51 0.987 0.985 0.971 0.959 0.921 0.966 0.970 0.935
56 0.989 0.988 0.974 0.963 0.929 0.973 0.973 0.938
61 0.990 0.990 0.976 0.966 0.940 0.977 0.978 0.948
66 0.990 0.995 0.980 0.969 0.948 0.979 0.986 0.954
71 0.993 0.997 0.982 0.975 0.957 0.984 0.994 0.962
76 0.994 0.998 0.990 0.977 0.961 0.986 0.997 0.967
81 0.997 0.999 0.991 0.979 0.967 0.989 1.000 0.972
86 0.998 1.000 0.993 0.983 0.972 0.993 1.000 0.976
91 1.000 1.000 0.996 0.989 0.976 0.996 1.000 0.980
96 1.000 1.000 0.997 0.992 0.986 0.998 1.000 0.982
101 1.000 1.000 1.000 0.996 0.992 1.000 1.000 0.987
106 1.000 1.000 1.000 1.000 1.000 1.000 1.000 0.993
