,accp4,ARC,S3FIFO,QDLP,LIRS,WTinyLFU
0.1,0.6298,0.637,0.6374,0.6374,0.6336,0.6081
0.2,0.5734,0.5944,0.6077,0.6084,0.5859,0.5328
0.3,0.4789,0.5554,0.543,0.5435,0.4939,0.4527
0.4,0.3374,0.526,0.4393,0.475,0.3945,0.3831
0.5,0.2919,0.4142,0.3597,0.37,0.321,0.3576
0.6,0.2488,0.3014,0.2837,0.2966,0.265,0.2646
0.7,0.232,0.2749,0.2515,0.2563,0.2439,0.2469
0.8,0.2179,0.2489,0.2343,0.234,0.2265,0.2316
0.9,0.2066,0.2296,0.2215,0.2199,0.208,0.2169
1,0.2019,0.2525,0.2259,0.2214,0.1939,0.209
1.1,0.1223,0.272,0.2233,0.2211,0.1763,0.1866
1.2,0.0858,0.264,0.2068,0.2069,0.1622,0.1729
1.3,0.0553,0.2814,0.2001,0.2026,0.1503,0.1628
1.4,0.0514,0.2506,0.1953,0.1917,0.138,0.1493
1.5,0.0592,0.2663,0.1775,0.1745,0.1245,0.1417
1.6,0.0571,0.2534,0.1624,0.1617,0.1121,0.1283
1.7,0.0549,0.2383,0.1483,0.146,0.1006,0.1173
1.8,0.0481,0.2254,0.1329,0.1355,0.0895,0.1079
1.9,0.0518,0.1879,0.122,0.1155,0.08,0.0978
2,0.0482,0.1474,0.1002,0.1017,0.0733,0.0906
