,accp4,accp4c,accp4p,ARC,Belady,Cacheus,Clock,FIFO,FIFO-Merge,GDSF,Hyperbolic,LHD,LIRS,LeCaR,QDLP,S3FIFO,S4LRU,TwoQ,WTinyLFU
io_traces.ns329.oracleGeneral.zst,0.0784,0.0752,0.0771,0.0787,0.0502,0.0738,0.0765,0.1022,0.1036,0.0832,0.1124,0.0753,0.0859,0.0737,0.0758,0.0784,0.0749,0.0785,0.1112
io_traces.ns251.oracleGeneral.zst,0.0578,0.0547,0.0595,0.0541,0.0393,0.0533,0.0545,0.0608,0.0698,0.0669,0.0753,0.0535,0.0696,0.0536,0.0564,0.0585,0.0554,0.0562,0.0915
io_traces.ns470.oracleGeneral.zst,0.4645,0.4657,0.466,0.4675,0.4438,0.4668,0.4692,0.4876,0.4701,0.4687,0.4683,0.468,0.4648,0.4702,0.4658,0.467,0.4678,0.4747,0.4659
io_traces.ns686.oracleGeneral.zst,0.2027,0.2099,0.2041,0.1964,0.0947,0.1989,0.2055,0.2318,0.2224,0.202,0.2233,0.2018,0.1913,0.2045,0.1972,0.1947,0.1985,0.202,0.1749
io_traces.ns59.oracleGeneral.zst,0.6777,0.6796,0.6801,0.6968,0.5998,0.6996,0.7156,0.7272,0.6983,0.7142,0.7052,0.6889,0.6748,0.7165,0.6941,0.7043,0.6873,0.7087,0.6736
io_traces.ns124.oracleGeneral.zst,0.0391,0.0388,0.0392,0.0442,0.0319,0.0416,0.0428,0.069,0.0561,0.0395,0.044,0.044,0.0469,0.0412,0.0395,0.0393,0.041,0.0438,0.0605
io_traces.ns36.oracleGeneral.zst,0.6799,0.6817,0.6822,0.7003,0.6018,0.7014,0.7163,0.726,0.7001,0.7137,0.7068,0.6906,0.6785,0.7162,0.6961,0.7064,0.6907,0.7104,0.6764
io_traces.ns249.oracleGeneral.zst,0.2211,0.232,0.2423,0.2508,0.1198,0.2536,0.2875,0.2804,0.2929,0.2393,0.2872,0.2236,0.231,0.2327,0.2464,0.2139,0.3129,0.2198,0.1659
io_traces.ns706.oracleGeneral.zst,0.4355,0.4377,0.4355,0.4286,0.2528,0.4662,0.4805,0.4857,0.4598,0.4769,0.47,0.448,0.4292,0.446,0.4104,0.3872,0.4346,0.4684,0.3738
io_traces.ns657.oracleGeneral.zst,0.2166,0.224,0.2339,0.2269,0.1007,0.2227,0.2503,0.2635,0.2465,0.2357,0.2486,0.2227,0.2039,0.2182,0.2299,0.2299,0.2702,0.223,0.2223
