,accp4,accp4c,accp4p,ARC,Belady,Cacheus,Clock,FIFO,FIFO-Merge,GDSF,Hyperbolic,LHD,LIRS,LeCaR,QDLP,S3FIFO,S4LRU,TwoQ,WTinyLFU
w70.oracleGeneral.bin.zst,0.0915,0.0902,0.0906,0.088,0.0732,0.0931,0.0937,0.111,0.0979,0.0867,0.0977,0.093,0.0943,0.089,0.0888,0.0902,0.0884,0.101,0.1034
w94.oracleGeneral.bin.zst,0.2244,0.2245,0.2283,0.2319,0.1919,0.2418,0.2455,0.271,0.2713,0.2393,0.2502,0.2475,0.2394,0.2446,0.2334,0.2392,0.2311,0.2687,0.2528
w105.oracleGeneral.bin.zst,0.2409,0.2454,0.3915,0.4527,0.2546,0.416,0.5536,0.6381,0.4697,0.5413,0.512,0.4965,0.3065,0.574,0.4306,0.4351,0.3637,0.4474,0.3121
w35.oracleGeneral.bin.zst,0.0526,0.0526,0.0536,0.0512,0.0393,0.0527,0.0512,0.0563,0.0549,0.0538,0.0548,0.0526,0.0524,0.0507,0.0517,0.0527,0.0544,0.0535,0.0553
w19.oracleGeneral.bin.zst,0.05,0.0515,0.0766,0.075,0.0383,0.0679,0.0809,0.0979,0.0857,0.0875,0.0831,0.0753,0.0652,0.0761,0.0748,0.0743,0.0766,0.0779,0.0681
w75.oracleGeneral.bin.zst,0.0721,0.0721,0.0738,0.0732,0.066,0.0757,0.0798,0.0944,0.0874,0.0749,0.081,0.0788,0.0759,0.0787,0.074,0.0744,0.0743,0.0887,0.0796
w50.oracleGeneral.bin.zst,0.1056,0.111,0.1477,0.1662,0.0983,0.1323,0.2089,0.3128,0.2098,0.2009,0.2042,0.1503,0.1183,0.2162,0.1566,0.1585,0.1552,0.1997,0.1181
w97.oracleGeneral.bin.zst,0.5391,0.5413,0.5507,0.5478,0.4805,0.5638,0.5318,0.5587,0.555,0.5299,0.5454,0.5384,0.5438,0.5275,0.5479,0.5368,0.5545,0.5478,0.5376
w83.oracleGeneral.bin.zst,0.2329,0.2358,0.3026,0.2959,0.2496,0.3353,0.3388,0.3406,0.3281,0.3251,0.3202,0.3112,0.2853,0.3245,0.3201,0.3405,0.2911,0.3387,0.3073
w81.oracleGeneral.bin.zst,0.4656,0.4774,0.4796,0.5924,0.4431,0.593,0.6884,0.6907,0.6112,0.6728,0.6735,0.5297,0.4562,0.6872,0.5918,0.6564,0.5171,0.6826,0.4571
w63.oracleGeneral.bin.zst,0.5201,0.5196,0.54,0.5205,0.5115,0.5461,0.5244,0.5441,0.5526,0.5229,0.5383,0.5376,0.5495,0.5269,0.5205,0.5252,0.5427,0.5409,0.5614
w86.oracleGeneral.bin.zst,0.9083,0.9099,0.91,0.9154,0.9065,0.9169,0.9216,0.9242,0.9186,0.9176,0.9201,0.9225,0.9085,0.923,0.9153,0.9185,0.9181,0.9238,0.909
w60.oracleGeneral.bin.zst,0.2782,0.2886,0.5527,0.6427,0.3892,0.5673,0.7085,0.7412,0.5946,0.6804,0.6946,0.5513,0.4392,0.6973,0.59,0.5904,0.5274,0.7099,0.4616
w30.oracleGeneral.bin.zst,0.0741,0.0719,0.0728,0.0623,0.054,0.0675,0.0644,0.088,0.0903,0.0845,0.0948,0.0649,0.0697,0.0636,0.0652,0.0673,0.0646,0.0752,0.1049
w102.oracleGeneral.bin.zst,0.1058,0.1063,0.1077,0.1059,0.0914,0.1126,0.1077,0.1274,0.1254,0.1117,0.1282,0.108,0.1079,0.1066,0.106,0.1108,0.1094,0.1169,0.1102
w78.oracleGeneral.bin.zst,0.1974,0.1948,0.211,0.2119,0.1481,0.2114,0.2326,0.2334,0.2235,0.2203,0.2296,0.217,0.2106,0.2255,0.2118,0.2151,0.2357,0.208,0.2215
w18.oracleGeneral.bin.zst,0.2689,0.2682,0.3531,0.4297,0.249,0.4362,0.413,0.438,0.4147,0.4354,0.4456,0.4057,0.3789,0.428,0.4056,0.417,0.3976,0.4284,0.3837
w99.oracleGeneral.bin.zst,0.4157,0.4275,0.4291,0.5947,0.3957,0.5935,0.6279,0.6396,0.5451,0.6211,0.6192,0.5111,0.4121,0.631,0.5924,0.6173,0.4661,0.6222,0.4139
w03.oracleGeneral.bin.zst,0.3486,0.3572,0.3582,0.353,0.3288,0.3517,0.3797,0.4117,0.3867,0.3549,0.3814,0.3493,0.3445,0.3586,0.3542,0.3674,0.3741,0.3883,0.3492
w42.oracleGeneral.bin.zst,0.2669,0.2697,0.4321,0.503,0.2688,0.5937,0.5578,0.6204,0.4573,0.5355,0.5306,0.4671,0.3595,0.5734,0.4712,0.4799,0.4081,0.451,0.3777
w44.oracleGeneral.bin.zst,0.5239,0.5365,0.5717,0.8266,0.499,0.6664,0.857,0.8655,0.7076,0.8441,0.8368,0.6489,0.5344,0.8626,0.6078,0.6087,0.6096,0.8578,0.5776
w98.oracleGeneral.bin.zst,0.532,0.5357,0.543,0.5386,0.4763,0.5584,0.5233,0.5497,0.5486,0.5212,0.5384,0.5322,0.5385,0.5186,0.5396,0.5288,0.5486,0.5398,0.5349
w68.oracleGeneral.bin.zst,0.0997,0.0998,0.1028,0.1072,0.092,0.1147,0.1241,0.1396,0.1222,0.1165,0.1201,0.1109,0.1039,0.1149,0.1072,0.1112,0.1044,0.1249,0.1085
w27.oracleGeneral.bin.zst,0.2622,0.2654,0.2736,0.2547,0.222,0.2683,0.2805,0.3072,0.302,0.2862,0.2933,0.2986,0.2819,0.2841,0.261,0.2806,0.3502,0.3037,0.3103
w101.oracleGeneral.bin.zst,0.5444,0.5472,0.5553,0.5532,0.4891,0.5632,0.5431,0.5599,0.5604,0.5411,0.5487,0.5423,0.549,0.539,0.553,0.5393,0.5581,0.5501,0.5459
w28.oracleGeneral.bin.zst,0.3221,0.318,0.3255,0.3272,0.3011,0.3294,0.3281,0.3548,0.3538,0.3281,0.3292,0.352,0.3561,0.338,0.3274,0.3328,0.3207,0.3555,0.4016
w23.oracleGeneral.bin.zst,0.2021,0.2023,0.2205,0.2266,0.1381,0.2225,0.2342,0.2867,0.2476,0.2354,0.2362,0.2465,0.2235,0.2421,0.2213,0.2279,0.222,0.2374,0.2314
w54.oracleGeneral.bin.zst,0.8362,0.8361,0.8377,0.8345,0.8314,0.8402,0.8345,0.84,0.8394,0.8345,0.8345,0.8349,0.838,0.8346,0.8345,0.8356,0.8375,0.8391,0.8386
w13.oracleGeneral.bin.zst,0.149,0.1495,0.1502,0.1586,0.1397,0.1511,0.183,0.176,0.1791,0.1669,0.1665,0.1698,0.1516,0.1567,0.161,0.1501,0.1551,0.1736,0.1529
w22.oracleGeneral.bin.zst,0.6238,0.6436,0.6479,0.8624,0.5469,0.8637,0.8675,0.8734,0.7644,0.8664,0.8519,0.7208,0.6063,0.8701,0.7987,0.7999,0.7055,0.8702,0.61
w51.oracleGeneral.bin.zst,0.184,0.1845,0.1846,0.1843,0.1819,0.1845,0.2007,0.2035,0.2025,0.1867,0.1982,0.1983,0.1867,0.1998,0.1843,0.1861,0.1847,0.2027,0.1885
w84.oracleGeneral.bin.zst,0.1725,0.1747,0.1843,0.1797,0.1496,0.1836,0.1922,0.2185,0.2033,0.1873,0.1975,0.182,0.1801,0.1914,0.1804,0.1872,0.2117,0.1978,0.1878
w37.oracleGeneral.bin.zst,0.2869,0.2925,0.2958,0.3081,0.27,0.2927,0.3529,0.3811,0.3554,0.3298,0.342,0.3172,0.284,0.354,0.3077,0.3245,0.3065,0.3629,0.2881
w87.oracleGeneral.bin.zst,0.6053,0.6065,0.6222,0.6244,0.5776,0.6387,0.627,0.6561,0.6358,0.6284,0.6307,0.6463,0.616,0.6316,0.6266,0.6328,0.6286,0.6543,0.6185
w34.oracleGeneral.bin.zst,0.2923,0.2918,0.2959,0.2931,0.2629,0.3002,0.3101,0.3261,0.3141,0.2996,0.3063,0.3107,0.3041,0.3139,0.2949,0.298,0.297,0.3189,0.3222
w66.oracleGeneral.bin.zst,0.0356,0.0361,0.039,0.0391,0.0191,0.0404,0.039,0.0884,0.0715,0.0441,0.0468,0.0405,0.039,0.0377,0.0389,0.0388,0.0403,0.0435,0.0381
w06.oracleGeneral.bin.zst,0.026,0.0256,0.0258,0.0253,0.0245,0.0254,0.0263,0.0277,0.0296,0.0256,0.0257,0.027,0.0276,0.0261,0.0253,0.0257,0.0259,0.0272,0.0331
w91.oracleGeneral.bin.zst,0.1669,0.17,0.1817,0.1839,0.1386,0.1956,0.2233,0.2501,0.237,0.2096,0.2355,0.211,0.1781,0.2031,0.1841,0.2032,0.1869,0.2302,0.1769
