,accp4,accp4c,accp4p,ARC,Belady,Cacheus,Clock,FIFO,FIFO-Merge,GDSF,Hyperbolic,LHD,LIRS,LeCaR,QDLP,S3FIFO,S4LRU,TwoQ,WTinyLFU
fiu_webresearch-030409-033109.oracleGeneral.zst,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
fiu_webmail.cs.fiu.edu-110108-113008.oracleGeneral.zst,0.5305,0.5311,0.533,0.5328,0.4929,0.5372,0.5523,0.5784,0.5557,0.5389,0.5434,0.5403,0.5327,0.5484,0.5323,0.5327,0.5324,0.5354,0.5405
fiu_ikki-110108-112108.oracleGeneral.zst,0.6774,0.6734,0.6794,0.6825,0.5913,0.6901,0.7193,0.7358,0.7134,0.7152,0.7178,0.7035,0.6763,0.7136,0.6787,0.6813,0.7032,0.6975,0.7164
fiu_webmail+online.cs.fiu.edu-110108-113008.oracleGeneral.zst,0.653,0.6539,0.6555,0.6569,0.6152,0.6594,0.6739,0.7051,0.6785,0.6596,0.6686,0.6664,0.6579,0.6669,0.6548,0.6553,0.6551,0.6581,0.6596
fiu_online.cs.fiu.edu-110108-113008.oracleGeneral.zst,0.8084,0.8086,0.8098,0.8106,0.7741,0.8152,0.8276,0.846,0.8266,0.8192,0.8256,0.8195,0.8111,0.8247,0.8103,0.8107,0.8145,0.811,0.8101
fiu_casa-110108-112108.oracleGeneral.zst,0.2257,0.2242,0.229,0.2279,0.1966,0.2325,0.2416,0.2662,0.2453,0.2448,0.2513,0.2343,0.2296,0.2385,0.2281,0.2287,0.2427,0.2382,0.2945
fiu_webusers-030409-033109.oracleGeneral.zst,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
fiu_cheetah.cs.fiu.edu-110108-113008.oracleGeneral.zst,0.3049,0.3182,0.4991,0.4886,0.28,0.5032,0.5217,0.5619,0.573,0.5899,0.5444,0.4906,0.4741,0.5169,0.4948,0.4944,0.5195,0.5024,0.5073
fiu_madmax-110108-112108.oracleGeneral.zst,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
fiu_homes-110108-112108.oracleGeneral.zst,0.4285,0.4248,0.4359,0.4336,0.37,0.4356,0.4481,0.4654,0.4533,0.453,0.4529,0.4393,0.435,0.4453,0.436,0.438,0.4539,0.4423,0.4888
