,accp4,accp4c,accp4p,ARC,Belady,Cacheus,Clock,FIFO,FIFO-Merge,GDSF,Hyperbolic,LHD,LIRS,LeCaR,QDLP,S3FIFO,S4LRU,TwoQ,WTinyLFU
msr_proj_2.oracleGeneral.zst,0.6227,0.6203,0.6486,0.6615,0.5529,0.7136,0.6562,0.6855,0.6853,0.6552,0.6574,0.6856,0.6593,0.6674,0.674,0.6759,0.6798,0.6833,0.7286
msr_proj_1.oracleGeneral.zst,0.6667,0.664,0.6655,0.6639,0.6536,0.6727,0.6641,0.6871,0.6707,0.6639,0.6641,0.6692,0.6802,0.6667,0.6639,0.6671,0.6664,0.6813,0.6951
msr_prxy_0.oracleGeneral.zst,0.0161,0.016,0.0164,0.0167,0.0124,0.017,0.0172,0.0213,0.019,0.0165,0.0173,0.0154,0.0176,0.0166,0.0166,0.0162,0.0168,0.0171,0.0163
msr_prxy_1.oracleGeneral.zst,0.0024,0.0024,0.0024,0.0024,0.0023,0.0024,0.0024,0.0028,0.0026,0.0024,0.0024,0.0024,0.0024,0.0024,0.0024,0.0024,0.0024,0.0026,0.0025
msr_prn_0.oracleGeneral.zst,0.1355,0.1362,0.1373,0.1338,0.1274,0.1364,0.1411,0.1556,0.1533,0.1365,0.1527,0.1375,0.1361,0.1343,0.135,0.1362,0.1349,0.1459,0.1557
msr_usr_1.oracleGeneral.zst,0.3336,0.3288,0.33,0.3262,0.3084,0.3309,0.3271,0.3475,0.336,0.3269,0.3324,0.3342,0.3287,0.3302,0.3261,0.33,0.3288,0.3374,0.3379
msr_prn_1.oracleGeneral.zst,0.1989,0.2018,0.2035,0.205,0.1935,0.2072,0.2405,0.2488,0.2526,0.2106,0.2304,0.2193,0.1986,0.2136,0.2049,0.2091,0.2052,0.2433,0.1988
msr_proj_0.oracleGeneral.zst,0.0832,0.0837,0.0891,0.0909,0.0678,0.0902,0.0942,0.1044,0.1059,0.0915,0.0972,0.0943,0.0923,0.0909,0.0914,0.0843,0.0882,0.1017,0.1074
msr_src1_1.oracleGeneral.zst,0.5447,0.5684,0.6484,0.6,0.4386,0.5477,0.763,0.7648,0.6335,0.7364,0.7341,0.5253,0.4993,0.6229,0.5929,0.7104,0.5499,0.76,0.529
msr_hm_0.oracleGeneral.zst,0.1672,0.1674,0.1721,0.1749,0.1185,0.1756,0.1798,0.1934,0.1864,0.1746,0.1821,0.1797,0.1768,0.1788,0.1751,0.1755,0.1722,0.185,0.1746
msr_src1_0.oracleGeneral.zst,0.2826,0.3227,0.3916,0.4058,0.1962,0.2847,0.6464,0.5916,0.4358,0.4778,0.5613,0.3868,0.2386,0.444,0.3916,0.3487,0.3628,0.4096,0.2241
msr_web_2.oracleGeneral.zst,0.4662,0.4894,0.7014,0.8955,0.4754,0.6798,0.9273,0.9217,0.7071,0.9272,0.858,0.6674,0.6335,0.9227,0.6809,0.6487,0.6051,0.7207,0.4915
msr_proj_4.oracleGeneral.zst,0.4668,0.4698,0.4699,0.472,0.4644,0.4727,0.4868,0.582,0.536,0.4753,0.4988,0.4942,0.4648,0.4844,0.472,0.5057,0.4742,0.5346,0.4653
msr_usr_2.oracleGeneral.zst,0.7088,0.7074,0.7092,0.7067,0.6977,0.7132,0.7058,0.7342,0.721,0.7057,0.7122,0.7298,0.7171,0.714,0.7063,0.7193,0.711,0.724,0.7252
