,ARC,Belady,Cacheus,Clock,FIFO,FIFO-Merge,GDSF,Hyperbolic,LHD,LIRS,LeCaR,QDLP,S3FIFO,S4LRU,TwoQ,WTinyLFU,accp4,accp4c,accp4p
tencentBlock.ns1228.oracleGeneral.zst,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
tencentBlock.ns10197.oracleGeneral.zst,0.223,0.1934,0.2276,0.2374,0.2653,0.2444,0.2331,0.2432,0.2346,0.2277,0.2357,0.2229,0.2238,0.2307,0.2248,0.2643,0.2242,0.2225,0.2229
tencentBlock.ns6930.oracleGeneral.zst,0.2702,0.2437,0.272,0.2787,0.2996,0.2797,0.2747,0.2775,0.2771,0.2726,0.2766,0.2689,0.272,0.2731,0.272,0.284,0.2702,0.2698,0.2701
tencentBlock.ns4699.oracleGeneral.zst,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
tencentBlock.ns22008.oracleGeneral.zst,0.4633,0.4287,0.4643,0.4998,0.5181,0.4988,0.4753,0.5032,0.4893,0.4643,0.4903,0.4599,0.4597,0.5053,0.4558,0.4639,0.4581,0.4579,0.4579
tencentBlock.ns18283.oracleGeneral.zst,0.3052,0.2466,0.3054,0.3144,0.3702,0.3298,0.3115,0.3172,0.3089,0.3181,0.31,0.3071,0.3063,0.3096,0.3052,0.3989,0.3073,0.3061,0.3061
tencentBlock.ns7775.oracleGeneral.zst,0.3768,0.2988,0.4092,0.4396,0.4729,0.4355,0.4215,0.44,0.414,0.3786,0.4275,0.3802,0.3797,0.4089,0.3917,0.4489,0.3741,0.374,0.3791
tencentBlock.ns17085.oracleGeneral.zst,0.3158,0.2625,0.3316,0.3557,0.3817,0.3588,0.363,0.3723,0.35,0.3271,0.3574,0.2987,0.2872,0.3199,0.2968,0.3549,0.2925,0.3002,0.3005
tencentBlock.ns11873.oracleGeneral.zst,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
tencentBlock.ns6171.oracleGeneral.zst,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
tencentBlock.ns1084.oracleGeneral.zst,0.8648,0.7245,0.8644,0.8979,0.9164,0.8976,0.8917,0.8982,0.8508,0.8637,0.8965,0.8654,0.8667,0.8783,0.8748,0.843,0.8587,0.8652,0.8621
