,ARC,Belady,Cacheus,Clock,FIFO,FIFO-Merge,GDSF,Hyperbolic,LHD,LIRS,LeCaR,QDLP,S3FIFO,S4LRU,TwoQ,WTinyLFU,accp4,accp4c,accp4p
cluster18.oracleGeneral.zst,0.0367,0.0126,0.0331,0.0329,0.0407,0.0335,0.0234,0.0316,0.0281,0.0289,0.0281,0.0281,0.0275,0.0297,0.0285,0.021,0.027,0.0275,0.028
cluster5.oracleGeneral.zst,0.2078,0.1984,0.2116,0.2099,0.2129,0.2047,0.2036,0.2044,0.2079,0.2079,0.2084,0.2053,0.2025,0.2031,0.2064,0.2069,0.2038,0.204,0.204
cluster4.oracleGeneral.zst,0.0435,0.0316,0.0442,0.0432,0.0474,0.0434,0.0403,0.0423,0.0425,0.0433,0.0423,0.0404,0.0389,0.0407,0.0407,0.0442,0.0398,0.0398,0.0399
cluster50.oracleGeneral.zst,0.2069,0.1007,0.2071,0.1858,0.2173,0.199,0.1936,0.1971,0.1806,0.199,0.1857,0.1825,0.1866,0.1809,0.1902,0.23,0.2026,0.186,0.1922
cluster27.oracleGeneral.zst,0.4046,0.2273,0.4268,0.4618,0.4657,0.4482,0.4328,0.4693,0.482,0.3936,0.4409,0.404,0.3821,0.4323,0.3985,0.3701,0.3927,0.3997,0.4032
cluster21.oracleGeneral.zst,0.9403,0.9375,0.939,0.9407,0.9415,0.9394,0.9404,0.9403,0.9398,0.9399,0.9409,0.9389,0.939,0.9397,0.9396,0.9406,0.9389,0.9396,0.939
cluster11.oracleGeneral.zst,0.0973,0.0409,0.0837,0.1187,0.1442,0.1358,0.0953,0.1419,0.0778,0.0789,0.0845,0.0965,0.0934,0.1024,0.0863,0.068,0.0905,0.0961,0.0997
cluster26.oracleGeneral.zst,0.0781,0.0781,0.0781,0.0782,0.0783,0.0785,0.0782,0.0782,0.0782,0.0781,0.0781,0.0781,0.0782,0.0781,0.0782,0.0813,0.0781,0.0781,0.0781
cluster16.oracleGeneral.zst,0.0543,0.0271,0.0555,0.0559,0.0653,0.0556,0.0547,0.0572,0.0517,0.0495,0.0491,0.0507,0.0504,0.0509,0.0491,0.1016,0.0511,0.051,0.0518
cluster23.oracleGeneral.zst,0.2709,0.2703,,0.271,0.271,0.271,0.2709,0.2709,0.2709,0.2713,0.2709,0.2709,0.2708,0.2709,0.2709,0.2716,0.271,0.2709,0.2709
cluster28.oracleGeneral.zst,0.0182,0.0121,0.018,0.0181,0.0204,0.0197,0.0177,0.0195,0.0182,0.0174,0.0173,0.0166,0.0166,0.0173,0.0166,0.0215,0.0168,0.0167,0.0167
cluster48.oracleGeneral.zst,0.3385,0.2397,0.3399,0.3475,0.3698,0.3444,0.3351,0.342,0.3757,0.3388,0.3395,0.3323,0.3369,0.3332,0.3458,0.3956,0.3327,0.3323,0.3323
cluster41.oracleGeneral.zst,0.0853,0.0783,0.0883,0.0865,0.0897,0.0862,0.0847,0.0859,0.0856,0.0853,0.0854,0.0846,0.0867,0.0843,0.0905,0.117,0.0845,0.0846,0.0846
cluster51.oracleGeneral.zst,0.0042,0.0019,0.0046,0.0039,0.0064,0.0046,0.0064,0.0079,0.0038,0.0038,0.0039,0.0036,0.0036,0.0037,0.0041,0.0044,0.0037,0.0037,0.0037
cluster7.oracleGeneral.zst,0.1354,0.0709,0.1459,0.1437,0.1513,0.1391,0.1232,0.1513,0.1207,0.1336,0.1353,0.122,0.1203,0.1382,0.1131,0.107,0.1203,0.121,0.1208
cluster3.oracleGeneral.zst,0.0167,0.0098,0.0172,0.0164,0.0206,0.0174,0.019,0.0207,0.0166,0.0162,0.0159,0.0154,0.0151,0.0155,0.0172,0.0218,0.0155,0.0156,0.0156
cluster46.oracleGeneral.zst,0.1936,0.1752,0.1983,0.1953,0.1978,0.192,0.1902,0.1925,0.1936,0.1936,0.1941,0.1904,0.1899,0.1895,0.1914,0.1934,0.1892,0.1895,0.1895
cluster30.oracleGeneral.zst,0.008,0.0051,0.0093,0.0079,0.0109,0.0084,0.0116,0.0127,0.0077,0.0077,0.0077,0.008,0.0085,0.0078,0.0096,0.012,0.0088,0.0088,0.0089
cluster17.oracleGeneral.zst,0.0051,0.0027,0.0061,0.0064,0.0098,0.0072,0.0043,0.006,0.0058,0.0048,0.0049,0.005,0.0049,0.0055,0.0057,0.0042,0.0045,0.0051,0.0049
cluster20.oracleGeneral.zst,0.0332,0.026,,0.0399,0.0458,0.0403,0.0378,0.0395,0.0397,0.0333,0.0349,0.033,0.0321,0.0366,0.0348,0.0327,0.0319,0.0328,0.0329
cluster14.oracleGeneral.zst,0.0342,0.0238,0.0326,0.0332,0.0386,0.0336,0.0327,0.0345,0.0327,0.0327,0.033,0.0316,0.0313,0.0319,0.0334,0.0397,0.0313,0.0313,0.0315
cluster52.oracleGeneral.zst,0.0486,0.0302,0.0476,0.0499,0.0574,0.0489,0.0432,0.0477,0.0491,0.0473,0.0474,0.0445,0.0424,0.0457,0.044,0.078,0.0433,0.0436,0.0436
cluster6.oracleGeneral.zst,0.0028,0.0025,0.0027,0.0028,0.0032,0.0034,0.0054,0.006,0.0031,0.0028,0.0028,0.0028,0.003,0.0028,0.0036,0.0047,0.0032,0.0031,0.0031
cluster19.oracleGeneral.zst,0.2396,0.1696,0.2467,0.2309,0.2465,0.2377,0.2268,0.2354,0.2713,0.2277,0.2306,0.2262,0.2379,0.2254,0.2501,0.3374,0.2285,0.2279,0.228
cluster34.oracleGeneral.zst,0.2859,0.1513,0.3641,0.4002,0.3764,0.3519,0.3032,0.3757,0.2081,0.2628,0.3893,0.2911,0.2228,0.2749,0.2459,0.2049,0.2795,0.2939,0.2937
cluster38.oracleGeneral.zst,0.9383,0.9383,0.9383,0.9383,0.9383,0.9383,0.9383,0.9383,0.9383,0.9383,0.9383,0.9383,0.9383,0.9383,0.9383,0.9383,0.9383,0.9383,0.9383
cluster39.oracleGeneral.zst,0.9383,0.9383,0.9383,0.9383,0.9383,0.9383,0.9383,0.9383,0.9383,0.9383,0.9383,0.9383,0.9383,0.9383,0.9383,0.9383,0.9383,0.9383,0.9383
cluster24.oracleGeneral.zst,0.0137,0.0076,0.014,0.014,0.0184,0.0147,0.0117,0.0133,0.0129,0.0134,0.0135,0.0124,0.0114,0.0128,0.0121,0.0113,0.0117,0.012,0.0119
cluster45.oracleGeneral.zst,0.3719,0.3008,0.3766,0.3748,0.3835,0.3715,0.3657,0.3705,0.3869,0.373,0.3713,0.3641,0.3569,0.3647,0.3681,0.379,0.3633,0.362,0.362
cluster44.oracleGeneral.zst,0.0297,0.017,0.0284,0.0294,0.0366,0.0306,0.0272,0.0301,0.0284,0.0289,0.0283,0.0267,0.0257,0.0275,0.028,0.0727,0.0263,0.0265,0.0264
cluster22.oracleGeneral.zst,0.2618,0.2003,0.2539,0.2592,0.2667,0.2537,0.2448,0.2506,0.265,0.2583,0.2552,0.2469,0.2359,0.2444,0.2492,0.2557,0.2428,0.2432,0.2431
cluster42.oracleGeneral.zst,0.0043,0.0034,0.0046,0.0044,0.0054,0.0048,0.006,0.0062,0.0045,0.0043,0.0043,0.0044,0.0046,0.0043,0.0054,0.0066,0.0046,0.0046,0.0046
cluster43.oracleGeneral.zst,0.0553,0.0479,0.0582,0.0564,0.06,0.0556,0.0541,0.0552,0.0562,0.0553,0.0554,0.0543,0.055,0.054,0.0585,0.0732,0.054,0.0541,0.0541
cluster9.oracleGeneral.zst,0.0053,0.0026,0.0055,0.0049,0.0064,0.0049,0.004,0.0047,0.0052,0.0046,0.0046,0.0042,0.0041,0.0044,0.0043,0.0042,0.004,0.004,0.0041
cluster54.oracleGeneral.zst,0.0503,0.0238,0.0535,0.048,0.067,0.0519,0.0399,0.0457,0.0546,0.0486,0.0465,0.0431,0.0405,0.0439,0.0435,0.0511,0.0406,0.0421,0.0416
cluster36.oracleGeneral.zst,0.0449,0.0228,0.0483,0.0444,0.05,0.0436,0.0359,0.0435,0.04,0.0414,0.0423,0.0378,0.0372,0.0408,0.0363,0.0363,0.0357,0.0362,0.0363
cluster10.oracleGeneral.zst,0.4999,0.4999,0.4999,0.4999,0.4999,0.4999,0.4999,0.4999,0.4999,0.4999,0.4999,0.4999,0.4999,0.4999,0.4999,0.4999,0.4999,0.4999,0.4999
cluster35.oracleGeneral.zst,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07
cluster49.oracleGeneral.zst,0.0847,0.0502,0.0922,0.0998,0.1094,0.0975,0.099,0.0973,0.0829,0.0785,0.0891,0.0921,0.0917,0.0927,0.0841,0.1113,0.0893,0.0929,0.0912
cluster37.oracleGeneral.zst,0.2236,0.22,0.2237,0.2232,0.2243,0.2226,0.2221,0.2224,0.2228,0.2228,0.2229,0.2221,0.2217,0.222,0.2228,0.2271,0.2219,0.2219,0.2219
cluster31.oracleGeneral.zst,0.9383,0.9383,0.9383,0.9383,0.9383,0.9383,0.9383,0.9383,0.9383,0.9383,0.9383,0.9383,0.9383,0.9383,0.9383,0.9383,0.9383,0.9383,0.9383
cluster47.oracleGeneral.zst,0.0018,0.001,0.0018,0.0018,0.0032,0.0022,0.0063,0.0085,0.0019,0.0018,0.0017,0.0017,0.0017,0.0017,0.0022,0.0023,0.0019,0.0018,0.0018
cluster2.oracleGeneral.zst,0.0033,0.0018,0.0033,0.0034,0.0042,0.0035,0.0035,0.0036,0.0036,0.0033,0.0033,0.0032,0.0032,0.0033,0.0034,0.0039,0.0034,0.0034,0.0034
cluster33.oracleGeneral.zst,0.0106,0.0041,0.013,0.0107,0.0151,0.0104,0.0154,0.0171,0.0103,0.0098,0.01,0.0098,0.0098,0.0095,0.0109,0.0116,0.0101,0.0105,0.0104
cluster13.oracleGeneral.zst,0.6281,0.6279,0.6279,0.6279,0.6279,0.6279,0.6279,0.6279,0.6279,0.628,0.6279,0.6279,0.6279,0.6279,0.6279,0.6281,0.6279,0.6279,0.6279
cluster29.oracleGeneral.zst,0.0483,0.0368,0.051,0.0492,0.0558,0.051,0.0474,0.0503,0.0487,0.0473,0.0477,0.0451,0.045,0.0475,0.0463,0.048,0.0445,0.0447,0.0447
cluster40.oracleGeneral.zst,0.0854,0.0784,0.0884,0.0866,0.0899,0.0863,0.0848,0.0862,0.0852,0.0855,0.0858,0.0847,0.0868,0.0844,0.0907,0.1288,0.0846,0.0847,0.0847
cluster53.oracleGeneral.zst,0.0579,0.0349,0.0559,0.0577,0.0678,0.0584,0.0532,0.0571,0.0558,0.0574,0.0563,0.054,0.0524,0.0544,0.0559,0.0635,0.0532,0.0533,0.0533
cluster1.oracleGeneral.zst,0.0009,0.0004,0.0009,0.001,0.002,0.0012,0.0015,0.0016,0.001,0.0009,0.0009,0.0008,0.0008,0.0009,0.001,0.0009,0.0008,0.0009,0.0008
