,flex-0.10-0.05-1.00,ARC,Belady,Cacheus,Clock,FIFO,FIFO-Merge,GDSF,Hyperbolic,LHD,LIRS,LeCaR,QDLP,S3FIFO,S4LRU,TwoQ,WTinyLFU
io_traces.ns329.oracleGeneral.zst_10600000,0.1877,0.2,0.0948,0.1907,0.1939,0.2077,0.1523,0.1194,0.2092,0.1141,0.1687,0.1934,0.1852,0.1867,0.1761,0.1849,0.1674
io_traces.ns251.oracleGeneral.zst_43400000,0.1026,0.1062,0.0618,0.0999,0.093,0.1025,0.099,0.0911,0.1095,0.0755,0.0978,0.0927,0.1007,0.1024,0.0907,0.0986,0.1081
io_traces.ns470.oracleGeneral.zst_9800000,0.4655,0.4689,0.4438,0.4695,0.4764,0.5024,0.4635,0.4586,0.4764,0.4631,0.4636,0.4751,0.4683,0.4712,0.4661,0.4778,0.4706
io_traces.ns686.oracleGeneral.zst_2800000,0.289,0.2798,0.1353,0.284,0.3164,0.3187,0.2112,0.1475,0.3083,0.1694,0.2539,0.3001,0.2839,0.2819,0.2432,0.2902,0.2234
io_traces.ns59.oracleGeneral.zst_14200000,0.6903,0.7089,0.6042,0.7093,0.7279,0.7497,0.684,0.6772,0.7234,0.6807,0.6789,0.7129,0.7082,0.7248,0.6896,0.7315,0.702
io_traces.ns124.oracleGeneral.zst_525800000,0.1281,0.1356,0.0678,0.1301,0.1378,0.239,0.1237,0.0888,0.1614,0.0887,0.125,0.13,0.1231,0.1238,0.1322,0.1461,0.1176
io_traces.ns36.oracleGeneral.zst_14400000,0.6919,0.7104,0.6053,0.7109,0.7298,0.7516,0.6858,0.6782,0.7253,0.6809,0.6807,0.7141,0.7097,0.7265,0.6926,0.7338,0.7021
io_traces.ns249.oracleGeneral.zst_2400000,0.3901,0.4281,0.2739,0.4251,0.4333,0.4465,0.3849,0.3381,0.4236,0.3442,0.3834,0.4244,0.3867,0.3752,0.3727,0.4026,0.3607
io_traces.ns706.oracleGeneral.zst_1600000,0.4627,0.4785,0.3545,0.4775,0.4888,0.4926,0.4703,0.4828,0.4863,0.4614,0.4515,0.4495,0.4583,0.4553,0.4484,0.479,0.4415
io_traces.ns657.oracleGeneral.zst_2600000,0.3392,0.3738,0.2382,0.3725,0.3942,0.4046,0.3109,0.2859,0.3871,0.2882,0.3226,0.3763,0.341,0.3413,0.3166,0.3808,0.3382
io_traces.ns335.oracleGeneral.zst_23200000,0.0743,0.082,0.046,0.0747,0.0704,0.0787,0.0678,0.0616,0.0831,0.0546,0.0706,0.0703,0.0737,0.0762,0.0689,0.0771,0.0783
io_traces.ns562.oracleGeneral.zst_1200000,0.1815,0.1731,0.1157,0.168,0.1816,0.2148,0.1855,0.1194,0.2031,0.1473,0.1581,0.1781,0.1664,0.1815,0.1746,0.2005,0.1735
io_traces.ns674.oracleGeneral.zst_11400000,0.1072,0.1289,0.0727,0.1028,0.0982,0.0992,0.1125,0.0993,0.1166,0.0854,0.1164,0.0966,0.1069,0.1125,0.1017,0.0959,0.1301
io_traces.ns425.oracleGeneral.zst_1200000,0.4099,0.5226,0.2576,0.4446,0.535,0.5497,0.3994,0.354,0.5079,0.4063,0.409,0.5388,0.4179,0.4136,0.3947,0.4535,0.3937
io_traces.ns5.oracleGeneral.zst_22400000,0.0953,0.1164,0.077,0.0957,0.095,0.0995,0.1082,0.1045,0.1119,0.091,0.1064,0.0936,0.0942,0.0957,0.0957,0.0873,0.1196
io_traces.ns376.oracleGeneral.zst_3400000,0.1302,0.1151,0.0568,0.1116,0.1356,0.1574,0.1085,0.0537,0.1687,0.069,0.1119,0.1293,0.1254,0.1211,0.1265,0.1141,0.0826
io_traces.ns606.oracleGeneral.zst_2200000,0.2893,0.3274,0.1934,0.3048,0.3426,0.3595,0.2499,0.2237,0.3317,0.2321,0.2807,0.3461,0.2868,0.2867,0.2641,0.3006,0.2832
io_traces.ns360.oracleGeneral.zst_9600000,0.0962,0.1071,0.0512,0.0978,0.1026,0.1434,0.0881,0.066,0.1227,0.0666,0.1022,0.0939,0.0867,0.0951,0.0908,0.1169,0.1061
io_traces.ns113.oracleGeneral.zst_35800000,0.1186,0.1207,0.0678,0.1143,0.1062,0.1148,0.1141,0.1083,0.1286,0.0831,0.1116,0.1048,0.1143,0.1174,0.1028,0.1131,0.1283
io_traces.ns440.oracleGeneral.zst_3200000,0.2734,0.2755,0.2446,0.2859,0.3009,0.3362,0.2843,0.2584,0.3006,0.2603,0.2696,0.3013,0.2747,0.2786,0.2714,0.2946,0.2739
io_traces.ns78.oracleGeneral.zst_37400000,0.1136,0.1179,0.0669,0.1104,0.1041,0.1135,0.1085,0.1,0.1203,0.0802,0.1088,0.1037,0.1103,0.1125,0.0997,0.1103,0.1184
io_traces.ns90.oracleGeneral.zst_12800000,0.6101,0.6313,0.3139,0.6012,0.6174,0.692,0.5191,0.3647,0.7337,0.3517,0.5681,0.6288,0.602,0.602,0.4466,0.63,0.5628
io_traces.ns260.oracleGeneral.zst_3000000,0.1696,0.1667,0.1537,0.1701,0.1834,0.2642,0.1613,0.1551,0.18,0.1648,0.1698,0.1818,0.1662,0.173,0.1702,0.1856,0.1741
io_traces.ns763.oracleGeneral.zst_2400000,0.5872,0.6456,0.5463,0.6212,0.6487,0.656,0.5669,0.4833,0.647,0.4919,0.578,0.6368,0.5897,0.5972,0.5572,0.6062,0.5886
io_traces.ns8.oracleGeneral.zst_37400000,0.1123,0.1156,0.0663,0.1081,0.1027,0.1118,0.1078,0.0989,0.1204,0.0812,0.1069,0.1016,0.1094,0.1117,0.0989,0.1088,0.1193
io_traces.ns18.oracleGeneral.zst_14000000,0.6882,0.7079,0.6049,0.7083,0.7256,0.7472,0.6859,0.6789,0.721,0.6821,0.679,0.713,0.7076,0.7224,0.6912,0.7289,0.6964
io_traces.ns432.oracleGeneral.zst_1200000,0.133,0.1387,0.0871,0.1358,0.1395,0.1503,0.1352,0.1281,0.1407,0.1286,0.1297,0.1413,0.131,0.1312,0.1291,0.1379,0.1281
io_traces.ns621.oracleGeneral.zst_4600000,0.1318,0.1543,0.0901,0.125,0.1204,0.1427,0.1247,0.1173,0.1451,0.1057,0.1269,0.1218,0.1317,0.1369,0.1271,0.1404,0.1577
io_traces.ns203.oracleGeneral.zst_4600000,0.0746,0.0771,0.0476,0.0758,0.0823,0.0926,0.0837,0.061,0.0908,0.0619,0.0717,0.0785,0.0724,0.0705,0.0744,0.0732,0.0655
io_traces.ns381.oracleGeneral.zst_1200000,0.4142,0.4694,0.2916,0.4707,0.495,0.5069,0.4178,0.4362,0.4907,0.435,0.3993,0.4767,0.4687,0.4784,0.4032,0.483,0.4124
io_traces.ns147.oracleGeneral.zst_37600000,0.1118,0.1167,0.0679,0.1085,0.1004,0.1097,0.1085,0.1006,0.1177,0.0826,0.1075,0.1,0.1081,0.1117,0.0981,0.1059,0.1208
io_traces.ns86.oracleGeneral.zst_37000000,0.1156,0.1176,0.0682,0.1118,0.1035,0.1119,0.1099,0.1018,0.1209,0.0835,0.1087,0.1027,0.112,0.1149,0.1,0.1095,0.1196
io_traces.ns421.oracleGeneral.zst_8600000,0.1354,0.1463,0.0795,0.1346,0.1302,0.1408,0.1236,0.1073,0.1512,0.0969,0.129,0.1327,0.1347,0.1366,0.1234,0.1336,0.136
io_traces.ns97.oracleGeneral.zst_18800000,0.0987,0.0987,0.0865,0.0998,0.1027,0.1057,0.0944,0.0918,0.1035,0.0949,0.0966,0.1016,0.0984,0.1003,0.0982,0.1032,0.1007
io_traces.ns369.oracleGeneral.zst_21000000,0.2173,0.2172,0.2169,0.2172,0.2174,0.2389,0.2205,0.2169,0.2173,0.2173,0.2174,0.2174,0.2172,0.2173,0.2172,0.2203,0.2184
io_traces.ns566.oracleGeneral.zst_2200000,0.4115,0.4371,0.2888,0.4229,0.4429,0.4561,0.4004,0.3675,0.4349,0.3662,0.3933,0.4278,0.4103,0.3875,0.3837,0.4257,0.3747
io_traces.ns255.oracleGeneral.zst_2200000,0.1519,0.1372,0.1082,0.1688,0.2332,0.2811,0.1731,0.1405,0.2516,0.1591,0.1424,0.2132,0.1505,0.1537,0.1877,0.1929,0.1438
io_traces.ns730.oracleGeneral.zst_14200000,0.5558,0.5506,0.4623,0.5614,0.6006,0.6795,0.5943,0.5518,0.6004,0.5698,0.5496,0.6095,0.5452,0.5437,0.5742,0.57,0.5884
io_traces.ns438.oracleGeneral.zst_2400000,0.5899,0.6516,0.5455,0.6244,0.6555,0.6636,0.5687,0.4798,0.6534,0.4887,0.5722,0.6413,0.5912,0.5957,0.5604,0.6133,0.5922
io_traces.ns286.oracleGeneral.zst_5000000,0.1806,0.1929,0.1068,0.1896,0.1812,0.2027,0.1578,0.1301,0.2059,0.1244,0.1681,0.1807,0.1764,0.1783,0.1618,0.1846,0.1674
io_traces.ns522.oracleGeneral.zst_25400000,0.0628,0.0834,0.0518,0.0635,0.0643,0.0673,0.0734,0.0687,0.0778,0.057,0.0724,0.063,0.0617,0.0614,0.0649,0.0558,0.0835
io_traces.ns242.oracleGeneral.zst_19400000,0.1188,0.1586,0.1055,0.1186,0.1199,0.132,0.1314,0.1248,0.1378,0.1136,0.1369,0.1177,0.1185,0.1213,0.1188,0.1156,0.1474
io_traces.ns298.oracleGeneral.zst_2400000,0.4013,0.4216,0.2805,0.4228,0.4324,0.4451,0.388,0.3537,0.4237,0.3491,0.3795,0.4164,0.4,0.3782,0.3742,0.4155,0.3667
io_traces.ns518.oracleGeneral.zst_1600000,0.4504,0.4718,0.2764,0.46,0.5064,0.5302,0.4061,0.3773,0.4991,0.3841,0.4116,0.4836,0.4432,0.4358,0.428,0.4609,0.4281
io_traces.ns679.oracleGeneral.zst_723000000,0.0255,0.0424,0.023,0.0254,0.0252,0.0276,0.0268,0.024,0.0251,0.0251,0.0384,0.0252,0.0254,0.0256,0.0253,0.0249,0.1216
io_traces.ns3.oracleGeneral.zst_23800000,0.5148,0.5128,0.4737,0.5187,0.5253,0.5278,0.5259,0.5142,0.5256,0.4925,0.513,0.5247,0.5149,0.5135,0.5163,0.5182,0.5245
io_traces.ns436.oracleGeneral.zst_2000000,0.3992,0.4137,0.2786,0.4262,0.4328,0.4012,0.3492,0.2972,0.4311,0.3257,0.3814,0.4109,0.3999,0.3964,0.3594,0.3974,0.3689
io_traces.ns390.oracleGeneral.zst_1400000,0.3511,0.3522,0.1766,0.3588,0.4836,0.4434,0.2831,0.1514,0.4862,0.2183,0.3062,0.4843,0.3491,0.3433,0.3347,0.3913,0.3191
io_traces.ns199.oracleGeneral.zst_2400000,0.4048,0.4294,0.282,0.4146,0.4364,0.4478,0.3917,0.3567,0.4275,0.3503,0.3843,0.421,0.4025,0.3802,0.3742,0.4179,0.3695
io_traces.ns153.oracleGeneral.zst_5200000,0.1854,0.2048,0.1058,0.1916,0.1943,0.2114,0.1491,0.1209,0.1972,0.12,0.1742,0.1994,0.1839,0.1842,0.1575,0.1956,0.1696
io_traces.ns116.oracleGeneral.zst_14400000,0.6915,0.7117,0.6074,0.7121,0.7301,0.7521,0.6879,0.6804,0.726,0.6844,0.6811,0.7159,0.7101,0.7258,0.6931,0.7342,0.7008
io_traces.ns496.oracleGeneral.zst_1800000,0.4392,0.556,0.2142,0.4257,0.6188,0.6331,0.3789,0.3445,0.5587,0.3415,0.3742,0.6229,0.4242,0.4231,0.3813,0.4848,0.3787
io_traces.ns204.oracleGeneral.zst_2200000,0.4126,0.4325,0.2932,0.4342,0.4438,0.4566,0.4017,0.3722,0.4366,0.3635,0.3939,0.427,0.4116,0.3894,0.387,0.428,0.3775
io_traces.ns561.oracleGeneral.zst_2600000,0.4155,0.4137,0.2778,0.4232,0.4549,0.5262,0.3648,0.3191,0.4688,0.3242,0.404,0.4557,0.4116,0.4126,0.4345,0.4195,0.4325
io_traces.ns259.oracleGeneral.zst_22000000,0.0783,0.0882,0.0465,0.0786,0.0751,0.0836,0.0706,0.064,0.0874,0.0557,0.074,0.0749,0.0777,0.0801,0.0726,0.0808,0.0828
