,flex-0.10-0.05-1.00,ARC,Belady,Cacheus,Clock,FIFO,FIFO-Merge,GDSF,Hyperbolic,LFU,LHD,LIRS,LRU,LeCaR,QDLP,S3FIFO,S4LRU,TwoQ,WTinyLFU
io_traces.ns329.oracleGeneral.zst_10600000,0.0945,0.1085,0.0614,0.0988,0.099,0.1247,0.0998,0.0733,0.1232,0.2877,0.0747,0.0943,0.1046,0.0943,0.0895,0.092,0.0903,0.1056,0.0899
io_traces.ns251.oracleGeneral.zst_43400000,0.0721,0.0743,0.0471,0.0655,0.0628,0.0687,0.0742,0.0675,0.0782,0.1787,0.0605,0.0745,0.0624,0.0627,0.0673,0.0697,0.0638,0.0672,0.0874
io_traces.ns470.oracleGeneral.zst_9800000,0.4592,0.4654,0.4438,0.4642,0.4683,0.4852,0.4598,0.453,0.4669,0.4656,0.4554,0.4567,0.4709,0.4685,0.4623,0.4642,0.4603,0.4705,0.4581
io_traces.ns686.oracleGeneral.zst_2800000,0.1318,0.1377,0.0728,0.1365,0.1488,0.1902,0.1166,0.0819,0.1588,0.2188,0.0954,0.1267,0.1526,0.1383,0.1218,0.119,0.134,0.1375,0.1051
io_traces.ns59.oracleGeneral.zst_14200000,0.6653,0.6955,0.5998,0.6942,0.7081,0.7225,0.6623,0.6521,0.7013,0.6986,0.6548,0.6562,0.7132,0.7132,0.6898,0.7021,0.6681,0.7074,0.6685
io_traces.ns124.oracleGeneral.zst_525800000,0.0449,0.0515,0.0342,0.0489,0.0485,0.0849,0.051,0.0406,0.0504,0.2765,0.0474,0.0488,0.0488,0.047,0.0449,0.045,0.0473,0.0515,0.0487
io_traces.ns36.oracleGeneral.zst_14400000,0.6692,0.6987,0.6018,0.696,0.7082,0.7236,0.664,0.6535,0.7029,0.7014,0.6566,0.6601,0.7125,0.7125,0.693,0.7048,0.6737,0.7092,0.6719
io_traces.ns249.oracleGeneral.zst_2400000,0.3231,0.3595,0.1925,0.3582,0.3281,0.3627,0.2963,0.2467,0.3721,0.3785,0.2555,0.3116,0.3306,0.3291,0.3355,0.3251,0.3112,0.3266,0.2804
io_traces.ns706.oracleGeneral.zst_1600000,0.4207,0.4146,0.2816,0.4413,0.4809,0.4863,0.3972,0.3823,0.4708,0.4187,0.3791,0.3679,0.4823,0.4321,0.4212,0.3895,0.387,0.4693,0.3839
io_traces.ns657.oracleGeneral.zst_2600000,0.2903,0.3084,0.1626,0.3047,0.287,0.316,0.2354,0.1979,0.3392,0.3313,0.2034,0.2835,0.2897,0.2972,0.3052,0.3047,0.2454,0.3117,0.2715
io_traces.ns335.oracleGeneral.zst_23200000,0.0462,0.0533,0.0335,0.0454,0.0453,0.0498,0.0511,0.0501,0.0581,0.4006,0.0411,0.047,0.0451,0.0446,0.0451,0.046,0.0455,0.0459,0.0483
io_traces.ns562.oracleGeneral.zst_1200000,0.1635,0.1447,0.1134,0.1451,0.1533,0.1755,0.1556,0.1151,0.159,0.1441,0.1293,0.1451,0.1536,0.1531,0.1446,0.1529,0.1524,0.1762,0.1511
io_traces.ns674.oracleGeneral.zst_11400000,0.075,0.1052,0.0709,0.0766,0.078,0.0854,0.088,0.083,0.0931,0.481,0.0733,0.0903,0.0761,0.0759,0.0739,0.0742,0.0774,0.075,0.1119
io_traces.ns425.oracleGeneral.zst_1200000,0.2935,0.2929,0.1525,0.2886,0.3237,0.3584,0.2679,0.2048,0.3279,0.3433,0.2493,0.2501,0.3475,0.3409,0.2909,0.2893,0.2796,0.3076,0.2473
io_traces.ns5.oracleGeneral.zst_22400000,0.0799,0.102,0.075,0.0804,0.0799,0.0868,0.0904,0.0895,0.0875,0.3824,0.0807,0.0888,0.0794,0.0795,0.0795,0.0804,0.0794,0.0807,0.1262
io_traces.ns376.oracleGeneral.zst_3400000,0.0563,0.059,0.0463,0.0588,0.0705,0.0993,0.0681,0.0473,0.0873,0.072,0.0519,0.0595,0.0712,0.0612,0.0535,0.0555,0.0597,0.0627,0.0564
io_traces.ns606.oracleGeneral.zst_2200000,0.2438,0.2388,0.1327,0.2396,0.2521,0.253,0.184,0.14,0.2467,0.2616,0.1586,0.2212,0.2648,0.2632,0.239,0.2394,0.2011,0.2504,0.2107
io_traces.ns360.oracleGeneral.zst_9600000,0.0552,0.068,0.0462,0.0563,0.0561,0.0861,0.0608,0.0472,0.0645,0.2487,0.0509,0.0606,0.0588,0.0548,0.0532,0.0556,0.0515,0.0707,0.0616
