,flex-0.10-0.05-1.00,ARC,Belady,Cacheus,Clock,FIFO,FIFO-Merge,GDSF,Hyperbolic,LFU,LHD,LIRS,LRU,LeCaR,QDLP,S3FIFO,S4LRU,TwoQ,WTinyLFU
io_traces.ns329.oracleGeneral.zst_10600000,0.3394,0.3511,0.1743,0.3425,0.3579,0.3735,0.3919,0.4206,0.382,0.6142,0.4305,0.3229,0.3607,0.3557,0.3348,0.3355,0.3412,0.329,0.3152
io_traces.ns251.oracleGeneral.zst_43400000,0.1582,0.1501,0.0722,0.1469,0.1467,0.1599,0.1856,0.2067,0.1799,0.3168,0.1842,0.1486,0.1447,0.1442,0.1547,0.1561,0.1518,0.1423,0.15
io_traces.ns470.oracleGeneral.zst_9800000,0.8376,0.8463,0.7779,0.8459,0.8512,0.868,0.8473,0.8463,0.8508,0.8463,0.8463,0.8362,0.8533,0.85,0.8439,0.846,0.8409,0.8507,0.8437
io_traces.ns686.oracleGeneral.zst_2800000,0.4768,0.4624,0.2402,0.4663,0.5015,0.4995,0.4965,0.4884,0.4929,0.6015,0.4964,0.4523,0.4702,0.4788,0.4713,0.4691,0.4862,0.4738,0.4342
io_traces.ns59.oracleGeneral.zst_14200000,0.8608,0.8842,0.7473,0.8845,0.8888,0.9036,0.8739,0.8782,0.8849,0.8842,0.8773,0.857,0.8905,0.8847,0.8836,0.8873,0.8635,0.8906,0.8632
io_traces.ns124.oracleGeneral.zst_525800000,0.127,0.1334,0.0644,0.1294,0.1377,0.2396,0.2146,0.2709,0.1635,0.4497,0.2703,0.1333,0.1419,0.1294,0.1216,0.1221,0.1312,0.1464,0.1361
io_traces.ns36.oracleGeneral.zst_14400000,0.8611,0.8843,0.7489,0.8846,0.8889,0.9037,0.8742,0.8784,0.8851,0.8843,0.8772,0.8574,0.8906,0.8848,0.8837,0.8874,0.8656,0.8909,0.862
io_traces.ns249.oracleGeneral.zst_2400000,0.4741,0.513,0.3053,0.5039,0.5559,0.584,0.5529,0.5549,0.5449,0.5604,0.5645,0.4754,0.5639,0.535,0.4661,0.4489,0.5057,0.4857,0.4412
io_traces.ns706.oracleGeneral.zst_1600000,0.6028,0.6349,0.4651,0.6281,0.6603,0.6647,0.6539,0.6664,0.655,0.6348,0.6531,0.6044,0.6606,0.6311,0.6178,0.6077,0.6089,0.6297,0.5684
io_traces.ns657.oracleGeneral.zst_2600000,0.5316,0.5915,0.3564,0.5908,0.6082,0.6171,0.5655,0.5637,0.595,0.5958,0.5611,0.5238,0.6102,0.5932,0.5323,0.5319,0.54,0.5956,0.5305
io_traces.ns335.oracleGeneral.zst_23200000,0.2046,0.1986,0.094,0.1968,0.1987,0.2073,0.2472,0.2895,0.2415,0.6008,0.2459,0.1996,0.197,0.197,0.2033,0.2045,0.2132,0.2005,0.21
io_traces.ns562.oracleGeneral.zst_1200000,0.4531,0.4525,0.3739,0.4478,0.4547,0.4764,0.4835,0.4404,0.4663,0.5068,0.4633,0.4492,0.456,0.4523,0.4462,0.4562,0.448,0.4673,0.4637
io_traces.ns674.oracleGeneral.zst_11400000,0.1544,0.1637,0.0766,0.1403,0.139,0.1414,0.1912,0.2101,0.1811,0.7128,0.2403,0.164,0.136,0.1352,0.1542,0.158,0.1573,0.1246,0.1902
io_traces.ns425.oracleGeneral.zst_1200000,0.5317,0.6741,0.3395,0.5657,0.685,0.6985,0.6036,0.607,0.6508,0.6781,0.6274,0.5392,0.6895,0.6887,0.5423,0.5366,0.5622,0.5819,0.524
io_traces.ns5.oracleGeneral.zst_22400000,0.1304,0.1378,0.0749,0.1261,0.1345,0.1519,0.221,0.2618,0.1954,0.5827,0.2176,0.1425,0.131,0.1294,0.1264,0.1242,0.144,0.1005,0.1445
