,flex-0.10-0.05-1.00,ARC,Belady,Cacheus,Clock,FIFO,FIFO-Merge,GDSF,Hyperbolic,LHD,LIRS,LeCaR,QDLP,S3FIFO,S4LRU,TwoQ,WTinyLFU
io_traces.ns329.oracleGeneral.zst_10600000,0.1668,0.1799,0.092,0.1741,0.1825,0.2274,0.253,0.2383,0.2246,0.2685,0.1731,0.1721,0.1568,0.1588,0.1624,0.1791,0.1639
io_traces.ns251.oracleGeneral.zst_43400000,0.0924,0.0778,0.0414,0.0724,0.0758,0.092,0.1314,0.1681,0.125,0.1479,0.083,0.0743,0.0804,0.0826,0.0807,0.0711,0.093
io_traces.ns470.oracleGeneral.zst_9800000,0.8184,0.836,0.7779,0.8273,0.8405,0.8511,0.8382,0.8362,0.8374,0.8281,0.8142,0.8384,0.8229,0.8249,0.8259,0.8299,0.8117
io_traces.ns686.oracleGeneral.zst_2800000,0.2495,0.2641,0.1431,0.2536,0.2606,0.3096,0.292,0.2743,0.2775,0.3082,0.2638,0.2493,0.2362,0.2323,0.2478,0.2488,0.2387
io_traces.ns59.oracleGeneral.zst_14200000,0.8295,0.8711,0.7418,0.8654,0.8779,0.8826,0.8574,0.8552,0.8663,0.8496,0.825,0.8772,0.8622,0.865,0.8377,0.8681,0.8283
io_traces.ns124.oracleGeneral.zst_525800000,0.0399,0.0448,0.0282,0.0437,0.0434,0.0812,0.0657,0.0669,0.0453,0.0931,0.0441,0.0418,0.0397,0.0398,0.0421,0.0464,0.0492
io_traces.ns36.oracleGeneral.zst_14400000,0.833,0.8739,0.7443,0.8663,0.8762,0.8818,0.859,0.856,0.8667,0.8507,0.8284,0.8743,0.8651,0.867,0.8423,0.8691,0.8308
io_traces.ns249.oracleGeneral.zst_2400000,0.3719,0.4061,0.1835,0.4148,0.3858,0.4496,0.4703,0.4732,0.4505,0.4654,0.3566,0.3881,0.391,0.3761,0.4,0.3685,0.3281
io_traces.ns706.oracleGeneral.zst_1600000,0.533,0.5739,0.3339,0.5677,0.6354,0.6482,0.6001,0.6079,0.6261,0.599,0.511,0.5952,0.54,0.5042,0.5573,0.6016,0.5032
io_traces.ns657.oracleGeneral.zst_2600000,0.4438,0.4636,0.2345,0.4598,0.4362,0.4796,0.4958,0.5053,0.5263,0.4819,0.4455,0.4521,0.4697,0.4691,0.4666,0.4764,0.4407
