,flex-0.10-0.05-1.00,ARC,Belady,CAR,Cacheus,Clock,FIFO,FIFO-Merge,GDSF,GLCache,Hyperbolic,LFU,LHD,LIRS,LRU,LeCaR,QDLP,S3FIFO,S4LRU,TwoQ,WTinyLFU
io_traces.ns329.oracleGeneral.zst_10600000,0.0867,0.0952,0.0678,0.0965,0.0831,0.0868,0.116,0.1223,0.1151,0.1503,0.0968,0.2036,0.1421,0.0913,0.0812,0.0818,0.0855,0.0869,0.083,0.0935,0.1011
io_traces.ns251.oracleGeneral.zst_43400000,0.0437,0.0496,0.0315,0.0496,0.0447,0.0429,0.057,0.0719,0.1027,0.0637,0.0637,0.1437,0.0961,0.0503,0.0431,0.0427,0.0425,0.0428,0.0427,0.0467,0.0584
io_traces.ns470.oracleGeneral.zst_9800000,0.785,0.7927,0.7779,0.7927,0.8181,0.7981,0.8143,0.7995,0.8054,0.8008,0.8068,0.7927,0.7984,0.7836,0.8043,0.7997,0.7929,0.8061,0.7907,0.8109,0.7872
io_traces.ns686.oracleGeneral.zst_2800000,0.1419,0.152,0.1132,0.1551,0.1318,0.1289,0.1664,0.1492,0.1402,0.1943,0.139,0.2178,0.1606,0.1515,0.1334,0.132,0.1403,0.1387,0.13,0.1522,0.1688
io_traces.ns59.oracleGeneral.zst_14200000,0.7927,0.8076,0.7418,0.8077,0.831,0.8087,0.8172,0.8034,0.8056,0.8048,0.8026,0.8077,0.8036,0.7869,0.8103,0.8103,0.8074,0.8103,0.8047,0.8132,0.7875
io_traces.ns124.oracleGeneral.zst_525800000,0.0281,0.0302,0.0252,0.0303,0.029,0.0284,0.0393,0.0355,0.0322,0.0426,0.0286,0.0546,0.0383,0.0301,0.0285,0.0282,0.028,0.0281,0.0281,0.0334,0.0354
io_traces.ns36.oracleGeneral.zst_14400000,0.7965,0.8092,0.7443,0.8093,0.8364,0.8105,0.8161,0.8053,0.8067,0.8061,0.8046,0.8096,0.806,0.79,0.8107,0.8107,0.8092,0.8114,0.806,0.8147,0.7899
io_traces.ns249.oracleGeneral.zst_2400000,0.1626,0.1613,0.0784,0.166,0.1627,0.1764,0.2159,0.2697,0.2897,0.3003,0.1963,0.2137,0.2744,0.1581,0.1653,0.1716,0.1612,0.1567,0.181,0.176,0.1265
io_traces.ns706.oracleGeneral.zst_1600000,0.4053,0.4244,0.1861,0.4265,0.4134,0.4169,0.4579,0.4587,0.4645,0.4137,0.5152,0.4527,0.4521,0.3458,0.4167,0.4226,0.4083,0.4053,0.4243,0.4273,0.3511
io_traces.ns657.oracleGeneral.zst_2600000,0.2603,0.2432,0.1012,0.2626,0.2479,0.2682,0.2657,0.2998,0.3497,0.3551,0.2922,0.2931,0.2917,0.2414,0.2509,0.2628,0.2739,0.2586,0.2596,0.2695,0.2492
io_traces.ns335.oracleGeneral.zst_23200000,0.0432,0.0502,0.0399,0.0502,0.0405,0.0407,0.0579,0.0897,0.0637,0.0575,0.0451,0.1867,0.0425,0.0453,0.0401,0.0401,0.0432,0.0431,0.0411,0.0474,0.058
io_traces.ns562.oracleGeneral.zst_1200000,0.3999,0.4091,0.369,0.4102,0.4102,0.4109,0.4184,0.4118,0.3953,0.4088,0.4097,0.4105,0.3988,0.4007,0.4156,0.4152,0.408,0.4121,0.4065,0.4138,0.4207
io_traces.ns674.oracleGeneral.zst_11400000,0.0738,0.095,0.0734,0.0955,0.074,0.0746,0.0877,0.0903,0.0916,0.0866,0.0779,0.276,0.0743,0.0815,0.0737,0.0738,0.0744,0.0741,0.0738,0.0809,0.0977
io_traces.ns425.oracleGeneral.zst_1200000,0.1451,0.1467,0.1341,0.1467,0.1514,0.1595,0.2517,0.2064,0.1882,0.2235,0.1632,0.1544,0.2016,0.1454,0.1725,0.1518,0.1448,0.1508,0.1576,0.186,0.1468
io_traces.ns5.oracleGeneral.zst_22400000,0.0758,0.089,0.0723,0.089,0.0754,0.0747,0.0854,0.0916,0.0777,0.0895,0.0757,0.2111,0.0765,0.0792,0.0739,0.0739,0.0758,0.0761,0.0747,0.0797,0.0942
io_traces.ns376.oracleGeneral.zst_3400000,0.1699,0.1809,0.161,0.1808,0.1678,0.1632,0.1845,0.1741,0.1651,0.1767,0.1651,0.2148,0.2114,0.1948,0.1632,0.163,0.1684,0.1658,0.1641,0.1749,0.2236
io_traces.ns606.oracleGeneral.zst_2200000,0.1712,0.1625,0.0784,0.1595,0.1636,0.1816,0.2091,0.2055,0.2502,0.2614,0.1916,0.1726,0.2314,0.1607,0.192,0.176,0.1666,0.1711,0.1818,0.1868,0.1588
io_traces.ns360.oracleGeneral.zst_9600000,0.0825,0.08,0.077,0.08,0.0811,0.0801,0.0926,0.0912,0.0802,0.0847,0.081,0.0801,0.0927,0.0864,0.0803,0.0801,0.08,0.0808,0.0809,0.0875,0.0893
