,flex-0.10-0.05-1.00,ARC,Belady,Cacheus,Clock,FIFO,FIFO-Merge,GDSF,Hyperbolic,LFU,LHD,LIRS,LRU,LeCaR,QDLP,S3FIFO,S4LRU,TwoQ,WTinyLFU
w70.oracleGeneral.bin.zst_6928385,0.373,0.4436,0.3088,0.4193,0.4693,0.524,0.4127,0.3678,0.4714,0.4926,0.3582,0.3612,0.4809,0.4549,0.3694,0.3688,0.3716,0.3908,0.3528
w94.oracleGeneral.bin.zst_4118188,0.9512,0.9693,0.8979,0.9535,0.964,0.9645,0.9589,0.9488,0.9638,0.9756,0.9343,0.9542,0.9639,0.9606,0.959,0.9621,0.9471,0.9609,0.9508
w105.oracleGeneral.bin.zst_3375344,0.8333,0.834,0.7728,0.8389,0.8491,0.8527,0.8366,0.8418,0.8486,0.8594,0.8324,0.8291,0.8482,0.8386,0.8308,0.8302,0.8449,0.839,0.8435
w35.oracleGeneral.bin.zst_15415663,0.1894,0.1844,0.1336,0.1974,0.3903,0.537,0.1974,0.1258,0.4179,0.3256,0.1305,0.1831,0.4038,0.3744,0.1883,0.1867,0.1901,0.2016,0.1735
w19.oracleGeneral.bin.zst_31116216,0.932,0.9812,0.8967,0.9429,0.9853,0.9869,0.9616,0.916,0.9856,0.9587,0.847,0.9195,0.9862,0.9792,0.9334,0.939,0.8983,0.9464,0.9421
w75.oracleGeneral.bin.zst_6152624,0.3037,0.3331,0.2804,0.3171,0.3382,0.3603,0.3107,0.2473,0.3415,0.333,0.2687,0.2887,0.3457,0.3173,0.3027,0.304,0.3001,0.3168,0.2839
w50.oracleGeneral.bin.zst_13448032,0.971,0.9801,0.9578,0.9757,0.9866,0.9879,0.9875,0.9829,0.9868,0.9782,0.9595,0.9705,0.9868,0.9865,0.9735,0.9716,0.946,0.9761,0.9695
w97.oracleGeneral.bin.zst_3768450,0.7126,0.7472,0.6769,0.7198,0.7726,0.7874,0.7255,0.7079,0.7726,0.8039,0.718,0.726,0.7749,0.7553,0.7133,0.7136,0.7144,0.7168,0.7226
w83.oracleGeneral.bin.zst_3880481,0.4998,0.5159,0.472,0.5099,0.5145,0.519,0.4983,0.4774,0.5134,0.5064,0.4921,0.5054,0.5154,0.5125,0.4999,0.4966,0.502,0.4971,0.491
w81.oracleGeneral.bin.zst_5026619,0.7293,0.7456,0.7119,0.7404,0.7546,0.7631,0.7474,0.7332,0.7528,0.7594,0.7283,0.7336,0.7574,0.7391,0.7291,0.73,0.7307,0.7332,0.7325
w63.oracleGeneral.bin.zst_9380316,0.8722,0.8991,0.8094,0.8832,0.9074,0.9146,0.9051,0.893,0.9081,0.8775,0.9026,0.8782,0.9106,0.9021,0.8754,0.8757,0.8806,0.8827,0.871
w86.oracleGeneral.bin.zst_4749563,0.9529,0.9551,0.9339,0.9515,0.958,0.9589,0.9573,0.9543,0.958,0.961,0.9552,0.9534,0.9582,0.9573,0.9521,0.9542,0.9517,0.9562,0.9563
w60.oracleGeneral.bin.zst_9898835,0.8671,0.8682,0.8344,0.8647,0.8692,0.8751,0.8603,0.8469,0.8699,0.9034,0.8464,0.8737,0.8711,0.8678,0.8674,0.8694,0.8677,0.8695,0.8803
w30.oracleGeneral.bin.zst_21390010,0.7823,0.9129,0.6681,0.827,0.936,0.9391,0.8099,0.7647,0.9344,0.9516,0.7454,0.7597,0.9396,0.9299,0.7643,0.7639,0.7869,0.7948,0.795
w102.oracleGeneral.bin.zst_3558215,0.2714,0.288,0.2357,0.2791,0.3049,0.3418,0.28,0.2623,0.3136,0.3717,0.2574,0.2702,0.3131,0.2953,0.2717,0.2755,0.276,0.2807,0.2807
w78.oracleGeneral.bin.zst_5493106,0.561,0.5667,0.4861,0.5634,0.5835,0.596,0.5393,0.4811,0.5843,0.582,0.4939,0.5582,0.5885,0.5799,0.5612,0.5646,0.5327,0.5705,0.5537
w18.oracleGeneral.bin.zst_22466283,0.7334,0.768,0.7011,0.7651,0.7788,0.789,0.7558,0.7167,0.7829,0.7747,0.7193,0.7472,0.7796,0.7681,0.7343,0.7255,0.7546,0.7344,0.7265
w99.oracleGeneral.bin.zst_3660840,0.6582,0.6699,0.6428,0.6646,0.6794,0.6814,0.6764,0.6594,0.6769,0.6627,0.658,0.6679,0.68,0.6684,0.6647,0.6625,0.6643,0.669,0.6539
w03.oracleGeneral.bin.zst_84712978,0.6511,0.6761,0.5782,0.6562,0.6713,0.684,0.6592,0.6156,0.6736,0.7692,0.6216,0.6569,0.6729,0.6655,0.6539,0.6537,0.6501,0.6447,0.6297
w42.oracleGeneral.bin.zst_16894445,0.8123,0.8231,0.7716,0.8152,0.8251,0.8323,0.8091,0.789,0.824,0.876,0.7935,0.8166,0.8273,0.8199,0.8128,0.8134,0.8112,0.8159,0.821
w44.oracleGeneral.bin.zst_12116074,0.9159,0.9199,0.8906,0.919,0.9368,0.9422,0.9272,0.9177,0.9373,0.9658,0.9184,0.9203,0.9384,0.9342,0.9181,0.9176,0.925,0.9202,0.9194
w98.oracleGeneral.bin.zst_3664418,0.7106,0.747,0.6741,0.7189,0.771,0.7859,0.7234,0.7057,0.7709,0.8059,0.7159,0.7253,0.7732,0.7533,0.7116,0.711,0.7131,0.7149,0.7203
w68.oracleGeneral.bin.zst_8875971,0.6654,0.701,0.5679,0.6936,0.7532,0.7733,0.7125,0.6818,0.7475,0.7628,0.6514,0.6598,0.7625,0.745,0.6711,0.6614,0.6421,0.6789,0.6283
w27.oracleGeneral.bin.zst_19501541,0.8394,0.8323,0.7083,0.8149,0.8281,0.8371,0.832,0.7963,0.8289,0.9244,0.8057,0.8616,0.829,0.823,0.837,0.8352,0.8248,0.8179,0.8671
w101.oracleGeneral.bin.zst_3587707,0.7102,0.7462,0.6745,0.716,0.7678,0.7832,0.7207,0.7051,0.7679,0.8004,0.7138,0.7235,0.7702,0.745,0.711,0.71,0.7113,0.7135,0.7238
w28.oracleGeneral.bin.zst_19739621,0.7921,0.7998,0.7241,0.7955,0.8121,0.818,0.7683,0.721,0.8121,0.8339,0.7277,0.7852,0.8145,0.8087,0.7917,0.7925,0.7817,0.7994,0.789
w23.oracleGeneral.bin.zst_27914470,0.7335,0.726,0.6537,0.7662,0.8102,0.8414,0.7746,0.7536,0.8113,0.7615,0.7718,0.7299,0.8194,0.7827,0.7277,0.7301,0.7444,0.7439,0.7309
w54.oracleGeneral.bin.zst_8832954,0.8467,0.8557,0.8401,0.8579,0.8957,0.9027,0.8983,0.8469,0.9008,0.8565,0.8613,0.8601,0.9012,0.8621,0.847,0.8485,0.847,0.8665,0.8589
w13.oracleGeneral.bin.zst_39822877,0.6538,0.6807,0.4662,0.6679,0.6997,0.7038,0.6417,0.6682,0.7155,0.9541,0.5988,0.6087,0.705,0.6956,0.6463,0.6474,0.6598,0.6696,0.6537
w22.oracleGeneral.bin.zst_22248591,0.894,0.8945,0.8783,0.8953,0.9003,0.9058,0.8983,0.8923,0.9004,0.9132,0.8939,0.8946,0.9005,0.8996,0.8941,0.8929,0.8946,0.8926,0.8917
w51.oracleGeneral.bin.zst_9551283,0.4864,0.4867,0.4246,0.4894,0.5056,0.527,0.4919,0.4692,0.5067,0.5246,0.4832,0.4816,0.5063,0.5034,0.4888,0.4817,0.4848,0.4892,0.4693
w84.oracleGeneral.bin.zst_4814234,0.5616,0.5896,0.4671,0.5503,0.6006,0.6376,0.5219,0.5124,0.6041,0.6581,0.4904,0.5124,0.6111,0.5967,0.5271,0.5296,0.5228,0.5452,0.5293
w37.oracleGeneral.bin.zst_18840688,0.7999,0.8678,0.7096,0.8145,0.8283,0.8349,0.8174,0.8085,0.8274,0.899,0.8052,0.8624,0.8328,0.8038,0.8018,0.8017,0.7961,0.8022,0.8555
w87.oracleGeneral.bin.zst_3788806,0.8828,0.8936,0.8214,0.8782,0.8738,0.872,0.8696,0.8439,0.8732,0.9596,0.9075,0.9179,0.8715,0.8711,0.882,0.8851,0.8599,0.8792,0.9181
w34.oracleGeneral.bin.zst_19553551,0.8191,0.8196,0.6307,0.8321,0.8517,0.8603,0.7962,0.7677,0.856,0.9554,0.7213,0.8241,0.8536,0.8448,0.8199,0.8206,0.8277,0.8311,0.7746
w66.oracleGeneral.bin.zst_9169631,0.542,0.5584,0.5007,0.5672,0.5922,0.6394,0.566,0.5174,0.5955,0.5834,0.537,0.5575,0.6076,0.5832,0.5429,0.5393,0.5535,0.5436,0.5309
w06.oracleGeneral.bin.zst_69392150,0.4254,0.4697,0.3698,0.4485,0.467,0.4868,0.4137,0.2879,0.4709,0.4912,0.3151,0.4314,0.4757,0.4506,0.4319,0.4281,0.4284,0.4421,0.4249
w91.oracleGeneral.bin.zst_4316605,0.6967,0.7374,0.6466,0.7182,0.746,0.7523,0.721,0.6863,0.7443,0.7117,0.685,0.69,0.7478,0.7319,0.6945,0.6962,0.6936,0.7045,0.6997
w79.oracleGeneral.bin.zst_5411394,0.9636,0.9539,0.8869,0.9608,0.9906,0.9913,0.9721,0.9293,0.9909,0.9853,0.9334,0.9488,0.9909,0.9907,0.9514,0.9498,0.9093,0.968,0.8998
w41.oracleGeneral.bin.zst_17004738,0.1388,0.1452,0.1238,0.1393,0.1428,0.1586,0.1424,0.1388,0.1455,0.1846,0.1371,0.1419,0.1433,0.1418,0.139,0.1396,0.1395,0.1399,0.1524
w72.oracleGeneral.bin.zst_6407185,0.4362,0.443,0.3815,0.438,0.4641,0.4847,0.4375,0.4225,0.462,0.5119,0.4173,0.435,0.4676,0.4527,0.4365,0.4409,0.4353,0.4495,0.4534
w10.oracleGeneral.bin.zst_48342350,0.6508,0.7275,0.6065,0.673,0.6955,0.7127,0.6797,0.6548,0.6935,0.8058,0.681,0.691,0.7037,0.6783,0.6538,0.6531,0.6515,0.6607,0.7021
w08.oracleGeneral.bin.zst_44464937,0.9235,0.929,0.8613,0.9321,0.9414,0.9455,0.9326,0.9151,0.9418,0.927,0.91,0.9297,0.9427,0.9422,0.9208,0.9189,0.9076,0.9271,0.9184
w103.oracleGeneral.bin.zst_3442094,0.3557,0.3642,0.3181,0.3583,0.3732,0.3914,0.3583,0.3448,0.3742,0.5304,0.349,0.358,0.3747,0.3684,0.356,0.358,0.3542,0.3611,0.4071
w58.oracleGeneral.bin.zst_10530695,0.5286,0.5418,0.4821,0.5396,0.5567,0.5821,0.5351,0.4926,0.5565,0.6027,0.5088,0.5342,0.562,0.5493,0.5294,0.5308,0.5301,0.5387,0.5295
w52.oracleGeneral.bin.zst_11451546,0.479,0.4872,0.4441,0.4883,0.5171,0.5308,0.5003,0.4701,0.5128,0.5159,0.4725,0.481,0.5206,0.4986,0.4795,0.48,0.475,0.49,0.4784
w16.oracleGeneral.bin.zst_26702188,0.8213,0.8441,0.8001,0.8352,0.8544,0.8654,0.8385,0.8166,0.8533,0.835,0.8181,0.8237,0.8581,0.8463,0.822,0.8214,0.8328,0.8227,0.816
w40.oracleGeneral.bin.zst_17657232,0.1605,0.1779,0.1495,0.1621,0.1672,0.1787,0.1645,0.1607,0.168,0.2437,0.1597,0.1854,0.1661,0.1653,0.1608,0.161,0.1612,0.1617,0.2266
w25.oracleGeneral.bin.zst_26569398,0.9246,0.9543,0.8832,0.9383,0.9592,0.9606,0.956,0.9285,0.9595,0.9397,0.8798,0.9224,0.9604,0.9576,0.9265,0.9272,0.9031,0.9361,0.9217
w38.oracleGeneral.bin.zst_18535323,0.7233,0.7499,0.6744,0.7186,0.7278,0.7467,0.7283,0.6988,0.73,0.9219,0.7062,0.7473,0.7317,0.7253,0.725,0.7328,0.719,0.7262,0.7821
w71.oracleGeneral.bin.zst_6840776,0.5546,0.565,0.5194,0.5642,0.5875,0.5988,0.5735,0.5474,0.5842,0.5772,0.5514,0.557,0.5903,0.571,0.5549,0.5545,0.5547,0.5617,0.5553
w20.oracleGeneral.bin.zst_29842317,0.7173,0.7239,0.6608,0.7392,0.7569,0.76,0.7483,0.7079,0.7552,0.7708,0.7072,0.719,0.7572,0.753,0.7171,0.7052,0.7144,0.7186,0.7108
