,flex-0.10-0.05-1.00,ARC,Belady,Cacheus,Clock,FIFO,FIFO-Merge,GDSF,Hyperbolic,LHD,LIRS,LeCaR,QDLP,S3FIFO,S4LRU,TwoQ,WTinyLFU
w70.oracleGeneral.bin.zst_6928385,0.0947,0.0967,0.0732,0.1008,0.117,0.1317,0.0973,0.0753,0.1084,0.0855,0.0917,0.1102,0.092,0.0923,0.0914,0.1143,0.0996
w94.oracleGeneral.bin.zst_4118188,0.4284,0.4719,0.3517,0.4424,0.4406,0.4667,0.4006,0.2606,0.4475,0.303,0.451,0.4524,0.4214,0.4176,0.3847,0.4521,0.3919
w105.oracleGeneral.bin.zst_3375344,0.548,0.6313,0.4817,0.5786,0.6954,0.7097,0.6535,0.497,0.702,0.5308,0.5389,0.7034,0.5531,0.5683,0.5501,0.6157,0.5423
w35.oracleGeneral.bin.zst_15415663,0.0633,0.064,0.0467,0.0633,0.066,0.0778,0.0536,0.0439,0.0667,0.0479,0.0592,0.0662,0.0625,0.0635,0.061,0.0679,0.0595
w19.oracleGeneral.bin.zst_31116216,0.1121,0.1159,0.0723,0.1153,0.1213,0.157,0.1074,0.0501,0.1197,0.0602,0.1173,0.1226,0.1156,0.1162,0.1078,0.117,0.1067
w75.oracleGeneral.bin.zst_6152624,0.0804,0.0827,0.066,0.0855,0.0946,0.1196,0.0896,0.068,0.096,0.0777,0.0831,0.0872,0.0797,0.0829,0.0822,0.0957,0.0805
w50.oracleGeneral.bin.zst_13448032,0.1289,0.184,0.1068,0.1557,0.2551,0.2863,0.2255,0.1022,0.2608,0.1135,0.1124,0.2557,0.1679,0.1894,0.1568,0.2459,0.1197
w97.oracleGeneral.bin.zst_3768450,0.5816,0.6175,0.4805,0.6037,0.6324,0.6565,0.5431,0.5132,0.6222,0.5461,0.5637,0.6405,0.5988,0.608,0.5891,0.6187,0.5924
w83.oracleGeneral.bin.zst_3880481,0.3022,0.3002,0.2949,0.2991,0.3469,0.3517,0.3564,0.272,0.3466,0.2962,0.3039,0.3485,0.2985,0.3198,0.3036,0.3436,0.3349
w81.oracleGeneral.bin.zst_5026619,0.4765,0.597,0.4609,0.5947,0.6919,0.6931,0.6636,0.4633,0.6857,0.4656,0.4705,0.6625,0.5936,0.6622,0.5385,0.6874,0.493
w63.oracleGeneral.bin.zst_9380316,0.5516,0.5796,0.5115,0.5781,0.5924,0.599,0.5872,0.5249,0.5948,0.5433,0.5428,0.5901,0.5689,0.5801,0.582,0.5946,0.5636
w86.oracleGeneral.bin.zst_4749563,0.9208,0.9186,0.9065,0.9251,0.926,0.9286,0.9247,0.924,0.9253,0.9294,0.9192,0.9271,0.9184,0.9221,0.9174,0.9275,0.9194
w60.oracleGeneral.bin.zst_9898835,0.5913,0.6109,0.3583,0.7099,0.7297,0.7497,0.4904,0.1738,0.7143,0.2503,0.49,0.7183,0.5954,0.5842,0.4954,0.7076,0.5233
w30.oracleGeneral.bin.zst_21390010,0.1001,0.0934,0.0551,0.0915,0.0955,0.1326,0.1048,0.076,0.1479,0.0791,0.0894,0.0908,0.0889,0.0911,0.0887,0.0992,0.1033
w102.oracleGeneral.bin.zst_3558215,0.1379,0.1378,0.099,0.1413,0.1556,0.1617,0.1342,0.1033,0.1619,0.1181,0.1227,0.1529,0.1373,0.1364,0.1421,0.1376,0.1247
w78.oracleGeneral.bin.zst_5493106,0.296,0.2779,0.1616,0.2776,0.2883,0.2837,0.2476,0.1957,0.2937,0.2184,0.294,0.2824,0.2669,0.2639,0.2754,0.2825,0.2561
w18.oracleGeneral.bin.zst_22466283,0.4149,0.4884,0.2709,0.4611,0.5588,0.5797,0.4288,0.3927,0.5397,0.3825,0.4055,0.5603,0.4534,0.4653,0.4365,0.4759,0.3774
w99.oracleGeneral.bin.zst_3660840,0.5127,0.6029,0.498,0.6013,0.6414,0.6433,0.6018,0.4637,0.6379,0.4508,0.4959,0.6385,0.5974,0.6196,0.5136,0.6389,0.5277
w03.oracleGeneral.bin.zst_84712978,0.5011,0.5581,0.43,0.548,0.5446,0.5538,0.5153,0.511,0.5392,0.5158,0.5081,0.5414,0.5088,0.5101,0.5025,0.5169,0.4866
w42.oracleGeneral.bin.zst_16894445,0.5557,0.5773,0.2308,0.593,0.5989,0.5611,0.3811,0.1777,0.5803,0.2119,0.5184,0.5997,0.5581,0.5584,0.4773,0.5094,0.4127
w44.oracleGeneral.bin.zst_12116074,0.8261,0.8319,0.6432,0.8462,0.8705,0.8777,0.7617,0.8352,0.8689,0.6043,0.8002,0.8691,0.8322,0.8479,0.7716,0.8584,0.8163
w98.oracleGeneral.bin.zst_3664418,0.5779,0.6089,0.4763,0.596,0.6246,0.6508,0.5397,0.5105,0.6165,0.5404,0.5594,0.6342,0.5913,0.6021,0.5849,0.614,0.568
w68.oracleGeneral.bin.zst_8875971,0.1194,0.1318,0.0925,0.1318,0.1515,0.1907,0.1384,0.1024,0.1525,0.1149,0.1241,0.1577,0.1177,0.1219,0.1318,0.1479,0.1261
w27.oracleGeneral.bin.zst_19501541,0.3511,0.3307,0.222,0.3433,0.3648,0.3952,0.3577,0.2564,0.3774,0.3306,0.333,0.3576,0.3566,0.329,0.4112,0.3333,0.3292
w101.oracleGeneral.bin.zst_3587707,0.5847,0.6134,0.4891,0.6008,0.6265,0.6516,0.5464,0.5181,0.6205,0.5482,0.5688,0.6337,0.597,0.6071,0.5884,0.6173,0.5727
w28.oracleGeneral.bin.zst_19739621,0.3588,0.3875,0.3011,0.3606,0.368,0.4152,0.3746,0.3113,0.3637,0.3329,0.3645,0.3677,0.3627,0.3764,0.3507,0.4036,0.3826
w23.oracleGeneral.bin.zst_27914470,0.2745,0.3608,0.2638,0.2622,0.3362,0.3496,0.3303,0.1554,0.3416,0.1717,0.2533,0.2765,0.2362,0.2681,0.26,0.3399,0.2951
w54.oracleGeneral.bin.zst_8832954,0.8423,0.8416,0.8314,0.8413,0.8439,0.8529,0.843,0.8397,0.8409,0.8386,0.8427,0.846,0.8407,0.8411,0.8425,0.8448,0.8439
w13.oracleGeneral.bin.zst_39822877,0.1768,0.1787,0.1397,0.1753,0.1802,0.1803,0.1901,0.1631,0.1821,0.1735,0.1795,0.1653,0.1798,0.1783,0.1746,0.1769,0.1711
w22.oracleGeneral.bin.zst_22248591,0.737,0.8663,0.6814,0.8663,0.8747,0.8797,0.8501,0.8699,0.8727,0.7995,0.7128,0.8764,0.8648,0.8682,0.7668,0.8733,0.7401
w51.oracleGeneral.bin.zst_9551283,0.2132,0.2095,0.1844,0.2214,0.2272,0.2861,0.2609,0.2264,0.2523,0.255,0.2066,0.2286,0.2111,0.2184,0.2215,0.2232,0.2011
w84.oracleGeneral.bin.zst_4814234,0.2101,0.2024,0.1496,0.2174,0.2398,0.256,0.2008,0.1619,0.2467,0.1809,0.2032,0.2325,0.202,0.2053,0.2268,0.2147,0.2094
w37.oracleGeneral.bin.zst_18840688,0.3185,0.3259,0.2715,0.342,0.3915,0.4347,0.3786,0.3203,0.3922,0.3124,0.3138,0.3808,0.3294,0.34,0.3322,0.3816,0.3125
