,flex-0.10-0.05-1.00,ARC,Belady,CAR,Cacheus,Clock,FIFO,FIFO-Merge,GDSF,GLCache,Hyperbolic,LFU,LHD,LIRS,LRU,LeCaR,QDLP,S3FIFO,S4LRU,TwoQ,WTinyLFU
w70.oracleGeneral.bin.zst_6928385,0.6659,0.7939,0.5191,0.7921,0.7498,0.8428,0.8568,0.7997,0.8317,0.8137,0.8312,0.8414,0.7786,0.6367,0.8482,0.8342,0.654,0.6511,0.7028,0.7379,0.6478
w94.oracleGeneral.bin.zst_4118188,0.9778,0.9856,0.9161,0.9856,0.9714,0.976,0.9756,0.9791,0.9814,0.9858,0.976,0.9938,0.9878,0.9826,0.9759,0.9726,0.9807,0.9805,0.978,0.9767,0.9745
w105.oracleGeneral.bin.zst_3375344,0.9634,0.9635,0.9345,0.9647,0.9654,0.9677,0.969,0.9663,0.967,0.9705,0.9677,0.9691,0.9672,0.9643,0.9677,0.9659,0.963,0.9631,0.9671,0.9636,0.9639
w35.oracleGeneral.bin.zst_15415663,0.5416,0.5358,0.46,0.5342,0.574,0.7002,0.7687,0.7139,0.7377,0.761,0.7168,0.8203,0.6984,0.5448,0.7119,0.6948,0.5398,0.5361,0.5984,0.5621,0.541
w19.oracleGeneral.bin.zst_31116216,0.972,0.9932,0.897,0.993,0.9685,0.9948,0.9954,0.991,0.9836,0.9805,0.9949,0.9851,0.9671,0.9677,0.9951,0.9926,0.9716,0.9736,0.9603,0.9774,0.9413
w75.oracleGeneral.bin.zst_6152624,0.5925,0.6826,0.46,0.6743,0.6359,0.7019,0.7267,0.7318,0.8182,0.7779,0.7069,0.7047,0.7963,0.683,0.7109,0.6625,0.587,0.5818,0.6482,0.6119,0.6748
w50.oracleGeneral.bin.zst_13448032,0.9678,0.9855,0.9517,0.9812,0.978,0.991,0.9917,0.9928,0.9901,0.989,0.9911,0.9842,0.9888,0.9679,0.9912,0.9909,0.9751,0.9663,0.9705,0.979,0.9673
w97.oracleGeneral.bin.zst_3768450,0.9281,0.9396,0.8732,0.9394,0.9299,0.9412,0.9444,0.9321,0.9282,0.9335,0.9411,0.955,0.936,0.9316,0.9417,0.9376,0.9286,0.9286,0.9282,0.9291,0.9264
w83.oracleGeneral.bin.zst_3880481,0.8616,0.87,0.8046,0.8699,0.8706,0.8744,0.8769,0.8755,0.8777,0.8749,0.8729,0.8814,0.8825,0.8746,0.8756,0.875,0.8608,0.8565,0.87,0.8585,0.8592
w81.oracleGeneral.bin.zst_5026619,0.9097,0.9135,0.9005,0.9132,0.9123,0.9156,0.9182,0.9142,0.9127,0.9208,0.915,0.941,0.9215,0.9119,0.9161,0.9122,0.9098,0.91,0.9107,0.9108,0.9135
w63.oracleGeneral.bin.zst_9380316,0.6961,0.8136,0.6491,0.8039,0.7644,0.8381,0.8587,0.8431,0.8773,0.8923,0.8355,0.7034,0.9123,0.7313,0.848,0.8249,0.7179,0.7185,0.7482,0.7507,0.699
w86.oracleGeneral.bin.zst_4749563,0.9831,0.9835,0.9678,0.9835,0.9821,0.9831,0.9834,0.9839,0.9823,0.9834,0.9833,0.9858,0.9828,0.9849,0.9833,0.9829,0.9821,0.9825,0.9819,0.9828,0.9867
w60.oracleGeneral.bin.zst_9898835,0.8055,0.8122,0.7322,0.8082,0.8129,0.8269,0.8381,0.8424,0.8594,0.865,0.8283,0.8892,0.8812,0.8167,0.8301,0.8225,0.8075,0.8065,0.84,0.8145,0.8331
w30.oracleGeneral.bin.zst_21390010,0.7721,0.9183,0.6417,0.9128,0.8253,0.9404,0.9418,0.9092,0.8996,0.9343,0.9385,0.9739,0.8931,0.7537,0.9433,0.9337,0.7515,0.7513,0.847,0.7866,0.8086
w102.oracleGeneral.bin.zst_3558215,0.5644,0.5717,0.4669,0.5721,0.5786,0.6604,0.6702,0.6514,0.6901,0.6664,0.6666,0.7718,0.6805,0.6614,0.6587,0.6471,0.5665,0.5704,0.6365,0.6,0.6952
w78.oracleGeneral.bin.zst_5493106,0.7999,0.8367,0.6149,0.8301,0.7873,0.8617,0.8656,0.8677,0.8725,0.8841,0.862,0.895,0.8744,0.8069,0.8647,0.8585,0.7939,0.7911,0.8452,0.807,0.8009
w18.oracleGeneral.bin.zst_22466283,0.7223,0.775,0.677,0.7765,0.77,0.8028,0.8138,0.8469,0.8425,0.8606,0.8129,0.8233,0.8555,0.7462,0.8005,0.7758,0.723,0.7159,0.7806,0.7237,0.7245
w99.oracleGeneral.bin.zst_3660840,0.9414,0.945,0.9351,0.9446,0.944,0.9463,0.9467,0.9467,0.9459,0.9471,0.9459,0.9454,0.9487,0.9437,0.9464,0.9432,0.9419,0.9423,0.9432,0.9436,0.9433
