,flex-0.10-0.05-1.00,ARC,Belady,Cacheus,Clock,FIFO,FIFO-Merge,GDSF,Hyperbolic,LHD,LIRS,LeCaR,QDLP,S3FIFO,S4LRU,TwoQ,WTinyLFU
w70.oracleGeneral.bin.zst_6928385,0.2723,0.2907,0.2033,0.2861,0.2799,0.3061,0.2904,0.29,0.2834,0.3403,0.2865,0.2745,0.2685,0.2722,0.2693,0.2793,0.3167
w94.oracleGeneral.bin.zst_4118188,0.5159,0.646,0.3933,0.547,0.6396,0.6216,0.5989,0.5906,0.6239,0.6451,0.5175,0.6134,0.5299,0.5229,0.5621,0.5306,0.5453
w105.oracleGeneral.bin.zst_3375344,0.8499,0.8452,0.7128,0.8689,0.9137,0.9177,0.9149,0.8974,0.9153,0.9003,0.8451,0.915,0.8481,0.8531,0.8457,0.8889,0.847
w35.oracleGeneral.bin.zst_15415663,0.3293,0.3292,0.2362,0.3313,0.3424,0.3685,0.3498,0.3419,0.3478,0.4149,0.3303,0.3421,0.328,0.33,0.3327,0.3361,0.3346
w19.oracleGeneral.bin.zst_31116216,0.1682,0.1631,0.1139,0.1651,0.1686,0.236,0.2228,0.2016,0.1788,0.2981,0.164,0.1652,0.1609,0.1621,0.1699,0.1611,0.1868
w75.oracleGeneral.bin.zst_6152624,0.1653,0.1676,0.1243,0.1703,0.1743,0.2099,0.1932,0.1871,0.1765,0.2975,0.1693,0.1693,0.163,0.163,0.1637,0.1703,0.1704
w50.oracleGeneral.bin.zst_13448032,0.4447,0.5101,0.4233,0.4766,0.5376,0.5838,0.5859,0.4852,0.5474,0.5085,0.4404,0.5089,0.4526,0.4635,0.4667,0.4823,0.4476
w97.oracleGeneral.bin.zst_3768450,0.7976,0.8234,0.6837,0.8233,0.8629,0.8776,0.8369,0.8573,0.8633,0.869,0.7975,0.8532,0.8186,0.8355,0.8326,0.8512,0.7952
w83.oracleGeneral.bin.zst_3880481,0.6665,0.6689,0.6261,0.687,0.6872,0.6856,0.7609,0.7035,0.6957,0.732,0.672,0.6836,0.6694,0.6768,0.6805,0.6821,0.6924
w81.oracleGeneral.bin.zst_5026619,0.8317,0.8748,0.8137,0.8755,0.8975,0.8978,0.8978,0.8816,0.8965,0.8577,0.8253,0.8973,0.8755,0.8886,0.8467,0.897,0.8327
w63.oracleGeneral.bin.zst_9380316,0.4056,0.4142,0.3458,0.4215,0.4426,0.4683,0.4562,0.4429,0.4399,0.474,0.4096,0.4308,0.4049,0.4139,0.4102,0.4331,0.4051
w86.oracleGeneral.bin.zst_4749563,0.9262,0.9386,0.8911,0.934,0.9634,0.9645,0.9536,0.961,0.9594,0.9618,0.9312,0.964,0.9334,0.9373,0.9383,0.9401,0.9294
w60.oracleGeneral.bin.zst_9898835,0.5769,0.5828,0.4699,0.6142,0.6444,0.6639,0.6605,0.6886,0.6439,0.7062,0.5878,0.6447,0.5772,0.5829,0.5934,0.6072,0.6225
w30.oracleGeneral.bin.zst_21390010,0.1725,0.1692,0.094,0.1605,0.1575,0.1952,0.206,0.298,0.1874,0.3854,0.1678,0.1562,0.159,0.1626,0.1564,0.1697,0.2075
w102.oracleGeneral.bin.zst_3558215,0.3103,0.3155,0.2098,0.3264,0.3436,0.3575,0.3538,0.3587,0.3492,0.4442,0.3134,0.3408,0.3079,0.3085,0.3131,0.3033,0.3186
w78.oracleGeneral.bin.zst_5493106,0.451,0.4616,0.3023,0.4489,0.4308,0.4501,0.4663,0.469,0.4394,0.6225,0.4528,0.4344,0.4446,0.4506,0.4398,0.4446,0.528
w18.oracleGeneral.bin.zst_22466283,0.4524,0.4702,0.3739,0.4871,0.5231,0.5489,0.5492,0.5564,0.5161,0.6839,0.4526,0.5245,0.4516,0.459,0.4754,0.4723,0.5255
w99.oracleGeneral.bin.zst_3660840,0.8557,0.9143,0.8396,0.9144,0.929,0.9293,0.9283,0.9111,0.9284,0.8965,0.8531,0.9283,0.9141,0.919,0.8715,0.928,0.8578
w03.oracleGeneral.bin.zst_84712978,0.7523,0.802,0.6027,0.7736,0.7867,0.7916,0.7814,0.7788,0.7832,0.7997,0.762,0.7771,0.7561,0.7491,0.7551,0.7571,0.716
w42.oracleGeneral.bin.zst_16894445,0.5334,0.532,0.3748,0.5344,0.5408,0.5656,0.5908,0.6429,0.5434,0.6642,0.5497,0.5418,0.5309,0.5372,0.5479,0.5434,0.5638
w44.oracleGeneral.bin.zst_12116074,0.7149,0.7185,0.639,0.7418,0.7772,0.7837,0.7895,0.8117,0.7767,0.8054,0.7156,0.778,0.7111,0.7129,0.7451,0.7462,0.7286
w98.oracleGeneral.bin.zst_3664418,0.7951,0.8184,0.6758,0.8187,0.8581,0.8737,0.8328,0.8544,0.8593,0.8659,0.7931,0.8499,0.8138,0.8312,0.833,0.8468,0.794
w68.oracleGeneral.bin.zst_8875971,0.2002,0.1996,0.164,0.224,0.2415,0.3103,0.2641,0.2459,0.2384,0.282,0.1991,0.2424,0.2002,0.2008,0.2141,0.226,0.2442
w27.oracleGeneral.bin.zst_19501541,0.4501,0.4736,0.3225,0.4535,0.4689,0.4956,0.4594,0.4447,0.4738,0.611,0.4517,0.47,0.4553,0.4618,0.4523,0.4724,0.4997
w101.oracleGeneral.bin.zst_3587707,0.8078,0.8248,0.694,0.8245,0.8642,0.8786,0.839,0.8585,0.8646,0.8691,0.8049,0.851,0.82,0.8369,0.837,0.8537,0.8041
w28.oracleGeneral.bin.zst_19739621,0.5172,0.517,0.3903,0.5076,0.5418,0.5773,0.6424,0.6331,0.5493,0.7056,0.5275,0.5278,0.506,0.5198,0.511,0.5386,0.5972
w23.oracleGeneral.bin.zst_27914470,0.6475,0.6769,0.5767,0.6541,0.6802,0.6982,0.6954,0.6509,0.6863,0.667,0.6496,0.6655,0.6495,0.6517,0.6504,0.6612,0.6536
w54.oracleGeneral.bin.zst_8832954,0.9724,0.9709,0.9566,0.9717,0.9722,0.9735,0.972,0.9713,0.9717,0.9714,0.9731,0.9727,0.9707,0.9713,0.9736,0.9717,0.9734
w13.oracleGeneral.bin.zst_39822877,0.2483,0.2747,0.1909,0.2724,0.2616,0.271,0.257,0.2498,0.2562,0.2821,0.2728,0.2551,0.2498,0.2487,0.2438,0.2664,0.2902
w22.oracleGeneral.bin.zst_22248591,0.6609,0.7124,0.63,0.7126,0.7283,0.7304,0.7315,0.7372,0.726,0.7769,0.6552,0.7276,0.712,0.7172,0.6764,0.7257,0.6741
w51.oracleGeneral.bin.zst_9551283,0.2502,0.3019,0.1693,0.2834,0.306,0.3204,0.2772,0.2755,0.3025,0.2869,0.2102,0.3035,0.2556,0.2558,0.2325,0.3031,0.2257
w84.oracleGeneral.bin.zst_4814234,0.2499,0.2568,0.1871,0.2596,0.2642,0.2839,0.2724,0.2642,0.269,0.3402,0.2587,0.2642,0.2495,0.2499,0.2506,0.2528,0.2528
w37.oracleGeneral.bin.zst_18840688,0.5409,0.5752,0.4784,0.5832,0.637,0.6898,0.6237,0.5784,0.6367,0.5927,0.5578,0.6458,0.5704,0.5791,0.5632,0.5817,0.5418
w87.oracleGeneral.bin.zst_3788806,0.5873,0.6232,0.4561,0.642,0.6348,0.6426,0.6129,0.6413,0.6266,0.7266,0.6654,0.6633,0.5895,0.5763,0.5892,0.5952,0.5964
w34.oracleGeneral.bin.zst_19553551,0.5488,0.652,0.4616,0.5876,0.6056,0.6046,0.6049,0.6261,0.609,0.7144,0.5876,0.5947,0.5669,0.5676,0.5646,0.5936,0.6025
w66.oracleGeneral.bin.zst_9169631,0.5021,0.6395,0.4368,0.6607,0.7361,0.7365,0.6388,0.6582,0.7239,0.5876,0.5033,0.6914,0.6131,0.6218,0.5522,0.6837,0.5123
w06.oracleGeneral.bin.zst_69392150,0.0345,0.0356,0.0263,0.0353,0.0368,0.0471,0.0472,0.0394,0.0425,0.0565,0.0353,0.036,0.0345,0.0343,0.0353,0.0379,0.0433
w91.oracleGeneral.bin.zst_4316605,0.3821,0.4058,0.2906,0.4008,0.4173,0.4299,0.4279,0.3843,0.4047,0.4469,0.3873,0.414,0.3785,0.3764,0.3734,0.3994,0.3884
w79.oracleGeneral.bin.zst_5411394,0.9275,0.9319,0.893,0.9322,0.9337,0.9413,0.9342,0.9338,0.9329,0.9458,0.934,0.9341,0.9319,0.9328,0.9277,0.9347,0.9365
w41.oracleGeneral.bin.zst_17004738,0.158,0.1635,0.1263,0.1712,0.1968,0.2105,0.2072,0.1909,0.2042,0.1812,0.1601,0.1787,0.1595,0.16,0.1692,0.1658,0.1518
w72.oracleGeneral.bin.zst_6407185,0.3927,0.4032,0.2559,0.419,0.4166,0.4298,0.4393,0.4194,0.4185,0.5109,0.4226,0.4215,0.3767,0.3754,0.3905,0.3862,0.3612
