,flex-0.10-0.05-1.00,ARC,Belady,Cacheus,Clock,FIFO,FIFO-Merge,GDSF,Hyperbolic,LFU,LHD,LIRS,LRU,LeCaR,QDLP,S3FIFO,S4LRU,TwoQ,WTinyLFU
w70.oracleGeneral.bin.zst_6928385,0.2278,0.2477,0.1987,0.2422,0.2441,0.259,0.246,0.2267,0.2422,0.3053,0.2791,0.2418,0.2451,0.2389,0.2298,0.2294,0.2248,0.242,0.2666
w94.oracleGeneral.bin.zst_4118188,0.3974,0.5321,0.2413,0.4495,0.4896,0.5015,0.4463,0.5121,0.4836,0.5254,0.5195,0.3962,0.5075,0.5057,0.4283,0.4259,0.4466,0.4322,0.3822
w105.oracleGeneral.bin.zst_3375344,0.7148,0.8121,0.6147,0.7517,0.8739,0.8799,0.8572,0.853,0.8759,0.8286,0.8325,0.7025,0.877,0.8749,0.7238,0.7368,0.7621,0.7871,0.7285
w35.oracleGeneral.bin.zst_15415663,0.287,0.2821,0.1898,0.2856,0.2916,0.3081,0.3021,0.2992,0.2982,0.2978,0.344,0.2848,0.2936,0.2912,0.2852,0.2879,0.2893,0.2927,0.3087
w19.oracleGeneral.bin.zst_31116216,0.126,0.1291,0.0782,0.1291,0.1245,0.1557,0.1493,0.1387,0.1268,0.3622,0.1947,0.135,0.1267,0.1258,0.1262,0.1267,0.1251,0.1274,0.1486
w75.oracleGeneral.bin.zst_6152624,0.1386,0.1408,0.1145,0.1422,0.1386,0.1632,0.156,0.144,0.1429,0.1497,0.197,0.146,0.1408,0.1347,0.1365,0.1381,0.1366,0.1432,0.1574
w50.oracleGeneral.bin.zst_13448032,0.3754,0.4167,0.3434,0.4047,0.4895,0.5047,0.4784,0.4157,0.4804,0.4501,0.4152,0.367,0.493,0.4891,0.4162,0.4237,0.413,0.4736,0.3889
w97.oracleGeneral.bin.zst_3768450,0.7644,0.8046,0.6527,0.79,0.8214,0.8485,0.7971,0.7961,0.813,0.8061,0.8107,0.757,0.8321,0.831,0.7851,0.794,0.7879,0.8101,0.7846
w83.oracleGeneral.bin.zst_3880481,0.6143,0.6432,0.5916,0.6438,0.6774,0.6799,0.6932,0.6645,0.6765,0.6448,0.6867,0.6127,0.679,0.6778,0.6425,0.6638,0.6249,0.6749,0.6561
w81.oracleGeneral.bin.zst_5026619,0.7612,0.8737,0.7373,0.8701,0.8966,0.8973,0.8826,0.8655,0.8943,0.8753,0.7929,0.7489,0.897,0.8923,0.8692,0.8811,0.7887,0.8932,0.7767
