,flex-0.10-0.05-1.00,ARC,Belady,Cacheus,Clock,FIFO,FIFO-Merge,GDSF,Hyperbolic,LHD,LIRS,LeCaR,QDLP,S3FIFO,S4LRU,TwoQ,WTinyLFU
fiu_webresearch-030409-033109.oracleGeneral.zst_3274061,0.6363,0.6441,0.6254,0.6368,0.6576,0.7035,0.6611,0.6503,0.6547,0.6521,0.6387,0.6548,0.6439,0.644,0.6418,0.6434,0.6374
fiu_webmail.cs.fiu.edu-110108-113008.oracleGeneral.zst_7795815,0.5032,0.5162,0.3963,0.5223,0.5382,0.5509,0.5178,0.5309,0.5252,0.4672,0.5112,0.535,0.5178,0.5161,0.5129,0.5233,0.4758
fiu_ikki-110108-112108.oracleGeneral.zst_5256676,0.5114,0.5123,0.3579,0.509,0.5244,0.5523,0.5361,0.5263,0.5358,0.5254,0.505,0.5213,0.5047,0.5125,0.5738,0.5276,0.6056
fiu_webmail+online.cs.fiu.edu-110108-113008.oracleGeneral.zst_14294158,0.6261,0.6281,0.5322,0.6463,0.6559,0.6713,0.6507,0.6483,0.6466,0.6148,0.6197,0.6527,0.6285,0.6279,0.6158,0.6318,0.6308
fiu_online.cs.fiu.edu-110108-113008.oracleGeneral.zst_5700499,0.7746,0.7908,0.706,0.7629,0.8108,0.8214,0.8115,0.8073,0.8082,0.7818,0.7734,0.8104,0.7899,0.7904,0.778,0.7922,0.7438
fiu_casa-110108-112108.oracleGeneral.zst_8973201,0.1966,0.1931,0.1574,0.195,0.1995,0.2141,0.2069,0.2075,0.2069,0.1999,0.1931,0.1986,0.1951,0.1961,0.2053,0.1985,0.2576
fiu_webusers-030409-033109.oracleGeneral.zst_7726138,0.6974,0.727,0.6469,0.7374,0.7488,0.7665,0.7497,0.744,0.747,0.7013,0.6911,0.7483,0.7287,0.7295,0.6982,0.7324,0.6682
fiu_cheetah.cs.fiu.edu-110108-113008.oracleGeneral.zst_442393092,0.1581,0.1602,0.1078,0.1792,0.1876,0.2548,0.2587,0.2229,0.2047,0.1603,0.1591,0.1805,0.1549,0.1547,0.1618,0.1751,0.3513
fiu_madmax-110108-112108.oracleGeneral.zst_918010,0.808,0.8373,0.782,0.8364,0.8427,0.8521,0.8433,0.8423,0.843,0.8429,0.8,0.8429,0.8385,0.8405,0.8167,0.8408,0.8178
fiu_homes-110108-112108.oracleGeneral.zst_17836701,0.2963,0.2871,0.195,0.2998,0.3174,0.3335,0.3244,0.313,0.3337,0.3047,0.2828,0.3054,0.2943,0.2949,0.3408,0.2999,0.3753
