,flex-0.10-0.05-1.00,ARC,Belady,Cacheus,Clock,FIFO,FIFO-Merge,GDSF,Hyperbolic,LFU,LHD,LIRS,LRU,LeCaR,QDLP,S3FIFO,S4LRU,TwoQ,WTinyLFU
fiu_webresearch-030409-033109.oracleGeneral.zst_3274061,0.5061,0.6394,0.4838,0.6393,0.6475,0.6574,0.6281,0.6446,0.6444,0.6394,0.5522,0.4995,0.648,0.6476,0.6393,0.6432,0.5391,0.6445,0.5017
fiu_webmail.cs.fiu.edu-110108-113008.oracleGeneral.zst_7795815,0.1787,0.2425,0.1108,0.2459,0.2263,0.2642,0.2165,0.2046,0.2339,0.2698,0.1964,0.1517,0.2617,0.2266,0.1742,0.1694,0.391,0.2065,0.2098
fiu_ikki-110108-112108.oracleGeneral.zst_5256676,0.2194,0.2231,0.1804,0.2314,0.2546,0.3013,0.2675,0.212,0.2681,0.2229,0.233,0.2351,0.2665,0.2425,0.2191,0.2367,0.2242,0.2572,0.2648
fiu_webmail+online.cs.fiu.edu-110108-113008.oracleGeneral.zst_14294158,0.2212,0.24,0.1863,0.3048,0.3251,0.3516,0.3509,0.2578,0.3447,0.3768,0.2776,0.2145,0.3412,0.3172,0.2261,0.2264,0.5896,0.2507,0.2295
fiu_online.cs.fiu.edu-110108-113008.oracleGeneral.zst_5700499,0.3005,0.3437,0.2637,0.4196,0.4904,0.4837,0.4998,0.3922,0.5448,0.5629,0.4153,0.2929,0.5098,0.3877,0.3311,0.3166,0.4701,0.3526,0.2951
fiu_casa-110108-112108.oracleGeneral.zst_8973201,0.0795,0.0818,0.054,0.0914,0.097,0.1252,0.108,0.0793,0.1253,0.1284,0.0928,0.078,0.1062,0.0857,0.0775,0.0806,0.0913,0.0839,0.1059
fiu_webusers-030409-033109.oracleGeneral.zst_7726138,0.2426,0.3386,0.1194,0.3587,0.4676,0.4381,0.354,0.2264,0.5716,0.4802,0.2266,0.1504,0.4308,0.1967,0.214,0.2066,0.3599,0.2388,0.1344
fiu_cheetah.cs.fiu.edu-110108-113008.oracleGeneral.zst_442393092,0.0647,0.0674,0.045,0.0647,0.0712,0.0862,0.0856,0.0671,0.0713,0.1106,0.0788,0.0668,0.0724,0.0718,0.064,0.0643,0.0656,0.0709,0.2623
fiu_madmax-110108-112108.oracleGeneral.zst_918010,0.5784,0.8262,0.4779,0.7366,0.8336,0.8361,0.7219,0.8319,0.8226,0.8263,0.8288,0.5546,0.8342,0.8341,0.6573,0.6571,0.5958,0.6667,0.5239
fiu_homes-110108-112108.oracleGeneral.zst_17836701,0.1138,0.1138,0.0944,0.1204,0.1386,0.1602,0.1407,0.1033,0.1477,0.1167,0.1163,0.1235,0.141,0.1296,0.1137,0.1217,0.1193,0.141,0.1362
