,flex-0.10-0.05-1.00,ARC,Belady,Cacheus,Clock,FIFO,FIFO-Merge,GDSF,Hyperbolic,LFU,LHD,LIRS,LRU,LeCaR,QDLP,S3FIFO,S4LRU,TwoQ,WTinyLFU
fiu_webresearch-030409-033109.oracleGeneral.zst_3274061,0.3755,0.6393,0.3195,0.6369,0.6465,0.6523,0.5052,0.6438,0.6318,0.6393,0.4375,0.3324,0.647,0.6469,0.4561,0.4764,0.4152,0.6415,0.3512
fiu_webmail.cs.fiu.edu-110108-113008.oracleGeneral.zst_7795815,0.0773,0.0768,0.0632,0.0864,0.0859,0.0928,0.1191,0.0779,0.0969,0.1539,0.0805,0.082,0.082,0.0794,0.0746,0.0772,0.0735,0.0934,0.0884
fiu_ikki-110108-112108.oracleGeneral.zst_5256676,0.3152,0.3145,0.3027,0.323,0.3191,0.3467,0.326,0.3121,0.3262,0.3146,0.3187,0.3316,0.319,0.3192,0.3145,0.3178,0.3189,0.3366,0.3372
fiu_webmail+online.cs.fiu.edu-110108-113008.oracleGeneral.zst_14294158,0.1459,0.2365,0.0751,0.2462,0.2063,0.2666,0.1787,0.1669,0.2025,0.1681,0.1316,0.0988,0.2518,0.2172,0.1448,0.1461,0.1527,0.1821,0.1094
fiu_online.cs.fiu.edu-110108-113008.oracleGeneral.zst_5700499,0.1936,0.3147,0.1426,0.2836,0.3136,0.3449,0.2987,0.2642,0.3062,0.2576,0.2309,0.1595,0.3398,0.2819,0.2201,0.2198,0.2119,0.2364,0.1553
fiu_casa-110108-112108.oracleGeneral.zst_8973201,0.0509,0.0502,0.0422,0.0533,0.0511,0.0695,0.065,0.05,0.0653,0.0544,0.0538,0.053,0.0519,0.0513,0.0498,0.0544,0.0523,0.0575,0.0569
fiu_webusers-030409-033109.oracleGeneral.zst_7726138,0.0885,0.1361,0.0534,0.1475,0.1456,0.2495,0.1294,0.0799,0.15,0.0943,0.0879,0.063,0.1533,0.1393,0.1018,0.0997,0.105,0.1178,0.0718
fiu_cheetah.cs.fiu.edu-110108-113008.oracleGeneral.zst_442393092,0.0464,0.0478,0.0348,0.0464,0.0492,0.0589,0.0575,0.0475,0.0489,0.0539,0.0537,0.047,0.0503,0.0502,0.0467,0.0471,0.0467,0.0525,0.108
fiu_madmax-110108-112108.oracleGeneral.zst_918010,0.4059,0.6797,0.194,0.6518,0.6697,0.6433,0.434,0.4192,0.6696,0.4131,0.5178,0.2347,0.6905,0.4996,0.4005,0.3752,0.4597,0.4093,0.2335
fiu_homes-110108-112108.oracleGeneral.zst_17836701,0.223,0.2214,0.2141,0.2223,0.2263,0.2494,0.2313,0.2184,0.2359,0.2215,0.2208,0.2244,0.2339,0.2247,0.2214,0.2239,0.2217,0.2399,0.2261
