,flex-0.10-0.05-1.00,ARC,Belady,Cacheus,Clock,FIFO,FIFO-Merge,GDSF,Hyperbolic,LHD,LIRS,LeCaR,QDLP,S3FIFO,S4LRU,TwoQ,WTinyLFU
msr_proj_2.oracleGeneral.zst_29266482,0.9167,0.9178,0.8677,0.9173,0.9404,0.9501,0.9325,0.8936,0.9478,0.9062,0.9138,0.9438,0.9106,0.9162,0.9355,0.9253,0.9298
msr_proj_1.oracleGeneral.zst_23639742,0.8299,0.8278,0.7764,0.8343,0.8579,0.8619,0.8491,0.8055,0.8615,0.81,0.8315,0.8336,0.8209,0.8468,0.8261,0.8515,0.8587
msr_prxy_0.oracleGeneral.zst_12518968,0.0839,0.1161,0.0835,0.1329,0.1751,0.283,0.1586,0.0829,0.2024,0.0945,0.1053,0.1524,0.1024,0.0921,0.1215,0.0892,0.0843
msr_prxy_1.oracleGeneral.zst_168638964,0.5553,0.6453,0.4512,0.6303,0.6429,0.6546,0.5553,0.4287,0.6437,0.2686,0.6189,0.567,0.5547,0.5545,0.5697,0.5101,0.4721
msr_prn_0.oracleGeneral.zst_5585886,0.321,0.3253,0.2801,0.3266,0.3358,0.3463,0.3257,0.2702,0.3349,0.3055,0.3191,0.3288,0.3189,0.3199,0.3178,0.3207,0.3092
msr_usr_1.oracleGeneral.zst_45283980,0.4736,0.4815,0.4476,0.4834,0.5004,0.5048,0.5018,0.4701,0.5036,0.4885,0.4787,0.4906,0.4723,0.477,0.6109,0.4865,0.4866
msr_prn_1.oracleGeneral.zst_11233411,0.6734,0.7502,0.5181,0.6936,0.7045,0.7173,0.6833,0.6407,0.7029,0.6551,0.7193,0.6983,0.6805,0.6316,0.6744,0.6234,0.6037
msr_proj_0.oracleGeneral.zst_4224524,0.5998,0.6922,0.5192,0.6375,0.7195,0.7306,0.6734,0.6245,0.7153,0.6103,0.5894,0.7021,0.5958,0.5977,0.6128,0.619,0.5823
msr_src1_1.oracleGeneral.zst_45746222,0.956,0.9628,0.8755,0.9519,0.9492,0.9516,0.9493,0.9359,0.9501,0.9454,0.9605,0.9477,0.9553,0.9581,0.9412,0.9593,0.9464
msr_hm_0.oracleGeneral.zst_3993316,0.4403,0.4382,0.3906,0.4484,0.476,0.498,0.4493,0.4212,0.4748,0.427,0.4383,0.4607,0.441,0.4416,0.436,0.4482,0.4317
msr_src1_0.oracleGeneral.zst_37415613,0.9334,0.9519,0.9196,0.9607,0.9798,0.9802,0.9733,0.9444,0.9803,0.9257,0.9464,0.9788,0.9363,0.9462,0.9449,0.957,0.9377
msr_web_2.oracleGeneral.zst_5175368,0.9932,0.9961,0.9652,0.9961,0.9962,0.9963,0.9953,0.9695,0.9961,0.9842,0.9925,0.9962,0.9961,0.9961,0.9884,0.9961,0.9803
msr_proj_4.oracleGeneral.zst_6465639,0.8925,0.8813,0.8398,0.8789,0.9292,0.9375,0.9249,0.9224,0.9337,0.883,0.8815,0.9195,0.88,0.8832,0.9303,0.896,0.8978
msr_usr_2.oracleGeneral.zst_10570046,0.8095,0.8158,0.7697,0.8185,0.8356,0.8411,0.8283,0.7991,0.8326,0.8016,0.8109,0.8319,0.8097,0.8161,0.8051,0.8245,0.8127
