,flex-0.10-0.05-1.00,ARC,Belady,Cacheus,Clock,FIFO,FIFO-Merge,GDSF,Hyperbolic,LFU,LHD,LIRS,LRU,LeCaR,QDLP,S3FIFO,S4LRU,TwoQ,WTinyLFU
msr_proj_2.oracleGeneral.zst_29266482,0.8892,0.8907,0.8365,0.884,0.8933,0.9031,0.9029,0.863,0.8963,0.9057,0.8818,0.8927,0.897,0.8918,0.8887,0.8907,0.8923,0.89,0.9171
msr_proj_1.oracleGeneral.zst_23639742,0.7483,0.7368,0.6727,0.7537,0.7602,0.7713,0.7806,0.7011,0.7732,0.7421,0.7227,0.7343,0.7585,0.7574,0.7321,0.7507,0.7462,0.7678,0.7608
msr_prxy_0.oracleGeneral.zst_12518968,0.0727,0.0791,0.063,0.0827,0.1136,0.1564,0.0965,0.07,0.119,0.088,0.0722,0.0772,0.1162,0.1062,0.0737,0.0732,0.0761,0.0744,0.07
msr_prxy_1.oracleGeneral.zst_168638964,0.051,0.0901,0.0147,0.0333,0.1004,0.1373,0.0331,0.0184,0.1046,0.044,0.0136,0.0195,0.1155,0.0932,0.0541,0.0526,0.0395,0.0701,0.0178
msr_prn_0.oracleGeneral.zst_5585886,0.2758,0.2793,0.2243,0.2852,0.3002,0.3127,0.2924,0.2278,0.2982,0.2939,0.2506,0.2692,0.3079,0.288,0.2701,0.2698,0.2655,0.291,0.2773
msr_usr_1.oracleGeneral.zst_45283980,0.4327,0.4424,0.4099,0.4483,0.4802,0.4854,0.4815,0.4044,0.4768,0.4401,0.4154,0.4369,0.4828,0.4749,0.4369,0.4468,0.4247,0.4601,0.4479
msr_prn_1.oracleGeneral.zst_11233411,0.5177,0.6011,0.4196,0.5766,0.6261,0.6456,0.5952,0.457,0.6276,0.6945,0.4662,0.5725,0.6283,0.5905,0.5267,0.4983,0.5326,0.5136,0.4441
msr_proj_0.oracleGeneral.zst_4224524,0.4769,0.5268,0.3772,0.4952,0.5427,0.5847,0.5284,0.4783,0.5403,0.6842,0.483,0.4696,0.5563,0.5334,0.474,0.4764,0.4799,0.499,0.4657
msr_src1_1.oracleGeneral.zst_45746222,0.9418,0.9537,0.8266,0.9324,0.9235,0.9219,0.9258,0.9055,0.9235,0.9281,0.9058,0.9534,0.9216,0.921,0.9424,0.9439,0.9078,0.9389,0.9223
msr_hm_0.oracleGeneral.zst_3993316,0.3932,0.3976,0.3442,0.4031,0.4256,0.4456,0.4026,0.3674,0.4275,0.4495,0.3794,0.3957,0.4295,0.4144,0.3924,0.3948,0.3933,0.4007,0.393
msr_src1_0.oracleGeneral.zst_37415613,0.9165,0.9397,0.9049,0.9399,0.9669,0.9699,0.9552,0.9069,0.9676,0.9121,0.8751,0.9305,0.9691,0.9676,0.9092,0.9202,0.8981,0.9489,0.8961
msr_web_2.oracleGeneral.zst_5175368,0.9723,0.9793,0.9563,0.982,0.9934,0.9934,0.9946,0.9433,0.9933,0.9793,0.9685,0.9737,0.9934,0.9934,0.9792,0.9933,0.9794,0.9933,0.9711
msr_proj_4.oracleGeneral.zst_6465639,0.8435,0.8612,0.6766,0.7935,0.9034,0.904,0.8518,0.7941,0.8974,0.8536,0.7119,0.8459,0.9037,0.8956,0.8513,0.8386,0.844,0.8762,0.8363
msr_usr_2.oracleGeneral.zst_10570046,0.7898,0.788,0.7457,0.7777,0.806,0.8107,0.8067,0.7707,0.8047,0.7898,0.7757,0.7879,0.808,0.8031,0.7786,0.7795,0.7847,0.8002,0.8096
