,flex-0.10-0.05-1.00,ARC,Belady,CAR,Cacheus,Clock,FIFO,FIFO-Merge,GDSF,GLCache,Hyperbolic,LFU,LHD,LIRS,LRU,LeCaR,QDLP,S3FIFO,S4LRU,TwoQ,WTinyLFU
msr_proj_2.oracleGeneral.zst_29266482,0.9575,0.9585,0.9114,0.9574,0.9554,0.9578,0.9599,0.9638,0.9569,0.9763,0.9575,0.9638,0.9821,0.9599,0.9585,0.9572,0.9561,0.9562,0.9643,0.9582,0.9829
msr_proj_1.oracleGeneral.zst_23639742,0.9371,0.9369,0.913,0.935,0.9403,0.94,0.945,0.951,0.943,0.9491,0.9439,0.937,0.9557,0.9386,0.9397,0.9396,0.9337,0.9383,0.9494,0.94,0.9522
msr_prxy_0.oracleGeneral.zst_12518968,0.3361,0.3498,0.2854,0.349,0.3476,0.3694,0.3876,0.362,0.3475,0.3535,0.3715,0.3882,0.3513,0.3427,0.3708,0.3655,0.3375,0.3376,0.3457,0.3492,0.337
msr_prxy_1.oracleGeneral.zst_168638964,0.037,0.0767,0.0133,0.0562,0.0275,0.0735,0.1254,0.0456,0.0544,0.1339,0.0732,0.0729,0.0255,0.0159,0.099,0.0794,0.0392,0.0381,0.0323,0.0573,0.0184
msr_prn_0.oracleGeneral.zst_5585886,0.619,0.6275,0.5359,0.6265,0.6324,0.6325,0.6442,0.6507,0.6452,0.6563,0.6336,0.6949,0.6665,0.6361,0.6355,0.6278,0.6188,0.6191,0.621,0.6226,0.6315
msr_usr_1.oracleGeneral.zst_45283980,0.5921,0.5959,0.5696,0.5958,0.5979,0.6068,0.6082,0.612,0.596,0.6114,0.6032,0.596,0.6157,0.5926,0.6076,0.6047,0.5944,0.5969,0.5935,0.6003,0.6093
msr_prn_1.oracleGeneral.zst_11233411,0.7136,0.7667,0.6404,0.7577,0.7394,0.7496,0.754,0.7413,0.7043,0.7368,0.75,0.794,0.7684,0.7335,0.749,0.738,0.7167,0.7022,0.7198,0.7116,0.6956
msr_proj_0.oracleGeneral.zst_4224524,0.5957,0.6619,0.4679,0.6477,0.6214,0.6855,0.7346,0.695,0.6744,0.8958,0.6846,0.9201,0.6943,0.589,0.7024,0.6724,0.5915,0.5913,0.6409,0.6193,0.5921
msr_src1_1.oracleGeneral.zst_45746222,0.9661,0.9863,0.8306,0.9854,0.9477,0.9299,0.9254,0.947,0.9406,0.9682,0.9297,0.9757,0.9821,0.985,0.9268,0.9268,0.9667,0.9672,0.9536,0.9546,0.9736
msr_hm_0.oracleGeneral.zst_3993316,0.6052,0.6065,0.516,0.6059,0.6176,0.6308,0.6491,0.6405,0.6352,0.6585,0.632,0.6669,0.6662,0.6136,0.634,0.622,0.6051,0.6071,0.62,0.6118,0.6126
msr_src1_0.oracleGeneral.zst_37415613,0.9865,0.9914,0.9654,0.9903,0.9917,0.994,0.9942,0.9937,0.9914,0.9893,0.994,0.9874,0.9894,0.9877,0.9942,0.9941,0.9863,0.9868,0.9878,0.9893,0.9855
msr_web_2.oracleGeneral.zst_5175368,0.9885,0.9994,0.9862,0.9994,0.9994,0.9997,0.9997,0.9997,0.9992,0.9975,0.9997,0.9994,0.998,0.9872,0.9997,0.9997,0.9994,0.9996,0.9903,0.9997,0.9889
msr_proj_4.oracleGeneral.zst_6465639,0.9677,0.9622,0.8963,0.9622,0.9514,0.979,0.979,0.9726,0.9647,0.973,0.9771,0.971,0.9508,0.9683,0.9789,0.9769,0.97,0.968,0.9705,0.9728,0.9496
msr_usr_2.oracleGeneral.zst_10570046,0.9462,0.948,0.9149,0.9483,0.9459,0.9547,0.956,0.9596,0.9525,0.9554,0.9549,0.9503,0.9583,0.9465,0.9551,0.954,0.9431,0.9459,0.956,0.953,0.9623
