,flex-0.10-0.05-1.00,ARC,Belady,Cacheus,Clock,FIFO,FIFO-Merge,GDSF,Hyperbolic,LHD,LIRS,LeCaR,QDLP,S3FIFO,S4LRU,TwoQ,WTinyLFU
msr_proj_2.oracleGeneral.zst_29266482,0.8241,0.8328,0.5948,0.8268,0.8827,0.8905,0.8174,0.8766,0.8691,0.8611,0.8349,0.8897,0.8076,0.8334,0.8624,0.8791,0.8823
msr_proj_1.oracleGeneral.zst_23639742,0.9127,0.9136,0.9033,0.9152,0.9155,0.925,0.9179,0.9127,0.9177,0.9175,0.92,0.9195,0.9134,0.9159,0.9131,0.9223,0.9303
msr_prxy_0.oracleGeneral.zst_12518968,0.1261,0.1245,0.0722,0.1253,0.1345,0.1549,0.1626,0.1525,0.1389,0.1398,0.1278,0.1304,0.1292,0.1297,0.1353,0.1248,0.1125
msr_prxy_1.oracleGeneral.zst_168638964,0.007,0.007,0.0067,0.0071,0.0071,0.0076,0.0073,0.0071,0.0071,0.0071,0.0071,0.0071,0.007,0.007,0.007,0.0072,0.0073
msr_prn_0.oracleGeneral.zst_5585886,0.3734,0.3861,0.3447,0.3977,0.4457,0.4786,0.4582,0.4025,0.4494,0.4353,0.3791,0.4054,0.3841,0.389,0.4153,0.4032,0.3841
msr_usr_1.oracleGeneral.zst_45283980,0.4952,0.4924,0.4552,0.493,0.5095,0.5134,0.5074,0.4986,0.5101,0.5158,0.4968,0.5053,0.4923,0.4956,0.4914,0.5126,0.5655
msr_prn_1.oracleGeneral.zst_11233411,0.4134,0.4152,0.4015,0.4178,0.4546,0.4841,0.4922,0.4298,0.4669,0.4479,0.4124,0.4178,0.4151,0.4222,0.4163,0.4755,0.4138
msr_proj_0.oracleGeneral.zst_4224524,0.183,0.1925,0.1158,0.1843,0.1881,0.2193,0.2144,0.1884,0.1908,0.2058,0.1847,0.1865,0.1836,0.186,0.1846,0.1963,0.28
msr_src1_1.oracleGeneral.zst_45746222,0.7858,0.7685,0.6031,0.8598,0.7723,0.7682,0.797,0.7774,0.7766,0.8144,0.9072,0.7971,0.7549,0.7322,0.7708,0.751,0.7461
msr_hm_0.oracleGeneral.zst_3993316,0.3423,0.3546,0.2135,0.3508,0.3562,0.3785,0.3939,0.3813,0.3631,0.444,0.3534,0.3633,0.3459,0.3458,0.3504,0.3568,0.3447
msr_src1_0.oracleGeneral.zst_37415613,0.7845,0.8921,0.7341,0.8837,0.9537,0.9545,0.9186,0.9416,0.9509,0.8242,0.778,0.9457,0.7967,0.8351,0.8169,0.9241,0.7893
msr_web_2.oracleGeneral.zst_5175368,0.9148,0.959,0.7463,0.904,0.9595,0.9595,0.9266,0.9584,0.9776,0.9631,0.9095,0.9595,0.959,0.959,0.8113,0.9591,0.7691
msr_proj_4.oracleGeneral.zst_6465639,0.8421,0.8421,0.8388,0.8452,0.863,0.8905,0.8885,0.8443,0.8749,0.8525,0.8393,0.8531,0.8421,0.8576,0.8424,0.8897,0.8396
msr_usr_2.oracleGeneral.zst_10570046,0.899,0.8969,0.8831,0.8961,0.9113,0.9118,0.9163,0.9059,0.9088,0.9134,0.9024,0.9117,0.8958,0.906,0.8987,0.9101,0.9029
