,flex-0.10-0.05-1.00,ARC,Belady,Cacheus,Clock,FIFO,FIFO-Merge,GDSF,Hyperbolic,LHD,LIRS,LeCaR,QDLP,S3FIFO,S4LRU,TwoQ,WTinyLFU
tencentBlock.ns1228.oracleGeneral.zst_3462771,0.1112,0.1188,0.0966,0.1141,0.1239,0.13,0.1221,0.1064,0.1244,0.1045,0.1059,0.1165,0.1111,0.1114,0.1121,0.1131,0.1074
tencentBlock.ns10197.oracleGeneral.zst_2420450,0.1968,0.1972,0.1674,0.1993,0.209,0.2325,0.2023,0.1938,0.2141,0.2006,0.1947,0.2052,0.1962,0.1966,0.2203,0.2027,0.1916
tencentBlock.ns6930.oracleGeneral.zst_2231846,0.2363,0.2368,0.2086,0.2465,0.2625,0.2715,0.2562,0.2317,0.2636,0.2473,0.2338,0.2582,0.2381,0.2382,0.2477,0.244,0.2343
tencentBlock.ns4699.oracleGeneral.zst_1214346,0.1773,0.1776,0.1482,0.1798,0.1836,0.1895,0.1806,0.1785,0.183,0.1802,0.1658,0.1761,0.1779,0.1782,0.1765,0.1818,0.1701
tencentBlock.ns22008.oracleGeneral.zst_1365602,0.4486,0.4702,0.4078,0.4525,0.4588,0.4838,0.4604,0.4532,0.4622,0.4548,0.4492,0.4556,0.4501,0.4502,0.4585,0.4505,0.4482
tencentBlock.ns18283.oracleGeneral.zst_3972912,0.2775,0.299,0.2145,0.2828,0.2871,0.3125,0.2759,0.2722,0.2942,0.2644,0.2724,0.2863,0.2765,0.2776,0.2767,0.2876,0.3105
tencentBlock.ns7775.oracleGeneral.zst_4572411,0.287,0.303,0.1944,0.2867,0.3102,0.3424,0.2716,0.2502,0.314,0.2487,0.2649,0.3108,0.2895,0.2922,0.2908,0.3046,0.2847
tencentBlock.ns17085.oracleGeneral.zst_1558553,0.2579,0.2782,0.2025,0.2652,0.2832,0.3133,0.2692,0.2636,0.2824,0.2584,0.2552,0.2701,0.2589,0.2635,0.258,0.2706,0.2857
tencentBlock.ns11873.oracleGeneral.zst_1767385,0.3323,0.3633,0.2972,0.3425,0.371,0.3809,0.3433,0.3068,0.3679,0.2983,0.2885,0.3594,0.3292,0.3289,0.3448,0.3426,0.2942
tencentBlock.ns6171.oracleGeneral.zst_4790952,0.1174,0.1065,0.0739,0.1056,0.1045,0.1259,0.1015,0.0986,0.1236,0.1253,0.1059,0.1042,0.1088,0.1103,0.105,0.1103,0.1246
tencentBlock.ns1084.oracleGeneral.zst_69192245,0.6903,0.7962,0.4588,0.7286,0.8177,0.8257,0.7346,0.7343,0.8298,0.6416,0.673,0.8192,0.6771,0.673,0.6878,0.7004,0.6576
tencentBlock.ns14248.oracleGeneral.zst_11417024,0.1776,0.1944,0.1254,0.1779,0.1827,0.2012,0.1734,0.1447,0.1835,0.1388,0.1696,0.1821,0.1778,0.1796,0.1709,0.1827,0.1769
tencentBlock.ns13858.oracleGeneral.zst_4047473,0.3612,0.3923,0.3264,0.3689,0.3725,0.3908,0.3769,0.3754,0.3727,0.3567,0.3631,0.3716,0.3624,0.3632,0.3718,0.3623,0.3663
tencentBlock.ns10372.oracleGeneral.zst_5392979,0.3399,0.3386,0.2089,0.3298,0.3323,0.3417,0.3209,0.2748,0.3537,0.2573,0.3168,0.3297,0.3409,0.3454,0.3294,0.3326,0.3258
tencentBlock.ns16715.oracleGeneral.zst_1044790,0.5112,0.5303,0.3743,0.5293,0.5397,0.531,0.4986,0.4288,0.5499,0.4553,0.5005,0.5275,0.5175,0.5054,0.4943,0.5179,0.4908
tencentBlock.ns6558.oracleGeneral.zst_3152049,0.2916,0.3135,0.2387,0.2968,0.3047,0.3347,0.2981,0.2933,0.3053,0.2844,0.2878,0.3006,0.2928,0.2955,0.2915,0.2986,0.3215
tencentBlock.ns7633.oracleGeneral.zst_1564502,0.2966,0.3129,0.2886,0.3111,0.3133,0.3194,0.3106,0.2989,0.3121,0.3078,0.3074,0.3078,0.2969,0.2901,0.3027,0.3069,0.3068
tencentBlock.ns9578.oracleGeneral.zst_1144587,0.2023,0.225,0.1672,0.1983,0.2262,0.2315,0.2073,0.1807,0.2233,0.1809,0.173,0.2228,0.1889,0.1924,0.1789,0.2049,0.1829
tencentBlock.ns6591.oracleGeneral.zst_12956376,0.1815,0.1953,0.141,0.1876,0.1909,0.2172,0.1807,0.1663,0.1977,0.1747,0.1842,0.1904,0.1803,0.1816,0.1835,0.1842,0.1885
tencentBlock.ns12485.oracleGeneral.zst_3982085,0.1656,0.1867,0.1234,0.1703,0.1758,0.206,0.1692,0.1703,0.1802,0.1605,0.1621,0.1728,0.1658,0.1691,0.1646,0.1746,0.2104
tencentBlock.ns8608.oracleGeneral.zst_40554758,0.0556,0.0588,0.0412,0.0567,0.057,0.0745,0.0508,0.0437,0.0575,0.0487,0.0543,0.0567,0.0555,0.0558,0.0535,0.0564,0.0533
tencentBlock.ns4124.oracleGeneral.zst_11110057,0.0937,0.0973,0.0906,0.0973,0.1118,0.2354,0.1562,0.0938,0.1185,0.0968,0.0948,0.0949,0.0936,0.0939,0.0947,0.0965,0.094
tencentBlock.ns17740.oracleGeneral.zst_1835075,0.4076,0.4469,0.3464,0.4124,0.424,0.4273,0.4145,0.4063,0.4204,0.3978,0.4043,0.4241,0.4103,0.4099,0.4073,0.4212,0.3897
tencentBlock.ns2954.oracleGeneral.zst_8112703,0.224,0.275,0.2015,0.2263,0.2654,0.2498,0.2096,0.171,0.2589,0.1717,0.2185,0.2653,0.2257,0.2252,0.1851,0.2417,0.1946
tencentBlock.ns18695.oracleGeneral.zst_1155712,0.5494,0.5752,0.4764,0.5516,0.553,0.5575,0.5521,0.5516,0.5526,0.5515,0.5457,0.5527,0.5515,0.5518,0.5466,0.5516,0.5386
tencentBlock.ns5975.oracleGeneral.zst_4529550,0.1772,0.1803,0.1371,0.1792,0.1873,0.2005,0.1794,0.1763,0.188,0.1689,0.1693,0.1817,0.1778,0.1804,0.177,0.1819,0.1823
