,flex-0.10-0.05-1.00,ARC,Belady,Cacheus,Clock,FIFO,FIFO-Merge,GDSF,Hyperbolic,LFU,LHD,LIRS,LRU,LeCaR,QDLP,S3FIFO,S4LRU,TwoQ,WTinyLFU
tencentBlock.ns1228.oracleGeneral.zst_3462771,0.0955,0.1087,0.0799,0.1072,0.1082,0.113,0.0871,0.0436,0.1046,0.0994,0.058,0.0893,0.1087,0.1084,0.0974,0.0963,0.082,0.0988,0.0895
tencentBlock.ns10197.oracleGeneral.zst_2420450,0.1294,0.1268,0.0908,0.1367,0.1294,0.1372,0.1156,0.0673,0.1457,0.1186,0.0832,0.1224,0.1293,0.1384,0.1368,0.1371,0.1327,0.1395,0.1078
tencentBlock.ns6930.oracleGeneral.zst_2231846,0.1679,0.1853,0.0954,0.1822,0.1967,0.2173,0.1707,0.1549,0.2023,0.1842,0.1596,0.1532,0.2008,0.1986,0.173,0.1728,0.1649,0.1722,0.1451
tencentBlock.ns4699.oracleGeneral.zst_1214346,0.1114,0.1155,0.0637,0.1204,0.1358,0.137,0.1207,0.0901,0.1489,0.138,0.1,0.0997,0.1375,0.1317,0.11,0.106,0.1086,0.1229,0.0811
tencentBlock.ns22008.oracleGeneral.zst_1365602,0.3837,0.4046,0.2591,0.4105,0.4129,0.4128,0.3961,0.3869,0.424,0.4355,0.3782,0.3794,0.4022,0.403,0.3876,0.3849,0.388,0.3897,0.35
tencentBlock.ns18283.oracleGeneral.zst_3972912,0.1869,0.2013,0.1161,0.1808,0.1897,0.1855,0.1811,0.1529,0.1993,0.4959,0.1517,0.1834,0.1818,0.1814,0.1894,0.1885,0.1879,0.1775,0.19
tencentBlock.ns7775.oracleGeneral.zst_4572411,0.1076,0.1105,0.0725,0.1093,0.1125,0.1378,0.1096,0.0835,0.1255,0.1636,0.0999,0.1076,0.1163,0.1105,0.104,0.1049,0.1059,0.1127,0.1134
tencentBlock.ns17085.oracleGeneral.zst_1558553,0.1637,0.1718,0.102,0.1597,0.1773,0.1968,0.1647,0.1288,0.1849,0.2116,0.1383,0.1484,0.1853,0.1812,0.1577,0.1588,0.1635,0.1643,0.1462
tencentBlock.ns11873.oracleGeneral.zst_1767385,0.2329,0.216,0.1356,0.2226,0.2378,0.2405,0.1957,0.2184,0.2337,0.2284,0.1767,0.211,0.2355,0.2277,0.2191,0.2197,0.2166,0.2246,0.2068
tencentBlock.ns6171.oracleGeneral.zst_4790952,0.0415,0.0412,0.0255,0.0414,0.0431,0.0463,0.0391,0.0257,0.0477,0.0615,0.0341,0.0416,0.0439,0.043,0.0433,0.0432,0.0425,0.0442,0.0396
tencentBlock.ns1084.oracleGeneral.zst_69192245,0.1007,0.1175,0.0437,0.1035,0.1171,0.1808,0.1117,0.065,0.1327,0.286,0.0683,0.0994,0.1246,0.1089,0.0992,0.0999,0.1028,0.1282,0.0936
tencentBlock.ns14248.oracleGeneral.zst_11417024,0.0954,0.0947,0.0876,0.0988,0.1062,0.1272,0.1061,0.0886,0.1141,0.0971,0.0952,0.0956,0.1099,0.1038,0.0944,0.1013,0.1018,0.11,0.1028
tencentBlock.ns13858.oracleGeneral.zst_4047473,0.2924,0.3302,0.1772,0.3207,0.3162,0.3196,0.2937,0.2423,0.3228,0.4317,0.2064,0.2606,0.3105,0.3106,0.2976,0.2908,0.2931,0.2957,0.2435
tencentBlock.ns10372.oracleGeneral.zst_5392979,0.1565,0.1718,0.1301,0.16,0.1709,0.1921,0.1853,0.1361,0.1923,0.279,0.1421,0.159,0.1649,0.1631,0.1521,0.1531,0.1672,0.158,0.1634
tencentBlock.ns16715.oracleGeneral.zst_1044790,0.33,0.3324,0.2421,0.321,0.3273,0.3568,0.324,0.2589,0.3369,0.4564,0.2833,0.3018,0.3323,0.3324,0.3265,0.336,0.3329,0.3541,0.3231
tencentBlock.ns6558.oracleGeneral.zst_3152049,0.2116,0.2371,0.1274,0.2216,0.2218,0.227,0.2115,0.1782,0.2302,0.4863,0.1636,0.1959,0.2214,0.221,0.2217,0.2228,0.2111,0.2042,0.2032
tencentBlock.ns7633.oracleGeneral.zst_1564502,0.2374,0.264,0.2092,0.2605,0.2863,0.2965,0.259,0.2605,0.2772,0.2676,0.2572,0.2363,0.2895,0.2818,0.2422,0.2423,0.2316,0.2698,0.2234
tencentBlock.ns9578.oracleGeneral.zst_1144587,0.1345,0.1177,0.0824,0.1148,0.1224,0.1273,0.108,0.0816,0.1359,0.1381,0.0871,0.1157,0.1261,0.1342,0.1303,0.1275,0.1063,0.1276,0.1246
tencentBlock.ns6591.oracleGeneral.zst_12956376,0.1051,0.1124,0.0778,0.1082,0.1118,0.1245,0.1006,0.0848,0.1179,0.1478,0.0949,0.1038,0.1118,0.1089,0.1017,0.1035,0.1079,0.1073,0.1061
tencentBlock.ns12485.oracleGeneral.zst_3982085,0.1093,0.1273,0.0773,0.1081,0.1049,0.1113,0.109,0.0968,0.113,0.3927,0.0957,0.1091,0.104,0.1037,0.1083,0.1109,0.107,0.1116,0.1205
tencentBlock.ns8608.oracleGeneral.zst_40554758,0.0261,0.0281,0.0143,0.0276,0.0278,0.0314,0.0204,0.0127,0.0274,0.0294,0.016,0.0265,0.0278,0.0277,0.0268,0.0266,0.0273,0.0275,0.0228
tencentBlock.ns4124.oracleGeneral.zst_11110057,0.091,0.0939,0.0872,0.0917,0.0913,0.1064,0.0903,0.0889,0.0906,0.0942,0.0902,0.0915,0.0913,0.0913,0.0915,0.0893,0.09,0.0943,0.092
tencentBlock.ns17740.oracleGeneral.zst_1835075,0.2842,0.3036,0.1916,0.2923,0.3305,0.3193,0.3035,0.2338,0.3355,0.3828,0.2422,0.2728,0.3244,0.323,0.2844,0.2798,0.3009,0.2764,0.2504
tencentBlock.ns2954.oracleGeneral.zst_8112703,0.0646,0.0649,0.0439,0.0675,0.0805,0.093,0.0739,0.0501,0.0865,0.0908,0.0553,0.0609,0.0768,0.0746,0.0608,0.0595,0.0669,0.0637,0.0567
tencentBlock.ns18695.oracleGeneral.zst_1155712,0.4387,0.4944,0.2773,0.4896,0.4852,0.4973,0.4661,0.4492,0.5042,0.5018,0.4489,0.4055,0.4782,0.4785,0.4441,0.4451,0.4338,0.452,0.3915
tencentBlock.ns5975.oracleGeneral.zst_4529550,0.1016,0.1058,0.0509,0.1052,0.1089,0.1268,0.0978,0.08,0.1178,0.1074,0.0747,0.0818,0.1124,0.1095,0.0935,0.0948,0.0946,0.0963,0.0831
tencentBlock.ns7183.oracleGeneral.zst_2170354,0.1529,0.1441,0.068,0.1529,0.1754,0.1831,0.1096,0.0701,0.1645,0.1706,0.0886,0.1186,0.1762,0.1758,0.1651,0.1569,0.1469,0.1627,0.1367
tencentBlock.ns10512.oracleGeneral.zst_58001065,0.2298,0.2244,0.1313,0.2212,0.2193,0.2485,0.1679,0.1038,0.2316,0.415,0.1347,0.2191,0.2211,0.2156,0.2187,0.2232,0.2147,0.2247,0.2155
tencentBlock.ns11961.oracleGeneral.zst_20029317,0.0218,0.026,0.0162,0.0256,0.0284,0.0292,0.0248,0.0262,0.0265,0.0268,0.0214,0.0206,0.0285,0.0271,0.022,0.0219,0.0237,0.0269,0.0217
