,flex-0.10-0.05-1.00,ARC,Belady,CAR,Cacheus,Clock,FIFO,FIFO-Merge,GDSF,GLCache,Hyperbolic,LFU,LHD,LIRS,LRU,LeCaR,QDLP,S3FIFO,S4LRU,TwoQ,WTinyLFU
tencentBlock.ns1228.oracleGeneral.zst_3462771,0.4745,0.4913,0.4341,0.4905,0.4816,0.5148,0.5222,0.5332,0.5365,0.5262,0.5184,0.5313,0.5652,0.5229,0.5155,0.4949,0.4746,0.4755,0.4946,0.4751,0.5252
tencentBlock.ns10197.oracleGeneral.zst_2420450,0.191,0.1894,0.1486,0.1878,0.1894,0.1986,0.296,0.2214,0.3052,0.3869,0.2034,0.7914,0.4003,0.189,0.2013,0.1922,0.1903,0.1906,0.4671,0.1941,0.2049
tencentBlock.ns6930.oracleGeneral.zst_2231846,0.3062,0.3061,0.2634,0.3071,0.3109,0.327,0.3476,0.3309,0.3293,0.3431,0.3289,0.3476,0.4112,0.3163,0.3305,0.3229,0.3081,0.308,0.3183,0.3105,0.3192
tencentBlock.ns4699.oracleGeneral.zst_1214346,0.2735,0.2758,0.2367,0.2764,0.2767,0.2807,0.2871,0.2794,0.2821,0.2809,0.2796,0.3353,0.3093,0.2965,0.2818,0.275,0.2746,0.2744,0.2737,0.2784,0.2989
tencentBlock.ns22008.oracleGeneral.zst_1365602,0.566,0.5821,0.4878,0.5826,0.571,0.5781,0.6054,0.5896,0.582,0.6013,0.5815,0.6799,0.5907,0.5694,0.5796,0.5745,0.5689,0.5689,0.5785,0.5689,0.5597
tencentBlock.ns18283.oracleGeneral.zst_3972912,0.2798,0.2914,0.2006,0.2923,0.2843,0.296,0.3163,0.3064,0.3245,0.3408,0.3049,0.6304,0.3917,0.2789,0.2971,0.2952,0.2765,0.2769,0.2882,0.293,0.3202
tencentBlock.ns7775.oracleGeneral.zst_4572411,0.4322,0.4573,0.2837,0.4516,0.4336,0.4654,0.5231,0.5126,0.6121,0.6708,0.4789,0.6894,0.5982,0.4137,0.4745,0.4643,0.4359,0.4394,0.515,0.4543,0.5085
tencentBlock.ns17085.oracleGeneral.zst_1558553,0.4514,0.47,0.3594,0.4698,0.4604,0.4756,0.5014,0.4747,0.4982,0.4904,0.4739,0.6296,0.513,0.4512,0.48,0.4645,0.4549,0.4575,0.4512,0.4635,0.4698
tencentBlock.ns11873.oracleGeneral.zst_1767385,0.6274,0.891,0.4459,0.8901,0.7313,0.8934,0.8924,0.8316,0.8226,0.9035,0.8863,0.7221,0.6964,0.7238,0.8946,0.8955,0.5872,0.5821,0.9027,0.6305,0.7277
tencentBlock.ns6171.oracleGeneral.zst_4790952,0.1078,0.0956,0.0605,0.0956,0.0955,0.0919,0.1156,0.1065,0.1739,0.1662,0.1027,0.84,0.3095,0.1121,0.0927,0.0942,0.0975,0.1009,0.0962,0.1024,0.1827
tencentBlock.ns1084.oracleGeneral.zst_69192245,0.5615,0.6578,0.3794,0.6535,0.6029,0.6704,0.6859,0.6423,0.713,0.8247,0.6728,0.8898,0.713,0.5594,0.6736,0.6734,0.5501,0.5474,0.5873,0.5722,0.564
tencentBlock.ns14248.oracleGeneral.zst_11417024,0.3895,0.3905,0.2998,0.3931,0.3847,0.3895,0.4068,0.4137,0.403,0.4134,0.394,0.5332,0.4269,0.3873,0.3932,0.3889,0.391,0.391,0.3922,0.3832,0.3883
tencentBlock.ns13858.oracleGeneral.zst_4047473,0.44,0.463,0.3647,0.4661,0.4518,0.4598,0.5453,0.6133,0.6319,0.6788,0.4671,0.6435,0.6117,0.4405,0.4619,0.4586,0.4456,0.4458,0.5106,0.4452,0.4428
tencentBlock.ns10372.oracleGeneral.zst_5392979,0.3537,0.3535,0.2285,0.3557,0.3426,0.3418,0.3594,0.4141,0.5075,0.5016,0.3637,0.5955,0.5151,0.3556,0.3382,0.3381,0.3566,0.364,0.3627,0.3504,0.4051
tencentBlock.ns16715.oracleGeneral.zst_1044790,0.6322,0.6471,0.4875,0.6449,0.6433,0.6384,0.6332,0.6539,0.6567,0.6476,0.6478,0.7008,0.6761,0.6359,0.6292,0.6288,0.6381,0.63,0.6375,0.6242,0.6315
tencentBlock.ns6558.oracleGeneral.zst_3152049,0.3194,0.3356,0.2413,0.3381,0.3265,0.3345,0.3591,0.3431,0.3557,0.3777,0.3344,0.5852,0.4116,0.3185,0.3369,0.3312,0.3215,0.323,0.3236,0.3269,0.3481
tencentBlock.ns7633.oracleGeneral.zst_1564502,0.4521,0.532,0.4042,0.4901,0.536,0.5364,0.5424,0.5299,0.5303,0.5251,0.5319,0.4767,0.5607,0.5079,0.5357,0.4432,0.451,0.525,0.5042,0.5308,0.4903
tencentBlock.ns9578.oracleGeneral.zst_1144587,0.7969,0.9123,0.5147,0.9121,0.8419,0.9162,0.9169,0.8697,0.9096,0.9102,0.9145,0.9123,0.7344,0.9053,0.9164,0.9151,0.7615,0.7564,0.9102,0.7064,0.905
tencentBlock.ns6591.oracleGeneral.zst_12956376,0.2708,0.2774,0.1954,0.2771,0.2757,0.2872,0.3628,0.3488,0.3447,0.4955,0.3081,0.3865,0.4807,0.2788,0.2928,0.2857,0.2712,0.2708,0.2825,0.2744,0.2896
tencentBlock.ns12485.oracleGeneral.zst_3982085,0.1645,0.1762,0.1211,0.1766,0.17,0.1739,0.2057,0.1771,0.1784,0.3423,0.1756,0.3736,0.2101,0.1629,0.1751,0.172,0.1675,0.1696,0.1659,0.1729,0.1884
tencentBlock.ns8608.oracleGeneral.zst_40554758,0.169,0.1736,0.1133,0.1734,0.1707,0.173,0.2128,0.1832,0.1866,0.211,0.1771,0.2537,0.1938,0.1721,0.1737,0.1725,0.1686,0.169,0.1719,0.1703,0.1772
tencentBlock.ns4124.oracleGeneral.zst_11110057,0.2075,0.2318,0.1946,0.232,0.2241,0.2215,0.3371,0.3059,0.2403,0.2502,0.2289,0.2499,0.2227,0.2318,0.2196,0.2093,0.2075,0.209,0.2062,0.2073,0.235
tencentBlock.ns17740.oracleGeneral.zst_1835075,0.5009,0.5429,0.3914,0.5443,0.508,0.5322,0.5376,0.5294,0.527,0.524,0.5252,0.6128,0.5373,0.503,0.5323,0.532,0.5061,0.5056,0.5082,0.5227,0.482
tencentBlock.ns2954.oracleGeneral.zst_8112703,0.2751,0.3701,0.1668,0.374,0.2939,0.3693,0.3364,0.2974,0.3394,0.3416,0.3544,0.3686,0.3458,0.2617,0.3661,0.3676,0.276,0.2699,0.2997,0.2825,0.2254
tencentBlock.ns18695.oracleGeneral.zst_1155712,0.7139,0.732,0.5936,0.7323,0.7178,0.7192,0.7221,0.7194,0.7201,0.7097,0.7184,0.7866,0.7206,0.7127,0.7194,0.7194,0.7169,0.7174,0.7128,0.7174,0.6938
tencentBlock.ns5975.oracleGeneral.zst_4529550,0.2854,0.2937,0.2094,0.2942,0.2903,0.302,0.3185,0.3071,0.3351,0.3252,0.3005,0.385,0.3787,0.3215,0.3055,0.2956,0.2898,0.2929,0.2876,0.2952,0.3456
tencentBlock.ns7183.oracleGeneral.zst_2170354,0.2077,0.1945,0.1472,0.1969,0.1918,0.2244,0.3048,0.2548,0.4521,0.4534,0.234,0.359,0.4509,0.1811,0.2345,0.2214,0.2084,0.209,0.7245,0.2297,0.233
tencentBlock.ns10512.oracleGeneral.zst_58001065,0.4474,0.4652,0.2951,0.4612,0.4559,0.4569,0.4997,0.5196,0.6503,0.6325,0.4495,0.7254,0.7613,0.4951,0.4622,0.4523,0.447,0.4541,0.4495,0.4481,0.5002
tencentBlock.ns11961.oracleGeneral.zst_20029317,0.0074,0.0076,0.0069,0.0076,0.0076,0.0077,0.0101,0.008,0.0077,0.0084,0.0077,0.0098,0.008,0.0077,0.0078,0.0077,0.0074,0.0074,0.0076,0.0076,0.0081
tencentBlock.ns9875.oracleGeneral.zst_1484605,0.2988,0.3032,0.2691,0.3037,0.3036,0.3215,0.3433,0.3262,0.3265,0.3438,0.3237,0.3733,0.401,0.3631,0.3248,0.3072,0.2985,0.2985,0.3065,0.3022,0.3631
tencentBlock.ns12132.oracleGeneral.zst_9649281,0.4418,0.4989,0.3997,0.5029,0.4729,0.5097,0.5057,0.4993,0.5449,0.6012,0.5011,0.9593,0.6314,0.4414,0.5082,0.5015,0.4465,0.4436,0.7444,0.4913,0.476
tencentBlock.ns23340.oracleGeneral.zst_4804901,0.2824,0.296,0.1985,0.2984,0.291,0.306,0.3248,0.3219,0.3399,0.3386,0.3164,0.6693,0.4049,0.285,0.3069,0.306,0.2825,0.2838,0.2952,0.285,0.3176
tencentBlock.ns10276.oracleGeneral.zst_3599203,0.3129,0.3327,0.2273,0.3368,0.323,0.3304,0.3529,0.3398,0.3525,0.3771,0.3324,0.6315,0.4086,0.3125,0.3317,0.3284,0.3186,0.3203,0.3206,0.3253,0.3364
tencentBlock.ns20547.oracleGeneral.zst_4157820,0.2598,0.2741,0.1812,0.2784,0.2635,0.2744,0.2928,0.2821,0.2877,0.31,0.2802,0.59,0.3455,0.2566,0.2749,0.2733,0.2503,0.2494,0.267,0.2695,0.2855
