,flex-0.10-0.05-1.00,ARC,Belady,Cacheus,Clock,FIFO,FIFO-Merge,GDSF,Hyperbolic,LHD,LIRS,LeCaR,QDLP,S3FIFO,S4LRU,TwoQ,WTinyLFU
tencentBlock.ns1228.oracleGeneral.zst_3462771,0.1236,0.1258,0.0731,0.1341,0.1295,0.2206,0.1864,0.3219,0.1621,0.2483,0.1053,0.1344,0.1193,0.1193,0.1241,0.1455,0.1065
tencentBlock.ns10197.oracleGeneral.zst_2420450,0.0804,0.0848,0.0517,0.0811,0.0821,0.0902,0.08,0.0993,0.0787,0.1181,0.0829,0.0759,0.0775,0.077,0.0805,0.0818,0.0874
tencentBlock.ns6930.oracleGeneral.zst_2231846,0.1276,0.1229,0.085,0.1242,0.1496,0.168,0.1536,0.1244,0.1669,0.1617,0.1232,0.1374,0.127,0.129,0.1434,0.1405,0.1194
tencentBlock.ns4699.oracleGeneral.zst_1214346,0.0951,0.0955,0.0853,0.099,0.1112,0.1448,0.1409,0.1062,0.126,0.1203,0.0958,0.0996,0.0945,0.099,0.1009,0.116,0.0942
tencentBlock.ns22008.oracleGeneral.zst_1365602,0.3666,0.3837,0.1827,0.3558,0.3815,0.3372,0.409,0.4079,0.387,0.3903,0.3505,0.3842,0.3627,0.3656,0.3834,0.364,0.2987
tencentBlock.ns18283.oracleGeneral.zst_3972912,0.1126,0.1246,0.0994,0.1152,0.1158,0.1343,0.1378,0.1384,0.1292,0.1561,0.1227,0.1122,0.1106,0.1139,0.1143,0.1219,0.1252
tencentBlock.ns7775.oracleGeneral.zst_4572411,0.1363,0.1484,0.116,0.143,0.1332,0.1513,0.1447,0.1404,0.1363,0.2151,0.1529,0.1338,0.1355,0.1355,0.1335,0.1445,0.1617
tencentBlock.ns17085.oracleGeneral.zst_1558553,0.196,0.1956,0.1648,0.1901,0.2084,0.2367,0.2547,0.2074,0.2179,0.2209,0.1954,0.2027,0.1945,0.2042,0.203,0.2121,0.194
tencentBlock.ns11873.oracleGeneral.zst_1767385,0.0452,0.0464,0.025,0.0442,0.0526,0.0546,0.0474,0.0436,0.0524,0.0928,0.0424,0.0495,0.0445,0.0449,0.0457,0.0475,0.0391
tencentBlock.ns6171.oracleGeneral.zst_4790952,0.0186,0.0195,0.0175,0.0206,0.0203,0.024,0.0216,0.0185,0.0199,0.0237,0.02,0.0185,0.0186,0.0185,0.0192,0.022,0.0216
tencentBlock.ns1084.oracleGeneral.zst_69192245,0.0203,0.0226,0.0142,0.0222,0.0223,0.0389,0.0281,0.0209,0.0223,0.034,0.0203,0.0211,0.0202,0.0202,0.0208,0.0263,0.0219
tencentBlock.ns14248.oracleGeneral.zst_11417024,0.2405,0.2394,0.2368,0.2418,0.2406,0.269,0.2649,0.2377,0.2413,0.2444,0.2424,0.2407,0.2394,0.2429,0.2411,0.2595,0.2472
tencentBlock.ns13858.oracleGeneral.zst_4047473,0.2249,0.2136,0.1042,0.2192,0.2226,0.2404,0.2858,0.298,0.2587,0.246,0.2183,0.2175,0.222,0.2226,0.2312,0.2172,0.1889
tencentBlock.ns10372.oracleGeneral.zst_5392979,0.1494,0.1585,0.1293,0.1519,0.1525,0.165,0.1683,0.1569,0.1563,0.1625,0.1524,0.1486,0.1503,0.1527,0.1511,0.1585,0.1583
tencentBlock.ns16715.oracleGeneral.zst_1044790,0.3998,0.3788,0.3295,0.3785,0.3648,0.3789,0.3868,0.3887,0.3669,0.3798,0.4155,0.3647,0.3711,0.3678,0.3902,0.3792,0.428
tencentBlock.ns6558.oracleGeneral.zst_3152049,0.1259,0.1232,0.0894,0.1203,0.1264,0.1454,0.1718,0.1678,0.1546,0.162,0.1245,0.1221,0.1213,0.1247,0.1295,0.1273,0.1193
tencentBlock.ns7633.oracleGeneral.zst_1564502,0.285,0.2785,0.1466,0.2987,0.3427,0.3442,0.2995,0.2903,0.3299,0.3252,0.2469,0.3457,0.2772,0.2764,0.2744,0.2911,0.2363
tencentBlock.ns9578.oracleGeneral.zst_1144587,0.0521,0.0473,0.0307,0.0496,0.0507,0.0523,0.053,0.1094,0.0548,0.062,0.0522,0.0493,0.0484,0.0497,0.0494,0.0496,0.1155
