,ARC,Belady,Cacheus,Clock,FIFO,FIFO-Merge,GDSF,Hyperbolic,LFU,LHD,LIRS,LRU,LeCaR,QDLP,S3FIFO,S4LRU,TwoQ,WTinyLFU,flex-0.10-0.05-1.00
cluster18.oracleGeneral.zst_13062209198,0.2749,0.1679,0.2686,0.2707,0.3053,0.2681,0.2891,0.2739,0.4827,0.239,0.264,0.2744,0.2615,0.2445,0.2425,0.2595,0.2447,0.2578,0.2453
cluster5.oracleGeneral.zst_10458446348,0.2538,0.2167,0.2594,0.2557,0.2625,0.2542,0.245,0.2479,0.8193,0.248,0.2536,0.2533,0.2591,0.2468,0.2407,0.2495,0.2412,0.248,0.2425
cluster4.oracleGeneral.zst_3448082328,0.1126,0.0771,0.1175,0.1167,0.1374,0.1074,0.0974,0.1308,0.3727,0.0984,0.116,0.1165,0.114,0.1103,0.1092,0.1124,0.1106,0.1173,0.1104
cluster50.oracleGeneral.zst_139655585,0.7295,0.5033,0.6772,0.7091,0.7157,0.5064,0.3079,0.7078,0.9582,0.4026,0.6487,0.7148,0.6508,0.6277,0.6611,0.6064,0.6709,0.6178,0.6278
cluster27.oracleGeneral.zst_12060815269,0.6538,0.5773,0.6643,0.6718,0.6894,0.6686,0.6624,0.6719,0.9122,0.6554,0.6636,0.676,0.6599,0.6472,0.6518,0.6588,0.6593,0.6714,0.6467
cluster21.oracleGeneral.zst_1550193320,0.9435,0.9375,0.9417,0.9442,0.9467,0.9442,0.9427,0.9432,0.9624,0.9431,0.9447,0.9446,0.9434,0.9428,0.9421,0.9435,0.9433,0.9489,0.9432
cluster11.oracleGeneral.zst_2731402190,0.542,0.3966,0.5252,0.5429,0.5626,0.5033,0.4513,0.5406,0.7718,0.4511,0.5321,0.541,0.5363,0.5206,0.5165,0.523,0.5089,0.5161,0.5152
cluster26.oracleGeneral.zst_156594627,0.0802,0.0781,0.08,0.0799,0.0857,0.0995,0.0887,0.0882,0.8055,0.0792,0.0917,0.0799,0.08,0.0802,0.0816,0.0799,0.0906,0.3285,0.0819
cluster16.oracleGeneral.zst_10791885322,0.2458,0.1519,0.2465,0.244,0.2905,0.2328,0.2385,0.2478,0.8227,0.2121,0.2394,0.2475,0.2274,0.2191,0.2192,0.2258,0.2284,0.2317,0.2185
cluster23.oracleGeneral.zst_5333543178,0.272,0.2703,,0.2722,0.2723,0.2732,0.2713,0.2721,0.6736,0.271,0.2789,0.2718,0.2718,0.2739,0.2733,0.2719,0.2715,0.299,0.2737
cluster28.oracleGeneral.zst_5267932037,0.0707,0.0371,0.0642,0.0641,0.0807,0.0712,0.0868,0.0912,0.7179,0.0539,0.0606,0.0617,0.0616,0.0627,0.0625,0.0615,0.0637,0.0661,0.0644
cluster48.oracleGeneral.zst_1129939853,0.6145,0.4426,0.6261,0.6408,0.6722,0.6177,0.5956,0.643,0.905,0.5828,0.6072,0.6458,0.6197,0.5985,0.597,0.6131,0.6077,0.6259,0.5955
cluster41.oracleGeneral.zst_3214344864,0.2242,0.156,0.2246,0.2283,0.2439,0.2036,0.1961,0.2237,0.8832,0.1778,0.223,0.2242,0.2412,0.2121,0.1983,0.2213,0.2055,0.2117,0.1987
cluster51.oracleGeneral.zst_6322932555,0.2573,0.1518,0.2586,0.2577,0.2983,0.2421,0.2566,0.2615,0.6157,0.1904,0.2766,0.2568,0.2516,0.2365,0.2259,0.2393,0.2256,0.2467,0.2336
cluster7.oracleGeneral.zst_1044513075,0.2825,0.2311,0.2874,0.2871,0.3121,0.2897,0.2769,0.2887,0.5258,0.2672,0.2902,0.2824,0.2824,0.2731,0.2658,0.281,0.2632,0.2672,0.2698
cluster3.oracleGeneral.zst_820307312,0.1788,0.1038,0.1684,0.1758,0.2146,0.159,0.1683,0.1837,0.4835,0.1299,0.1606,0.1804,0.167,0.1522,0.1494,0.1623,0.1563,0.1545,0.153
cluster46.oracleGeneral.zst_6610320613,0.2447,0.2251,0.2449,0.246,0.2495,0.246,0.2307,0.2438,0.5687,0.2358,0.2475,0.2446,0.2533,0.2425,0.241,0.2431,0.2404,0.2426,0.2412
cluster30.oracleGeneral.zst_2554900851,0.0855,0.0467,0.0807,0.0841,0.1078,0.084,0.0856,0.11,0.3617,0.0747,0.0742,0.0856,0.0824,0.0712,0.0673,0.0744,0.073,0.0804,0.0722
cluster17.oracleGeneral.zst_9772999471,0.1706,0.0976,0.1694,0.1679,0.2061,0.1707,0.2522,0.1695,0.483,0.1462,0.1663,0.1705,0.1595,0.1504,0.1485,0.159,0.1519,0.1625,0.1504
cluster20.oracleGeneral.zst_3663259123,0.0803,0.061,,0.0789,0.0862,0.0774,0.0777,0.0785,0.5403,0.0762,0.0774,0.08,0.077,0.0748,0.0752,0.0763,0.0779,0.0814,0.0748
