,ARC,Belady,Cacheus,Clock,FIFO,FIFO-Merge,GDSF,Hyperbolic,LHD,LIRS,LeCaR,QDLP,S3FIFO,S4LRU,TwoQ,WTinyLFU,flex-0.10-0.05-1.00
cluster18.oracleGeneral.zst_13062209198,0.005,0.0028,0.005,0.0052,0.0101,0.0061,0.004,0.0056,0.0049,0.0048,0.0049,0.0047,0.0047,0.0049,0.0056,0.0044,0.0047
cluster5.oracleGeneral.zst_10458446348,0.1995,0.1984,0.2001,0.201,0.2025,0.1996,0.1996,0.1992,0.2007,0.1996,0.2002,0.2003,0.199,0.1991,0.2015,0.2041,0.1991
cluster4.oracleGeneral.zst_3448082328,0.0328,0.0309,0.0328,0.0327,0.0349,0.0319,0.031,0.0327,0.0336,0.0324,0.0323,0.0326,0.0324,0.0324,0.0343,0.0334,0.0325
cluster50.oracleGeneral.zst_139655585,0.0768,0.0356,0.0725,0.0705,0.0892,0.0438,0.0298,0.0615,0.0375,0.063,0.0572,0.0576,0.0583,0.0658,0.0777,0.0561,0.0572
cluster27.oracleGeneral.zst_12060815269,0.1206,0.0701,0.1202,0.1243,0.1727,0.1305,0.1042,0.1204,0.1175,0.1151,0.1148,0.1092,0.1084,0.1148,0.1301,0.1063,0.1094
cluster21.oracleGeneral.zst_1550193320,0.9378,0.9375,0.9382,0.9378,0.9388,0.9379,0.9378,0.9379,0.938,0.9378,0.938,0.9378,0.938,0.9378,0.9387,0.9382,0.9377
cluster11.oracleGeneral.zst_2731402190,0.0237,0.0156,0.0234,0.0246,0.0386,0.0237,0.0184,0.0237,0.0211,0.023,0.0238,0.0228,0.023,0.0238,0.0262,0.0208,0.0221
cluster26.oracleGeneral.zst_156594627,0.0783,0.0781,0.0781,0.0781,0.0781,0.0781,0.0781,0.0781,0.0781,0.0781,0.0781,0.0781,0.0781,0.0781,0.0781,0.0782,0.0781
cluster16.oracleGeneral.zst_10791885322,0.0112,0.0051,0.0116,0.0108,0.0165,0.0112,0.0076,0.0139,0.0106,0.0101,0.0095,0.0102,0.0102,0.0107,0.012,0.0098,0.0099
cluster23.oracleGeneral.zst_5333543178,0.2711,0.2703,,0.2708,0.2708,0.2706,0.2705,0.2707,0.2707,,0.2714,0.2709,0.2708,0.2707,0.2708,0.271,0.2708
cluster28.oracleGeneral.zst_5267932037,0.0126,0.0118,0.0127,0.0135,0.0148,0.0145,0.0138,0.014,0.0138,0.0124,0.0125,0.0125,0.0126,0.0128,0.0132,0.014,0.0128
cluster48.oracleGeneral.zst_1129939853,0.2287,0.1975,0.2389,0.2365,0.2594,0.2312,0.2205,0.2388,0.2325,0.2302,0.2357,0.2282,0.2336,0.2333,0.2497,0.2524,0.2284
cluster41.oracleGeneral.zst_3214344864,0.0792,0.0783,0.0796,0.0797,0.0802,0.0796,0.0791,0.0792,0.0797,0.0792,0.0797,0.0794,0.0792,0.0791,0.08,0.0939,0.0791
cluster51.oracleGeneral.zst_6322932555,0.0014,0.0009,0.0014,0.0014,0.0019,0.0017,0.0017,0.0023,0.0016,0.0014,0.0014,0.0013,0.0014,0.0013,0.0017,0.0016,0.0015
cluster7.oracleGeneral.zst_1044513075,0.1083,0.0678,0.1086,0.1138,0.116,0.0511,0.0197,0.119,0.0343,0.1077,0.1135,0.1016,0.1015,0.1108,0.1048,0.0792,0.1031
cluster3.oracleGeneral.zst_820307312,0.009,0.0076,0.0093,0.0089,0.0098,0.0097,0.0092,0.0108,0.0091,0.0089,0.009,0.009,0.0091,0.0089,0.0096,0.0116,0.0094
cluster46.oracleGeneral.zst_6610320613,0.1794,0.1752,0.1817,0.1812,0.183,0.1795,0.1789,0.1793,0.1806,0.1794,0.1821,0.1801,0.1803,0.1789,0.182,0.1843,0.1787
cluster30.oracleGeneral.zst_2554900851,0.0053,0.0051,0.0053,0.0052,0.0056,0.0053,0.0051,0.0053,0.0053,0.0052,0.0053,0.0052,0.0053,0.0053,0.0055,0.0056,0.0054
cluster17.oracleGeneral.zst_9772999471,0.0021,0.0014,0.0021,0.0022,0.0035,0.0025,0.0018,0.0022,0.0024,0.0021,0.0021,0.0021,0.0021,0.0021,0.0023,0.0019,0.0021
cluster20.oracleGeneral.zst_3663259123,0.0247,0.0245,,0.025,0.0299,0.0256,0.0247,0.0249,0.0267,0.0248,0.025,0.0247,0.025,0.0248,0.028,0.0261,0.0247
cluster14.oracleGeneral.zst_3029143401,0.0248,0.0229,0.0252,0.0248,0.0262,0.0248,0.0244,0.025,0.0254,0.0247,0.0249,0.0245,0.0245,0.0244,0.0257,0.0386,0.0246
cluster52.oracleGeneral.zst_13426570607,0.0344,0.0223,0.0348,0.0319,0.0374,0.0271,0.0245,0.0307,0.0336,0.0304,0.0305,0.0303,0.0305,0.0312,0.033,0.03,0.0303
cluster6.oracleGeneral.zst_8376428572,0.0026,0.0025,0.0026,0.0026,0.0026,0.0026,0.0027,0.0029,0.0026,0.0026,0.0026,0.0026,0.0026,0.0026,0.0026,0.0043,0.0026
