,ARC,Belady,CAR,Cacheus,Clock,FIFO,FIFO-Merge,GDSF,GLCache,Hyperbolic,LFU,LHD,LIRS,LRU,LeCaR,QDLP,S3FIFO,S4LRU,TwoQ,WTinyLFU,flex-0.10-0.05-1.00
cluster18.oracleGeneral.zst_13062209198,0.0662,0.0365,0.0656,0.0648,0.065,0.0856,0.0741,0.0785,0.1513,0.0709,0.2018,0.0994,0.0611,0.0656,0.0615,0.0564,0.0557,0.0628,0.0563,0.0571,0.0561
cluster5.oracleGeneral.zst_10458446348,0.1653,0.1421,0.1625,0.1674,0.1675,0.1738,0.1635,0.1577,0.192,0.1584,0.5518,0.1618,0.1654,0.1652,0.1692,0.1599,0.1534,0.1607,0.1562,0.1558,0.1567
cluster4.oracleGeneral.zst_3448082328,0.0275,0.0187,0.0273,0.0253,0.0245,0.0284,0.0289,0.0345,0.0433,0.026,0.1101,0.0323,0.0259,0.0243,0.0241,0.0235,0.0233,0.024,0.0235,0.0309,0.0233
cluster50.oracleGeneral.zst_139655585,0.5232,0.2744,0.5339,0.5266,0.5581,0.5608,0.5644,0.5986,0.6184,0.5827,0.7509,0.6734,0.4825,0.5517,0.5677,0.4968,0.5041,0.5347,0.5252,0.537,0.5093
cluster27.oracleGeneral.zst_12060815269,0.6117,0.3817,0.6017,0.5591,0.566,0.5794,0.5577,0.5478,0.621,0.5558,0.7683,0.5707,0.5499,0.5684,0.5514,0.5409,0.517,0.5378,0.526,0.5308,0.536
cluster21.oracleGeneral.zst_1550193320,0.939,0.9361,0.939,0.939,0.9403,0.9411,0.9396,0.9394,0.9412,0.9397,0.939,0.9403,0.9407,0.9406,0.9401,0.9389,0.9391,0.9391,0.94,0.9426,0.9389
cluster11.oracleGeneral.zst_2731402190,0.2775,0.1733,0.2722,0.2617,0.2712,0.3042,0.2816,0.2911,0.3521,0.2618,0.5234,0.4021,0.2653,0.2766,0.258,0.2449,0.2405,0.2592,0.2444,0.2589,0.2433
cluster26.oracleGeneral.zst_156594627,0.0669,0.0665,0.067,0.0666,0.0667,0.0681,0.0721,0.0697,0.0694,0.0671,0.6662,0.0667,0.0668,0.0666,0.0666,0.0666,0.0666,0.0666,0.0667,0.2636,0.0666
cluster16.oracleGeneral.zst_10791885322,0.0965,0.0568,0.096,0.0943,0.0938,0.1162,0.1077,0.1351,0.2371,0.1134,0.487,0.1217,0.0929,0.0947,0.0908,0.0875,0.0883,0.0922,0.0902,0.0955,0.0881
cluster23.oracleGeneral.zst_5333543178,0.4171,0.4162,0.4183,,0.4171,0.4171,0.4171,0.4169,0.417,0.417,0.8943,0.417,0.4182,0.417,0.417,0.4171,0.417,0.417,0.417,0.4192,0.4171
cluster28.oracleGeneral.zst_5267932037,0.0225,0.0143,0.0221,0.0225,0.0224,0.0257,0.0223,0.0214,0.0387,0.0222,0.2256,0.0221,0.0218,0.0226,0.0213,0.0206,0.0203,0.0213,0.0212,0.0227,0.0202
cluster48.oracleGeneral.zst_1129939853,0.5251,0.4145,0.5236,0.5269,0.5298,0.5608,0.5232,0.5181,0.5637,0.5289,0.7343,0.5573,0.5184,0.5361,0.5151,0.5085,0.5216,0.5153,0.5325,0.5616,0.5092
cluster41.oracleGeneral.zst_3214344864,0.005,0.0033,0.0049,0.0051,0.0052,0.0062,0.008,0.0068,0.0108,0.0049,0.0304,0.0161,0.005,0.005,0.0053,0.0047,0.0045,0.0049,0.0048,0.0061,0.0046
cluster51.oracleGeneral.zst_6322932555,0.0444,0.0174,0.0446,0.0392,0.0383,0.0537,0.0451,0.0634,0.1179,0.0459,0.2823,0.0494,0.036,0.0386,0.0362,0.0353,0.0346,0.0363,0.037,0.0364,0.0356
cluster7.oracleGeneral.zst_1044513075,0.0912,0.0692,0.0955,0.0928,0.0956,0.1113,0.1238,0.0962,0.1233,0.0927,0.3476,0.1363,0.0945,0.0911,0.0915,0.0871,0.0816,0.0922,0.0763,0.0765,0.0802
cluster3.oracleGeneral.zst_820307312,0.0482,0.0245,0.047,0.0456,0.046,0.0627,0.0509,0.0723,0.0886,0.0547,0.3672,0.0551,0.0433,0.0472,0.0438,0.0401,0.0395,0.0439,0.0439,0.049,0.0405
cluster46.oracleGeneral.zst_6610320613,0.0433,0.0341,0.0418,0.0436,0.0447,0.0528,0.0839,0.0953,0.1103,0.0421,0.1082,0.095,0.0432,0.0433,0.0443,0.0407,0.0402,0.0429,0.0385,0.038,0.0397
cluster30.oracleGeneral.zst_2554900851,0.0394,0.0235,0.0384,0.0406,0.0431,0.058,0.0454,0.0448,0.0478,0.0489,0.1513,0.0406,0.0382,0.0438,0.0417,0.0369,0.0355,0.0394,0.0387,0.0439,0.0378
