,ARC,Belady,Cacheus,Clock,FIFO,FIFO-Merge,GDSF,Hyperbolic,LFU,LHD,LIRS,LRU,LeCaR,QDLP,S3FIFO,S4LRU,TwoQ,WTinyLFU,flex-0.10-0.05-1.00
cluster18.oracleGeneral.zst_13062209198,0.0028,0.0013,0.0027,0.003,0.0064,0.0044,0.003,0.0033,0.0074,0.003,0.0027,0.0028,0.003,0.0026,0.0026,0.0028,0.0032,0.0025,0.0027
cluster5.oracleGeneral.zst_10458446348,0.1435,0.1421,0.1439,0.1453,0.1471,0.1435,0.1436,0.1431,0.2991,0.1448,0.1435,0.1435,0.1443,0.1444,0.1428,0.1429,0.1458,0.1487,0.1429
cluster4.oracleGeneral.zst_3448082328,0.0188,0.0177,0.0186,0.0182,0.0189,0.0181,0.0181,0.0182,0.0304,0.0185,0.0184,0.0181,0.0181,0.0182,0.0181,0.0181,0.0187,0.019,0.0182
cluster50.oracleGeneral.zst_139655585,0.0727,0.0329,0.0715,0.0733,0.0927,0.0763,0.0561,0.0619,0.1194,0.0876,0.0726,0.0751,0.0737,0.0605,0.06,0.0662,0.0752,0.0742,0.0598
cluster27.oracleGeneral.zst_12060815269,0.1171,0.0674,0.1171,0.1207,0.1671,0.1285,0.1037,0.1162,0.1449,0.1166,0.1112,0.1213,0.1112,0.1054,0.1046,0.1118,0.1263,0.1031,0.1055
cluster21.oracleGeneral.zst_1550193320,0.9364,0.9361,0.9368,0.9364,0.9374,0.9365,0.9364,0.9364,0.9364,0.9366,0.9364,0.9366,0.9366,0.9364,0.9366,0.9364,0.9372,0.9368,0.9363
cluster11.oracleGeneral.zst_2731402190,0.0096,0.0059,0.0096,0.0104,0.0219,0.0216,0.0127,0.0092,0.0143,0.017,0.0094,0.0099,0.0094,0.009,0.009,0.0097,0.0117,0.0083,0.0084
cluster26.oracleGeneral.zst_156594627,0.0667,0.0665,0.0665,0.0665,0.0666,0.0665,0.0667,0.0665,0.4123,0.0665,0.0665,0.0665,0.0665,0.0665,0.0665,0.0665,0.0666,0.0666,0.0665
cluster16.oracleGeneral.zst_10791885322,0.0108,0.0044,0.0108,0.0109,0.0161,0.0162,0.0149,0.0148,0.0344,0.0119,0.0104,0.0108,0.011,0.0108,0.0108,0.0108,0.0118,0.0101,0.0108
cluster23.oracleGeneral.zst_5333543178,0.4171,0.4162,,0.4169,0.4169,0.4167,0.4166,0.4167,0.7124,0.4167,,0.4169,0.4174,0.4169,0.4169,0.4168,0.4169,0.417,0.4169
