,flex-0.10-0.05-1.00,ARC,Belady,Cacheus,Clock,FIFO,FIFO-Merge,GDSF,Hyperbolic,LHD,LIRS,LeCaR,QDLP,S3FIFO,S4LRU,TwoQ,WTinyLFU
io_traces.ns329.oracleGeneral.zst_10600000,0.3386,0.3427,0.3083,0.3737,0.4072,0.4487,0.41,0.4165,0.421,0.3959,0.3449,0.411,0.3356,0.3351,0.3555,0.346,0.3758
io_traces.ns251.oracleGeneral.zst_43400000,0.1858,0.1913,0.155,0.1969,0.2099,0.2419,0.2351,0.2072,0.2463,0.1868,0.1921,0.2053,0.1874,0.1873,0.2219,0.1797,0.1859
io_traces.ns470.oracleGeneral.zst_9800000,0.5898,0.5978,0.5183,0.5995,0.6083,0.614,0.6072,0.606,0.6088,0.5979,0.6045,0.6066,0.5931,0.5793,0.6015,0.5777,0.5887
io_traces.ns686.oracleGeneral.zst_2800000,0.4708,0.4725,0.4367,0.4748,0.4958,0.5591,0.5082,0.4822,0.495,0.4885,0.4804,0.4963,0.4719,0.472,0.4811,0.4731,0.4785
io_traces.ns59.oracleGeneral.zst_14200000,0.8194,0.8237,0.7354,0.8242,0.8256,0.8257,0.826,0.8236,0.8257,0.816,0.8247,0.8251,0.8228,0.7868,0.8156,0.7939,0.7757
io_traces.ns124.oracleGeneral.zst_525800000,0.9402,0.9614,0.8111,0.9676,0.9813,0.9814,0.9762,0.9804,0.9802,0.9381,0.9603,0.9813,0.9549,0.9536,0.9658,0.9613,0.9232
io_traces.ns36.oracleGeneral.zst_14400000,0.8206,0.8252,0.7372,0.8257,0.8272,0.8273,0.8276,0.8252,0.8272,0.8153,0.8262,0.8264,0.8241,0.7881,0.8171,0.7957,0.7767
io_traces.ns249.oracleGeneral.zst_2400000,0.4765,0.4763,0.4328,0.4763,0.4788,0.4965,0.4801,0.4765,0.478,0.4791,0.505,0.4787,0.4767,0.4757,0.4786,0.4749,0.5296
io_traces.ns706.oracleGeneral.zst_1600000,0.5007,0.5011,0.4835,0.504,0.5111,0.551,0.5059,0.5031,0.5108,0.5058,0.5413,0.5106,0.5009,0.4998,0.5028,0.501,0.5481
io_traces.ns657.oracleGeneral.zst_2600000,0.419,0.4214,0.3923,0.4186,0.4321,0.5032,0.4684,0.4301,0.4518,0.4261,0.4264,0.431,0.419,0.4238,0.4292,0.4235,0.4482
io_traces.ns335.oracleGeneral.zst_23200000,0.1621,0.1666,0.1269,0.1862,0.2008,0.2553,0.2119,0.2198,0.248,0.1773,0.1698,0.1922,0.1598,0.1601,0.1675,0.1673,0.1946
io_traces.ns562.oracleGeneral.zst_1200000,0.4976,0.4959,0.4345,0.5027,0.5354,0.5991,0.5473,0.5193,0.5301,0.5288,0.5013,0.533,0.4978,0.4991,0.5106,0.5003,0.5147
io_traces.ns674.oracleGeneral.zst_11400000,0.2358,0.2306,0.1748,0.2346,0.244,0.3263,0.2774,0.2463,0.26,0.2479,0.2469,0.2374,0.2362,0.2373,0.2363,0.234,0.3402
io_traces.ns425.oracleGeneral.zst_1200000,0.5837,0.5829,0.5424,0.5835,0.5995,0.6609,0.6247,0.5881,0.5986,0.598,0.6012,0.5966,0.5846,0.5843,0.5985,0.5857,0.6043
io_traces.ns5.oracleGeneral.zst_22400000,0.2182,0.2168,0.1532,0.2198,0.2201,0.263,0.2373,0.2348,0.2333,0.2178,0.2262,0.2198,0.2187,0.2184,0.2256,0.2169,0.3083
io_traces.ns376.oracleGeneral.zst_3400000,0.4023,0.3978,0.363,0.4034,0.4146,0.4677,0.4311,0.4106,0.4232,0.4106,0.4109,0.4139,0.401,0.4019,0.4061,0.4065,0.4436
io_traces.ns606.oracleGeneral.zst_2200000,0.3995,0.4015,0.3552,0.403,0.4234,0.5133,0.4544,0.4164,0.429,0.411,0.4004,0.4233,0.4009,0.4012,0.4113,0.4036,0.4146
