,flex-0.10-0.05-1.00,ARC,Belady,Cacheus,Clock,FIFO,FIFO-Merge,GDSF,Hyperbolic,LFU,LHD,LIRS,LRU,LeCaR,QDLP,S3FIFO,S4LRU,TwoQ,WTinyLFU
io_traces.ns329.oracleGeneral.zst_10600000,0.279,0.2839,0.1747,0.285,0.2826,0.3023,0.29,0.3076,0.3025,0.7507,0.2789,0.2742,0.2836,0.2834,0.2781,0.2782,0.2975,0.2825,0.2881
io_traces.ns251.oracleGeneral.zst_43400000,0.1321,0.1262,0.0759,0.1272,0.1309,0.1359,0.1494,0.1497,0.156,0.6455,0.1142,0.1312,0.1241,0.1246,0.1325,0.1327,0.1473,0.1251,0.1347
io_traces.ns470.oracleGeneral.zst_9800000,0.4813,0.483,0.4539,0.4891,0.5287,0.55,0.5268,0.499,0.5349,0.6594,0.4959,0.4792,0.5347,0.5272,0.4816,0.4828,0.4919,0.4915,0.4792
io_traces.ns686.oracleGeneral.zst_2800000,0.4228,0.4273,0.3092,0.4328,0.448,0.466,0.4433,0.448,0.4479,0.5676,0.4406,0.4239,0.4489,0.4489,0.4265,0.4296,0.4337,0.4348,0.4141
io_traces.ns59.oracleGeneral.zst_14200000,0.7306,0.7313,0.6608,0.7343,0.762,0.7799,0.759,0.7338,0.7677,0.8672,0.7334,0.7311,0.7666,0.7538,0.7305,0.7284,0.7321,0.7345,0.7232
io_traces.ns124.oracleGeneral.zst_525800000,0.5907,0.5597,0.296,0.6317,0.6749,0.6938,0.6308,0.633,0.6855,0.7706,0.4913,0.4802,0.6818,0.6627,0.5297,0.5235,0.5598,0.5316,0.4697
io_traces.ns36.oracleGeneral.zst_14400000,0.7329,0.7334,0.6625,0.7362,0.7636,0.7817,0.7605,0.736,0.7693,0.867,0.735,0.7331,0.7683,0.755,0.7328,0.7304,0.7339,0.7368,0.7251
io_traces.ns249.oracleGeneral.zst_2400000,0.4249,0.4321,0.3168,0.4357,0.4457,0.4577,0.4497,0.4388,0.4492,0.705,0.4383,0.4318,0.445,0.4442,0.4272,0.4212,0.4665,0.425,0.3937
io_traces.ns706.oracleGeneral.zst_1600000,0.4895,0.4903,0.4413,0.4902,0.4923,0.5,0.4917,0.4902,0.4916,0.6237,0.4918,0.4931,0.4926,0.4922,0.4897,0.4877,0.4876,0.4888,0.4817
io_traces.ns657.oracleGeneral.zst_2600000,0.377,0.3783,0.2955,0.3851,0.4035,0.4164,0.404,0.4027,0.4031,0.5301,0.4013,0.3768,0.4044,0.4044,0.3777,0.3793,0.3851,0.3838,0.3802
io_traces.ns335.oracleGeneral.zst_23200000,0.091,0.0866,0.051,0.0852,0.0863,0.0981,0.0976,0.1176,0.1244,0.6737,0.0843,0.0913,0.0862,0.0853,0.0911,0.093,0.0992,0.0898,0.112
