,flex-0.10-0.05-1.00,ARC,Belady,CAR,Cacheus,Clock,FIFO,FIFO-Merge,GDSF,GLCache,Hyperbolic,LFU,LHD,LIRS,LRU,LeCaR,QDLP,S3FIFO,S4LRU,TwoQ,WTinyLFU
io_traces.ns329.oracleGeneral.zst_10600000,0.0771,0.0787,0.0502,0.08,0.0738,0.0765,0.1022,0.1036,0.0832,0.1032,0.1124,0.5199,0.0753,0.0859,0.0758,0.0737,0.0758,0.0784,0.0749,0.0785,0.1008
io_traces.ns251.oracleGeneral.zst_43400000,0.0597,0.0541,0.0393,0.0549,0.0533,0.0545,0.0608,0.0698,0.0669,0.0605,0.0753,0.4609,0.0535,0.0696,0.0533,0.0536,0.0564,0.0585,0.0554,0.0562,0.0861
io_traces.ns470.oracleGeneral.zst_9800000,0.466,0.4675,0.4438,0.4676,0.4668,0.4692,0.4876,0.4701,0.4687,0.4709,0.4683,0.4677,0.468,0.4648,0.4705,0.4702,0.4658,0.467,0.4678,0.4747,0.4647
io_traces.ns686.oracleGeneral.zst_2800000,0.2041,0.1964,0.0947,0.1963,0.1989,0.2055,0.2318,0.2224,0.202,0.2172,0.2233,0.3353,0.2018,0.1913,0.2226,0.2045,0.1972,0.1947,0.1985,0.202,0.1758
io_traces.ns59.oracleGeneral.zst_14200000,0.6801,0.6968,0.5998,0.6991,0.6996,0.7156,0.7272,0.6983,0.7142,0.7,0.7052,0.7075,0.6889,0.6748,0.7165,0.7165,0.6941,0.7043,0.6873,0.7087,0.6729
io_traces.ns124.oracleGeneral.zst_525800000,0.0392,0.0442,0.0319,0.0445,0.0416,0.0428,0.069,0.0561,0.0395,0.0478,0.044,0.2974,0.044,0.0469,0.0423,0.0412,0.0395,0.0393,0.041,0.0438,0.0576
io_traces.ns36.oracleGeneral.zst_14400000,0.6822,0.7003,0.6018,0.7034,0.7014,0.7163,0.726,0.7001,0.7137,0.7036,0.7068,0.7094,0.6906,0.6785,0.7165,0.7162,0.6961,0.7064,0.6907,0.7104,0.6759
io_traces.ns249.oracleGeneral.zst_2400000,0.2423,0.2508,0.1198,0.2556,0.2536,0.2875,0.2804,0.2929,0.2393,0.237,0.2872,0.4609,0.2236,0.231,0.2553,0.2327,0.2464,0.2139,0.3129,0.2198,0.1665
io_traces.ns706.oracleGeneral.zst_1600000,0.4355,0.4286,0.2528,0.4282,0.4659,0.4805,0.4857,0.4598,0.4769,0.447,0.47,0.4887,0.448,0.4292,0.4817,0.446,0.4104,0.3872,0.4346,0.4684,0.3764
io_traces.ns657.oracleGeneral.zst_2600000,0.2341,0.2269,0.1007,0.2209,0.2227,0.2503,0.2635,0.2465,0.2357,0.2343,0.2486,0.3614,0.2227,0.2039,0.2179,0.2182,0.2299,0.2299,0.2702,0.223,0.2216
io_traces.ns335.oracleGeneral.zst_23200000,0.0353,0.0341,0.0326,0.035,0.0337,0.0343,0.0405,0.0433,0.0366,0.0378,0.0481,0.495,0.0335,0.0401,0.0335,0.0336,0.0352,0.0358,0.0348,0.0354,0.0517
io_traces.ns562.oracleGeneral.zst_1200000,0.2559,0.2371,0.1382,0.239,0.2353,0.2587,0.2714,0.2731,0.2642,0.2617,0.2744,0.4021,0.2523,0.2358,0.2559,0.25,0.2507,0.2489,0.321,0.2463,0.2448
