,flex-0.10-0.05-1.00,ARC,Belady,Cacheus,Clock,FIFO,FIFO-Merge,GDSF,Hyperbolic,LFU,LHD,LIRS,LRU,LeCaR,QDLP,S3FIFO,S4LRU,TwoQ,WTinyLFU
w70.oracleGeneral.bin.zst_6928385,0.2325,0.2322,0.165,0.2354,0.2663,0.3029,0.2744,0.267,0.2745,0.5874,0.2379,0.2392,0.2594,0.2537,0.2314,0.2308,0.2637,0.2277,0.2955
w94.oracleGeneral.bin.zst_4118188,0.6051,0.6647,0.4807,0.6369,0.7205,0.7017,0.6657,0.713,0.7093,0.7506,0.6473,0.5881,0.7236,0.7177,0.6059,0.6071,0.9087,0.6764,0.6571
w105.oracleGeneral.bin.zst_3375344,0.7665,0.7661,0.6837,0.7904,0.8055,0.7978,0.8154,0.8053,0.8066,0.817,0.8003,0.7618,0.8044,0.7987,0.7546,0.7528,0.8307,0.7697,0.7851
w35.oracleGeneral.bin.zst_15415663,0.1204,0.1199,0.0859,0.1269,0.1332,0.1879,0.1558,0.1289,0.143,0.297,0.1271,0.121,0.1348,0.1268,0.1188,0.1191,0.1273,0.1202,0.1241
w19.oracleGeneral.bin.zst_31116216,0.6093,0.6512,0.4576,0.5777,0.7887,0.8001,0.7252,0.7005,0.7796,0.732,0.6254,0.5704,0.7953,0.7447,0.6085,0.6091,0.6642,0.6291,0.583
w75.oracleGeneral.bin.zst_6152624,0.1965,0.1999,0.153,0.2131,0.2319,0.2497,0.2371,0.2297,0.2374,0.4255,0.2106,0.1988,0.2309,0.2258,0.1972,0.1944,0.228,0.1958,0.218
w50.oracleGeneral.bin.zst_13448032,0.8442,0.957,0.7917,0.9539,0.9834,0.9834,0.9689,0.9798,0.9817,0.9579,0.8622,0.8602,0.9834,0.9833,0.952,0.9685,0.8678,0.9774,0.8395
w97.oracleGeneral.bin.zst_3768450,0.6811,0.6928,0.6032,0.6945,0.7043,0.7235,0.7092,0.6978,0.7023,0.8111,0.6978,0.6942,0.7061,0.7032,0.6867,0.678,0.6963,0.6864,0.6779
w83.oracleGeneral.bin.zst_3880481,0.4661,0.4775,0.3947,0.4747,0.4899,0.4911,0.4923,0.4814,0.4921,0.7242,0.4622,0.4757,0.4787,0.4791,0.4696,0.463,0.4876,0.4575,0.4485
w81.oracleGeneral.bin.zst_5026619,0.7146,0.7164,0.6834,0.7244,0.7367,0.7439,0.7386,0.7296,0.7358,0.7411,0.7303,0.7161,0.7385,0.7314,0.7144,0.7146,0.7175,0.7188,0.7207
